entity_type	entity_id	image_id	image_name	token	signature	atom_count	bounds_x	bounds_y	bounds_w	bounds_h	svg_path
atom	980	3	page-003.jpg	a:1	a:1	1	590	374	37	210	atoms\a_1\page-003.jpg\980.svg
atom	1322	3	page-003.jpg	b:1	b:1	1	581	436	84	39	atoms\b_1\page-003.jpg\1322.svg
atom	982	3	page-003.jpg	c:1	c:1	1	631	346	76	69	atoms\c_1\page-003.jpg\982.svg
atom	983	3	page-003.jpg	a:1	a:1	1	633	366	34	102	atoms\a_1\page-003.jpg\983.svg
atom	981	3	page-003.jpg	b:1	b:1	1	591	373	105	45	atoms\b_1\page-003.jpg\981.svg
atom	5493	3	page-003.jpg	d:1	d:1	1	529	439	91	75	atoms\d_1\page-003.jpg\5493.svg
atom	999	3	page-003.jpg	f:1	f:1	1	754	534	44	44	atoms\f_1\page-003.jpg\999.svg
atom	1000	3	page-003.jpg	i:1	i:1	1	754	489	51	76	atoms\i_1\page-003.jpg\1000.svg
atom	1002	3	page-003.jpg	d:1	d:1	1	734	479	69	44	atoms\d_1\page-003.jpg\1002.svg
atom	996	3	page-003.jpg	e:1	e:1	1	708	529	47	52	atoms\e_1\page-003.jpg\996.svg
atom	997	3	page-003.jpg	h:1	h:1	1	709	529	49	80	atoms\h_1\page-003.jpg\997.svg
atom	991	3	page-003.jpg	e:1	e:1	1	615	530	51	57	atoms\e_1\page-003.jpg\991.svg
atom	992	3	page-003.jpg	f:1	f:1	1	635	530	44	56	atoms\f_1\page-003.jpg\992.svg
atom	993	3	page-003.jpg	e:1	e:1	1	666	533	47	52	atoms\e_1\page-003.jpg\993.svg
atom	995	3	page-003.jpg	g:1	g:1	1	677	531	54	34	atoms\g_1\page-003.jpg\995.svg
atom	994	3	page-003.jpg	e:1	e:1	1	690	531	42	49	atoms\e_1\page-003.jpg\994.svg
atom	1216	3	page-003.jpg	e:1	e:1	1	1837	604	48	50	atoms\e_1\page-003.jpg\1216.svg
atom	1247	3	page-003.jpg	a:1	a:1	1	1865	579	36	74	atoms\a_1\page-003.jpg\1247.svg
atom	3032	3	page-003.jpg	m:1	m:1	1	1849	545	70	66	atoms\m_1\page-003.jpg\3032.svg
atom	1249	3	page-003.jpg	c:1	c:1	1	1885	546	65	53	atoms\c_1\page-003.jpg\1249.svg
atom	1250	3	page-003.jpg	a:1	a:1	1	1886	566	33	87	atoms\a_1\page-003.jpg\1250.svg
atom	1222	3	page-003.jpg	g:1	g:1	1	1846	604	123	33	atoms\g_1\page-003.jpg\1222.svg
atom	1217	3	page-003.jpg	e:1	e:1	1	1919	604	52	51	atoms\e_1\page-003.jpg\1217.svg
atom	1253	3	page-003.jpg	e:1	e:1	1	1956	605	53	50	atoms\e_1\page-003.jpg\1253.svg
atom	1254	3	page-003.jpg	f:1	f:1	1	1977	604	45	53	atoms\f_1\page-003.jpg\1254.svg
atom	1257	3	page-003.jpg	f:1	f:1	1	2004	607	40	51	atoms\f_1\page-003.jpg\1257.svg
atom	1258	3	page-003.jpg	i:1	i:1	1	2006	593	56	50	atoms\i_1\page-003.jpg\1258.svg
atom	1260	3	page-003.jpg	d:1	d:1	1	1989	582	73	46	atoms\d_1\page-003.jpg\1260.svg
atom	3155	3	page-003.jpg	e:1	e:1	1	987	1844	47	52	atoms\e_1\page-003.jpg\3155.svg
atom	3220	3	page-003.jpg	a:1	a:1	1	1028	1805	36	84	atoms\a_1\page-003.jpg\3220.svg
atom	3216	3	page-003.jpg	b:1	b:1	1	1031	1812	62	38	atoms\b_1\page-003.jpg\3216.svg
atom	3172	3	page-003.jpg	c:1	c:1	1	1052	1794	53	51	atoms\c_1\page-003.jpg\3172.svg
atom	3221	3	page-003.jpg	a:1	a:1	1	1050	1806	35	87	atoms\a_1\page-003.jpg\3221.svg
atom	3202	3	page-003.jpg	g:1	g:1	1	997	1845	118	33	atoms\g_1\page-003.jpg\3202.svg
atom	3156	3	page-003.jpg	e:1	e:1	1	1071	1844	47	52	atoms\e_1\page-003.jpg\3156.svg
atom	3173	3	page-003.jpg	c:1	c:1	1	1099	1845	52	52	atoms\c_1\page-003.jpg\3173.svg
atom	3182	3	page-003.jpg	f:1	f:1	1	1145	1848	45	53	atoms\f_1\page-003.jpg\3182.svg
atom	3193	3	page-003.jpg	i:1	i:1	1	1150	1829	55	59	atoms\i_1\page-003.jpg\3193.svg
atom	3197	3	page-003.jpg	d:1	d:1	1	1138	1823	67	39	atoms\d_1\page-003.jpg\3197.svg
