direction	condition	total	entropy_bits	relative_entropy	dominant	dominant_count	dominant_share	alternatives
next	l:1	31	0.0000	NaN	f:1	31	1.0000	f:1:31
next	g:1	298	0.0581	0.0581	e:1	296	0.9933	e:1:296 c:1:2
next	i:1	220	0.1876	0.0938	d:1	215	0.9773	d:1:215 c:1:3 a:1:1 c:2:1
next	k:1	65	0.1982	0.1982	f:1	63	0.9692	f:1:63 e:1:2
next	m:1	51	0.2779	0.1753	c:1	49	0.9608	c:1:49 a:1:1 c:2:1
next	n:1	82	0.3905	0.2464	e:1	77	0.9390	e:1:77 c:2:3 c:1:2
next	b:1	191	0.6828	0.4308	c:1	161	0.8429	c:1:161 d:1:28 a:1:2
next	h:2	152	0.9819	0.3798	e:1	126	0.8289	e:1:126 c:1:14 f:1:4 n:1:4 a:1:2 c:2:2
next	h:1	40	1.5190	0.6542	a:1	18	0.4500	a:1:18 e:1:18 c:1:2 d:1:1 n:1:1
next	d:1	87	1.8251	0.6501	e:1	50	0.5747	e:1:50 g:1:16 c:1:11 n:1:6 l:1:2 f:1:1 k:1:1
next	j:1	43	1.8605	0.8013	e:1	23	0.5349	e:1:23 n:1:9 a:1:4 c:1:4 d:1:3
next	c:2	34	1.8999	0.7350	g:1	15	0.4412	g:1:15 h:2:12 e:1:3 a:1:2 b:1:1 c:2:1
next	c:1	611	1.9974	0.6013	a:1	258	0.4223	a:1:258 h:2:148 f:1:122 e:1:72 h:1:3 g:1:2 k:1:2 n:1:2 c:1:1 i:1:1
next	f:1	457	2.2233	0.7014	i:1	178	0.3895	i:1:178 j:1:113 f:1:69 k:1:60 l:1:27 e:1:5 c:1:3 a:1:1 n:1:1
next	a:1	416	2.3428	0.7391	e:1	138	0.3317	e:1:138 b:1:129 m:1:50 g:1:43 c:1:36 c:2:11 n:1:7 d:1:1 f:1:1
next	e:1	1306	2.8774	0.7776	c:1	287	0.2198	c:1:287 g:1:222 e:1:217 h:1:206 f:1:166 a:1:86 b:1:61 i:1:43 c:2:12 k:1:2 l:1:2 j:1:1 n:1:1
prev	m:1	50	0.0000	NaN	a:1	50	1.0000	a:1:50
prev	j:1	114	0.0725	0.0725	f:1	113	0.9912	f:1:113 e:1:1
prev	h:1	209	0.1084	0.1084	e:1	206	0.9856	e:1:206 c:1:3
prev	h:2	160	0.3843	0.3843	c:1	148	0.9250	c:1:148 c:2:12
prev	k:1	65	0.5083	0.2542	f:1	60	0.9231	f:1:60 c:1:2 e:1:2 d:1:1
prev	d:1	248	0.6751	0.2907	i:1	215	0.8669	i:1:215 b:1:28 j:1:3 a:1:1 h:1:1
prev	l:1	31	0.6838	0.4314	f:1	27	0.8710	f:1:27 d:1:2 e:1:2
prev	i:1	222	0.7493	0.4728	f:1	178	0.8018	f:1:178 e:1:43 c:1:1
prev	b:1	191	0.9480	0.5981	a:1	129	0.6754	a:1:129 e:1:61 c:2:1
prev	g:1	298	1.2115	0.5218	e:1	222	0.7450	e:1:222 a:1:43 d:1:16 c:2:15 c:1:2
prev	a:1	375	1.3278	0.3997	c:1	258	0.6880	c:1:258 e:1:86 h:1:18 j:1:4 b:1:2 c:2:2 h:2:2 f:1:1 i:1:1 m:1:1
prev	c:1	575	2.0375	0.5506	e:1	287	0.4991	e:1:287 b:1:161 m:1:49 a:1:36 h:2:14 d:1:11 j:1:4 f:1:3 i:1:3 g:1:2 h:1:2 n:1:2 c:1:1
prev	c:2	31	2.1210	0.7555	e:1	12	0.3871	e:1:12 a:1:11 n:1:3 h:2:2 c:2:1 i:1:1 m:1:1
prev	f:1	457	2.2071	0.7357	e:1	166	0.3632	e:1:166 c:1:122 f:1:69 k:1:63 l:1:31 h:2:4 a:1:1 d:1:1
prev	n:1	31	2.5771	0.8590	j:1	9	0.2903	j:1:9 a:1:7 d:1:6 h:2:4 c:1:2 e:1:1 f:1:1 h:1:1
prev	e:1	1027	2.8175	0.7859	g:1	296	0.2882	g:1:296 e:1:217 a:1:138 h:2:126 n:1:77 c:1:72 d:1:50 j:1:23 h:1:18 f:1:5 c:2:3 k:1:2
