symbol	occurrences	role	test	token	count	total	share	contrast_count	contrast_total	contrast_share	delta
d:1	248	final	has_prior	i:1	157	161	0.9752	58	87	0.6667	0.3085
d:1	248	final	prev_is	i:1	157	161	0.9752	58	87	0.6667	0.3085
d:1	248	medial	has_prior	e:1	84	87	0.9655	151	161	0.9379	0.0276
d:1	248	final	has_prior	f:1	154	161	0.9565	34	87	0.3908	0.5657
d:1	248	final	has_prior	e:1	151	161	0.9379	84	87	0.9655	-0.0276
d:1	248	medial	has_after	e:1	81	87	0.9310	0	161	0.0000	0.9310
d:1	248	final	has_prior	c:1	133	161	0.8261	63	87	0.7241	0.1019
d:1	248	medial	next_is	e:1	50	87	0.5747	0	161	0.0000	0.5747
d:1	248	medial	has_after	f:1	44	87	0.5057	0	161	0.0000	0.5057
d:1	248	medial	has_after	h:1	43	87	0.4943	0	161	0.0000	0.4943
d:1	248	medial	ends_with	h:1	41	87	0.4713	0	161	0.0000	0.4713
d:1	248	medial	has_prior	f:1	34	87	0.3908	154	161	0.9565	-0.5657
e:1	1332	final	has_prior	g:1	25	26	0.9615	608	1306	0.4655	0.4960
e:1	1332	final	has_prior	n:1	23	26	0.8846	227	1306	0.1738	0.7108
e:1	1332	final	prev_is	g:1	22	26	0.8462	274	1306	0.2098	0.6364
e:1	1332	initial	has_after	c:1	252	305	0.8262	386	1027	0.3759	0.4504
e:1	1332	medial	has_prior	c:1	657	1001	0.6563	13	331	0.0393	0.6171
e:1	1332	medial	has_prior	g:1	608	1001	0.6074	25	331	0.0755	0.5319
c:1	642	final	has_prior	e:1	30	31	0.9677	445	611	0.7283	0.2394
c:1	642	final	has_prior	g:1	27	31	0.8710	184	611	0.3011	0.5698
c:1	642	medial	has_prior	e:1	445	544	0.8180	30	98	0.3061	0.5119
c:1	642	medial	has_prior	a:1	315	544	0.5790	12	98	0.1224	0.4566
c:2	34	initial	has_after	c:1	3	3	1.0000	10	31	0.3226	0.6774
c:2	34	initial	has_after	g:1	3	3	1.0000	17	31	0.5484	0.4516
c:2	34	initial	has_after	e:1	3	3	1.0000	29	31	0.9355	0.0645
c:2	34	medial	has_after	e:1	29	31	0.9355	3	3	1.0000	-0.0645
c:2	34	medial	has_prior	e:1	24	31	0.7742	0	3	0.0000	0.7742
c:2	34	medial	has_prior	c:1	21	31	0.6774	0	3	0.0000	0.6774
c:2	34	initial	has_after	a:1	2	3	0.6667	6	31	0.1935	0.4731
c:2	34	medial	starts_with	e:1	18	31	0.5806	0	3	0.0000	0.5806
c:2	34	medial	has_after	g:1	17	31	0.5484	3	3	1.0000	-0.4516
c:2	34	medial	has_after	f:1	15	31	0.4839	0	3	0.0000	0.4839
c:2	34	medial	has_prior	a:1	15	31	0.4839	0	3	0.0000	0.4839
c:2	34	medial	has_after	c:1	10	31	0.3226	3	3	1.0000	-0.6774
c:2	34	medial	has_after	a:1	6	31	0.1935	2	3	0.6667	-0.4731
f:1	459	initial	next_is	j:1	2	2	1.0000	111	457	0.2429	0.7571
f:1	459	initial	has_after	j:1	2	2	1.0000	136	457	0.2976	0.7024
f:1	459	final	prev_is	e:1	2	2	1.0000	164	457	0.3589	0.6411
f:1	459	final	has_prior	e:1	2	2	1.0000	419	457	0.9168	0.0832
f:1	459	medial	has_prior	e:1	419	455	0.9209	2	4	0.5000	0.4209
f:1	459	medial	has_prior	c:1	383	455	0.8418	1	4	0.2500	0.5918
f:1	459	medial	starts_with	e:1	335	455	0.7363	1	4	0.2500	0.4863
f:1	459	medial	has_after	d:1	328	455	0.7209	0	4	0.0000	0.7209
f:1	459	medial	has_after	i:1	328	455	0.7209	0	4	0.0000	0.7209
f:1	459	medial	ends_with	d:1	289	455	0.6352	0	4	0.0000	0.6352
f:1	459	final	has_prior	j:1	1	2	0.5000	17	457	0.0372	0.4628
a:1	419	final	has_prior	b:1	3	3	1.0000	172	416	0.4135	0.5865
a:1	419	final	prev_is	c:1	3	3	1.0000	255	416	0.6130	0.3870
a:1	419	final	has_prior	c:1	3	3	1.0000	270	416	0.6490	0.3510
a:1	419	initial	has_after	c:1	44	44	1.0000	258	375	0.6880	0.3120
a:1	419	medial	has_after	e:1	339	372	0.9113	36	47	0.7660	0.1453
a:1	419	initial	has_after	b:1	39	44	0.8864	164	375	0.4373	0.4490
a:1	419	initial	has_after	e:1	36	44	0.8182	339	375	0.9040	-0.0858
a:1	419	initial	next_is	b:1	32	44	0.7273	97	375	0.2587	0.4686
a:1	419	medial	has_prior	c:1	270	372	0.7258	3	47	0.0638	0.6620
a:1	419	medial	has_prior	e:1	262	372	0.7043	2	47	0.0426	0.6617
a:1	419	medial	prev_is	c:1	255	372	0.6855	3	47	0.0638	0.6217
a:1	419	final	has_prior	n:1	2	3	0.6667	18	416	0.0433	0.6234
a:1	419	final	has_prior	m:1	2	3	0.6667	54	416	0.1298	0.5369
