symbol	occurrences	role	test	token	count	total	share	contrast_count	contrast_total	contrast_share	delta
d:1	248	initial	ends_with	j:1	1	1	1.0000	0	247	0.0000	1.0000
d:1	248	initial	has_after	j:1	1	1	1.0000	0	247	0.0000	1.0000
d:1	248	initial	next_is	e:1	1	1	1.0000	1	247	0.0040	0.9960
d:1	248	medial	has_after	e:1	17	17	1.0000	1	231	0.0043	0.9957
d:1	248	medial	has_prior	a:1	17	17	1.0000	12	231	0.0519	0.9481
d:1	248	medial	has_prior	c:1	17	17	1.0000	12	231	0.0519	0.9481
d:1	248	initial	has_after	e:1	1	1	1.0000	17	247	0.0688	0.9312
d:1	248	medial	has_prior	e:1	17	17	1.0000	53	231	0.2294	0.7706
d:1	248	medial	ends_with	e:1	16	17	0.9412	0	231	0.0000	0.9412
d:1	248	medial	has_after	g:1	16	17	0.9412	0	231	0.0000	0.9412
d:1	248	medial	next_is	g:1	16	17	0.9412	0	231	0.0000	0.9412
d:1	248	medial	has_prior	b:1	16	17	0.9412	12	231	0.0519	0.8892
d:1	248	medial	prev_is	b:1	16	17	0.9412	12	231	0.0519	0.8892
d:1	248	medial	starts_with	e:1	16	17	0.9412	53	231	0.2294	0.7117
d:1	248	final	has_prior	i:1	215	230	0.9348	0	18	0.0000	0.9348
d:1	248	final	prev_is	i:1	215	230	0.9348	0	18	0.0000	0.9348
d:1	248	final	has_prior	f:1	177	230	0.7696	0	18	0.0000	0.7696
d:1	248	final	has_prior	e:1	53	230	0.2304	17	18	0.9444	-0.7140
e:1	1332	final	has_prior	g:1	293	293	1.0000	3	1039	0.0029	0.9971
e:1	1332	final	prev_is	g:1	293	293	1.0000	3	1039	0.0029	0.9971
e:1	1332	medial	has_prior	a:1	64	67	0.9552	62	1265	0.0490	0.9062
e:1	1332	medial	next_is	b:1	61	67	0.9104	0	1265	0.0000	0.9104
e:1	1332	medial	prev_is	a:1	61	67	0.9104	0	1265	0.0000	0.9104
e:1	1332	medial	has_after	b:1	61	67	0.9104	59	1265	0.0466	0.8638
e:1	1332	medial	has_after	c:1	61	67	0.9104	219	1265	0.1731	0.7373
e:1	1332	medial	has_after	a:1	60	67	0.8955	71	1265	0.0561	0.8394
c:1	642	initial	next_is	g:1	2	2	1.0000	0	640	0.0000	1.0000
c:1	642	initial	has_after	e:1	2	2	1.0000	65	640	0.1016	0.8984
c:1	642	initial	has_after	g:1	2	2	1.0000	65	640	0.1016	0.8984
c:1	642	final	has_prior	a:1	10	11	0.9091	203	631	0.3217	0.5874
c:1	642	final	starts_with	a:1	9	11	0.8182	131	631	0.2076	0.6106
c:1	642	medial	has_prior	e:1	243	354	0.6864	3	288	0.0104	0.6760
c:1	642	final	prev_is	m:1	7	11	0.6364	42	631	0.0666	0.5698
c:1	642	final	has_prior	m:1	7	11	0.6364	43	631	0.0681	0.5682
c:1	642	medial	starts_with	e:1	218	354	0.6158	2	288	0.0069	0.6089
c:1	642	medial	has_prior	a:1	203	354	0.5734	10	288	0.0347	0.5387
c:1	642	medial	has_after	a:1	202	354	0.5706	0	288	0.0000	0.5706
c:1	642	medial	next_is	a:1	202	354	0.5706	0	288	0.0000	0.5706
c:1	642	initial	ends_with	h:1	1	2	0.5000	4	640	0.0063	0.4938
c:1	642	initial	has_after	h:1	1	2	0.5000	4	640	0.0063	0.4938
c:2	34	initial	ends_with	e:1	11	11	1.0000	5	23	0.2174	0.7826
c:2	34	initial	has_after	e:1	11	11	1.0000	6	23	0.2609	0.7391
c:2	34	initial	has_after	g:1	11	11	1.0000	6	23	0.2609	0.7391
c:2	34	initial	next_is	g:1	9	11	0.8182	6	23	0.2609	0.5573
c:2	34	medial	has_prior	e:1	14	20	0.7000	2	14	0.1429	0.5571
c:2	34	medial	starts_with	e:1	14	20	0.7000	2	14	0.1429	0.5571
c:2	34	final	has_prior	b:1	2	3	0.6667	4	31	0.1290	0.5376
c:2	34	final	prev_is	a:1	2	3	0.6667	6	31	0.1935	0.4731
