macro_signature	count	share	examples
e:1 MEDIAL_OP e:1 c:1 f:1 j:1	20	0.0423	p003-u091, p003-u105, p003-u106, p003-u110, p003-u150
e:1 c:1 h:2 e:1 f:1 MEDIAL_OP f:1 MEDIAL_OP d:1	13	0.0275	p003-u033, p003-u059, p003-u082, p003-u099, p003-u169
e:1 c:1 h:2 e:1 f:1 f:1 MEDIAL_OP d:1	10	0.0211	p003-u096, p003-u154, p003-u159, p003-u162, p004-u035
e:1 c:1 h:2 e:1 f:1 l:1 f:1 MEDIAL_OP d:1	9	0.0190	p003-u056, p003-u063, p003-u089, p003-u132, p003-u143
e:1 MEDIAL_OP e:1 e:1 h:1	9	0.0190	p004-u049, p005-u018, p005-u083, p005-u091, p094-u061
n:1 e:1 MEDIAL_OP e:1	9	0.0190	p004-u073, p005-u011, p005-u029, p005-u043, p005-u049
c:1 f:1 j:1 n:1 e:1 MEDIAL_OP e:1	7	0.0148	p003-u005, p003-u127, p004-u032, p004-u043, p004-u079
c:1 f:1 MEDIAL_OP d:1	7	0.0148	p003-u022, p003-u035, p003-u064, p004-u010, p004-u074
e:1 MEDIAL_OP e:1 c:1	6	0.0127	p003-u108, p003-u165, p003-u191, p004-u029, p094-u063
e:1 MEDIAL_OP e:1 c:1 e:1 c:1 h:2 e:1 h:1	6	0.0127	p004-u015, p004-u022, p004-u070, p004-u087, p094-u035
e:1 a:1 e:1 MEDIAL_OP c:1 a:1 MEDIAL_OP e:1 e:1 h:1	5	0.0106	p003-u097, p003-u124, p004-u050, p005-u013, p094-u027
e:1 MEDIAL_OP e:1 c:1 f:1 MEDIAL_OP d:1	5	0.0106	p003-u057, p003-u141, p005-u017, p005-u092, p094-u030
e:1 MEDIAL_OP e:1 e:1 f:1 f:1 MEDIAL_OP d:1	5	0.0106	p003-u102, p004-u005, p004-u009, p005-u096, p094-u015
n:1 e:1 MEDIAL_OP e:1 c:1	5	0.0106	p003-u087, p003-u109, p003-u116, p005-u100, p094-u024
a:1 MEDIAL_OP c:1 a:1 c:1 f:1 j:1	4	0.0085	p003-u104, p004-u064, p005-u060, p094-u023
c:1 f:1 j:1	4	0.0085	p004-u003, p004-u052, p004-u063, p005-u073
e:1 c:1 h:2 c:1 f:1 j:1	4	0.0085	p004-u024, p004-u045, p004-u055, p004-u058
e:1 c:1 h:2 e:1 f:1 f:1 j:1	4	0.0085	p003-u189, p004-u023, p004-u086, p005-u082
e:1 c:1 h:2 e:1 MEDIAL_OP e:1 e:1 h:1	4	0.0085	p003-u094, p005-u041, p094-u059, p094-u064
e:1 MEDIAL_OP d:1 e:1 f:1 MEDIAL_OP f:1 MEDIAL_OP d:1	4	0.0085	p005-u035, p005-u069, p005-u097, p094-u037
e:1 MEDIAL_OP e:1 e:1 e:1 h:1	4	0.0085	p003-u142, p004-u036, p004-u046, p005-u102
n:1 e:1 MEDIAL_OP e:1 c:1 e:1 c:1 h:2 e:1 h:1	4	0.0085	p003-u051, p003-u062, p003-u183, p004-u083
a:1 MEDIAL_OP c:1 a:1 c:1 e:1 c:1 h:2 e:1 h:1	3	0.0063	p004-u013, p004-u030, p004-u037
c:1 a:1 MEDIAL_OP c:1 a:1 c:1 f:1 j:1	3	0.0063	p003-u168, p004-u075, p005-u090
c:1 a:1 MEDIAL_OP c:1 a:1 e:1 MEDIAL_OP e:1 e:1 e:1 h:1	3	0.0063	p003-u178, p003-u186, p094-u010
e:1 a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP e:1 e:1 e:1 h:1	3	0.0063	p003-u084, p003-u144, p004-u056
e:1 a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP e:1 e:1 f:1 f:1 MEDIAL_OP d:1	3	0.0063	p003-u011, p003-u017, p003-u164
e:1 a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP e:1 e:1 h:1	3	0.0063	p003-u185, p004-u020, p005-u045
e:1 f:1 f:1 MEDIAL_OP d:1	3	0.0063	p003-u003, p005-u086, p005-u095
e:1 MEDIAL_OP e:1 e:1 a:1 e:1 MEDIAL_OP c:1 a:1 e:1 h:1	3	0.0063	p003-u119, p005-u098, p094-u049
e:1 MEDIAL_OP e:1 e:1 f:1 MEDIAL_OP f:1 MEDIAL_OP d:1	3	0.0063	p005-u007, p005-u020, p094-u080
n:1 e:1 MEDIAL_OP e:1 e:1 e:1 e:1 h:1	3	0.0063	p003-u050, p005-u061, p094-u022
n:1 e:1 MEDIAL_OP e:1 e:1 h:1	3	0.0063	p004-u018, p094-u009, p094-u032
a:1 MEDIAL_OP c:1 a:1 e:1 e:1 e:1 h:1	2	0.0042	p003-u187, p003-u188
c:1 a:1 e:1 MEDIAL_OP c:1 a:1 e:1 e:1 e:1 h:1	2	0.0042	p003-u030, p094-u062
c:1 a:1 MEDIAL_OP c:1 a:1 e:1 f:1 MEDIAL_OP f:1 MEDIAL_OP d:1	2	0.0042	p003-u034, p003-u166
c:1 e:1 c:1 h:2 e:1 f:1 MEDIAL_OP f:1 MEDIAL_OP d:1	2	0.0042	p003-u092, p005-u030
c:1 e:1 MEDIAL_OP e:1 e:1 h:1	2	0.0042	p003-u118, p004-u011
e:1 a:1 MEDIAL_OP c:1 a:1 e:1 h:1	2	0.0042	p005-u075, p094-u066
e:1 a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP d:1 MEDIAL_OP e:1 e:1 f:1 f:1 MEDIAL_OP d:1	2	0.0042	p003-u040, p004-u006
e:1 a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP e:1 c:1 f:1 j:1	2	0.0042	p004-u042, p004-u069
e:1 a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP e:1 c:1 f:1 MEDIAL_OP d:1	2	0.0042	p003-u101, p005-u080
e:1 c:1 h:2 c:1 f:1 MEDIAL_OP d:1	2	0.0042	p003-u114, p094-u017
e:1 c:1 h:2 e:1 MEDIAL_OP e:1 c:1 f:1 j:1	2	0.0042	p004-u012, p005-u040
e:1 e:1 e:1 h:1	2	0.0042	p005-u056, p005-u089
e:1 f:1 MEDIAL_OP f:1 MEDIAL_OP d:1	2	0.0042	p003-u020, p005-u050
e:1 h:1 a:1 MEDIAL_OP c:1 a:1 c:1 f:1 j:1	2	0.0042	p004-u057, p004-u060
e:1 h:1 a:1 MEDIAL_OP c:1 a:1 n:1 e:1 MEDIAL_OP e:1	2	0.0042	p003-u112, p005-u054
e:1 h:1 c:1 f:1 MEDIAL_OP d:1	2	0.0042	p003-u012, p005-u094
e:1 MEDIAL_OP d:1 e:1 f:1 f:1 j:1	2	0.0042	p094-u006, p094-u047
e:1 MEDIAL_OP d:1 e:1 f:1 f:1 MEDIAL_OP d:1 e:1 h:1	2	0.0042	p094-u007, p094-u034
e:1 MEDIAL_OP d:1 e:1 h:1	2	0.0042	p003-u019, p003-u028
e:1 MEDIAL_OP d:1 n:1 e:1 MEDIAL_OP e:1	2	0.0042	p003-u047, p005-u052
e:1 MEDIAL_OP e:1 c:1 a:1 MEDIAL_OP c:1 a:1 e:1 h:1	2	0.0042	p003-u194, p004-u040
e:1 MEDIAL_OP e:1 c:1 e:1 c:1 h:2 e:1 f:1 f:1 MEDIAL_OP d:1	2	0.0042	p003-u111, p004-u090
e:1 MEDIAL_OP e:1 c:1 e:1 c:1 h:2 e:1 f:1 MEDIAL_OP f:1 MEDIAL_OP d:1	2	0.0042	p003-u115, p004-u002
e:1 MEDIAL_OP e:1 c:1 f:1 MEDIAL_OP d:1 e:1 h:1	2	0.0042	p003-u153, p094-u012
e:1 MEDIAL_OP e:1 e:1 c:1 f:1 MEDIAL_OP d:1	2	0.0042	p094-u002, p094-u036
n:1 e:1 MEDIAL_OP e:1 c:1 n:1 e:1 MEDIAL_OP e:1 e:1 h:1	2	0.0042	p003-u071, p004-u039
n:1 e:1 MEDIAL_OP e:1 e:1 e:1 h:1	2	0.0042	p003-u103, p003-u163
a:1 e:1 MEDIAL_OP c:1 a:1 e:1 c:1 e:1 c:1 h:2 e:1 h:1	1	0.0021	p003-u065
a:1 e:1 MEDIAL_OP c:1 a:1 f:1 MEDIAL_OP d:1 c:1 e:1 MEDIAL_OP e:1 e:1 f:1 c:1	1	0.0021	p094-u045
a:1 e:1 MEDIAL_OP c:1 a:1 n:1 e:1 MEDIAL_OP e:1 c:1 e:1 c:1 h:2 e:1 e:1 e:1 MEDIAL_OP d:1 e:1 h:1	1	0.0021	p003-u151
a:1 MEDIAL_OP c:1	1	0.0021	p004-u051
a:1 MEDIAL_OP c:1 a:1 c:1 a:1 MEDIAL_OP c:1 a:1	1	0.0021	p004-u021
a:1 MEDIAL_OP c:1 a:1 c:1 a:1 MEDIAL_OP c:1 a:1 e:1 f:1 MEDIAL_OP f:1 MEDIAL_OP d:1	1	0.0021	p003-u179
a:1 MEDIAL_OP c:1 a:1 c:1 c:1 f:1 MEDIAL_OP d:1	1	0.0021	p004-u084
a:1 MEDIAL_OP c:1 a:1 c:1 e:1 c:1 h:2	1	0.0021	p003-u098
a:1 MEDIAL_OP c:1 a:1 c:1 e:1 c:1 h:2 e:1 f:1 MEDIAL_OP f:1 MEDIAL_OP d:1	1	0.0021	p003-u085
a:1 MEDIAL_OP c:1 a:1 c:1 e:1 c:1 h:2 e:1 MEDIAL_OP e:1 e:1 h:1 e:1 c:1 h:2	1	0.0021	p003-u181
a:1 MEDIAL_OP c:1 a:1 c:1 e:1 c:1 h:2 n:1 e:1 MEDIAL_OP e:1 e:1 e:1 h:1	1	0.0021	p003-u129
a:1 MEDIAL_OP c:1 a:1 c:1 e:1 MEDIAL_OP d:1	1	0.0021	p003-u058
a:1 MEDIAL_OP c:1 a:1 c:1 f:1 MEDIAL_OP d:1	1	0.0021	p003-u107
a:1 MEDIAL_OP c:1 a:1 c:2 MEDIAL_OP e:1 c:1 a:1 MEDIAL_OP c:1 a:1 c:2 MEDIAL_OP e:1 e:1 h:1	1	0.0021	p004-u017
a:1 MEDIAL_OP c:1 a:1 c:2 MEDIAL_OP e:1 n:1 e:1 MEDIAL_OP e:1 e:1 h:1	1	0.0021	p003-u184
a:1 MEDIAL_OP c:1 a:1 e:1 c:1 f:1 j:1	1	0.0021	p005-u078
a:1 MEDIAL_OP c:1 a:1 e:1 e:1 e:1 MEDIAL_OP d:1 e:1 h:1	1	0.0021	p094-u072
a:1 MEDIAL_OP c:1 a:1 e:1 e:1 e:1 MEDIAL_OP e:1 e:1 h:1	1	0.0021	p094-u025
a:1 MEDIAL_OP c:1 a:1 e:1 e:1 MEDIAL_OP e:1 e:1 h:1	1	0.0021	p004-u065
a:1 MEDIAL_OP c:1 a:1 e:1 f:1 MEDIAL_OP f:1 MEDIAL_OP d:1	1	0.0021	p003-u161
a:1 MEDIAL_OP c:1 a:1 e:1 h:1	1	0.0021	p004-u067
a:1 MEDIAL_OP c:1 a:1 e:1 h:1 e:1 c:1 h:2 e:1 f:1 l:1 f:1 MEDIAL_OP d:1	1	0.0021	p005-u048
a:1 MEDIAL_OP c:1 a:1 e:1 h:1 e:1 c:1 h:2 e:1 f:1 l:1 f:1 MEDIAL_OP d:1 e:1 h:1	1	0.0021	p005-u001
a:1 MEDIAL_OP c:1 a:1 e:1 MEDIAL_OP c:1 a:1 c:1 f:1 j:1	1	0.0021	p094-u021
a:1 MEDIAL_OP c:1 a:1 e:1 MEDIAL_OP c:1 a:1 e:1 f:1 MEDIAL_OP f:1 MEDIAL_OP d:1	1	0.0021	p005-u015
a:1 MEDIAL_OP c:1 a:1 e:1 MEDIAL_OP c:1 a:1 e:1 h:1	1	0.0021	p094-u026
a:1 MEDIAL_OP c:1 a:1 e:1 MEDIAL_OP e:1 c:1	1	0.0021	p003-u113
a:1 MEDIAL_OP c:1 a:1 e:1 MEDIAL_OP e:1 c:1 f:1 MEDIAL_OP c:1 h:1	1	0.0021	p003-u117
a:1 MEDIAL_OP c:1 a:1 e:1 MEDIAL_OP e:1 e:1 MEDIAL_OP d:1 e:1 h:1	1	0.0021	p004-u001
a:1 MEDIAL_OP c:1 a:1 e:1 MEDIAL_OP f:1 MEDIAL_OP d:1	1	0.0021	p003-u013
a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP c:1 a:1 c:2 MEDIAL_OP e:1 e:1 e:1 e:1 h:1	1	0.0021	p094-u048
a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP c:1 a:1 e:1 e:1 h:1	1	0.0021	p005-u063
