image_name	row_index	unit_id	molecule_id	unit_index	atom_count	first_token	last_token	prefix2	suffix2	prev_molecule_id	prev_last_token	prev_suffix2	next_molecule_id	next_first_token	next_prefix2	signature
page-003.jpg	1	p003-u001	img3-m1	1	16	a:1	e:1	a:1 b:1	g:1 e:1				img3-m9	e:1	e:1 h:1	a:1 b:1 c:1 a:1 b:1 d:1 f:1 i:1 d:1 e:1 h:1 e:1 f:1 e:1 g:1 e:1
page-003.jpg	1	p003-u002	img3-m9	2	10	e:1	j:1	e:1 h:1	f:1 j:1	img3-m1	e:1	g:1 e:1	img3-m5	e:1	e:1 f:1	e:1 h:1 a:1 b:1 c:1 a:1 e:1 f:1 f:1 j:1
page-003.jpg	1	p003-u003	img3-m5	3	5	e:1	d:1	e:1 f:1	i:1 d:1	img3-m9	j:1	f:1 j:1	img3-m6	e:1	e:1 h:1	e:1 f:1 f:1 i:1 d:1
page-003.jpg	1	p003-u004	img3-m6	4	13	e:1	d:1	e:1 h:1	i:1 d:1	img3-m5	d:1	i:1 d:1	img3-m4	c:1	c:1 f:1	e:1 h:1 a:1 e:1 b:1 c:1 a:1 e:1 f:1 k:1 f:1 i:1 d:1
page-003.jpg	1	p003-u005	img3-m4	5	7	c:1	e:1	c:1 f:1	g:1 e:1	img3-m6	d:1	i:1 d:1	img3-m3	n:1	n:1 e:1	c:1 f:1 j:1 n:1 e:1 g:1 e:1
page-003.jpg	1	p003-u006	img3-m3	6	10	n:1	h:1	n:1 e:1	e:1 h:1	img3-m4	e:1	g:1 e:1	img3-m2	e:1	e:1 a:1	n:1 e:1 g:1 e:1 f:1 i:1 d:1 c:1 e:1 h:1
page-003.jpg	1	p003-u007	img3-m2	7	15	e:1	d:1	e:1 a:1	i:1 d:1	img3-m3	h:1	e:1 h:1	img3-m7	e:1	e:1 h:1	e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 e:1 i:1 d:1 e:1 e:1 i:1 d:1
page-003.jpg	1	p003-u008	img3-m7	8	10	e:1	d:1	e:1 h:1	i:1 d:1	img3-m2	d:1	i:1 d:1	img3-m8	n:1	n:1 e:1	e:1 h:1 a:1 b:1 c:1 a:1 c:1 f:1 i:1 d:1
page-003.jpg	1	p003-u009	img3-m8	9	12	n:1	h:1	n:1 e:1	e:1 h:1	img3-m7	d:1	i:1 d:1				n:1 e:1 g:1 e:1 c:1 f:1 j:1 e:1 c:2 h:2 e:1 h:1
page-003.jpg	2	p003-u010	img3-m15	10	9	e:1	h:1	e:1 i:1	e:1 h:1				img3-m13	e:1	e:1 a:1	e:1 i:1 d:1 c:1 f:1 i:1 d:1 e:1 h:1
page-003.jpg	2	p003-u011	img3-m13	11	12	e:1	d:1	e:1 a:1	i:1 d:1	img3-m15	h:1	e:1 h:1	img3-m18	e:1	e:1 h:1	e:1 a:1 b:1 c:1 a:1 g:1 e:1 e:1 f:1 f:1 i:1 d:1
page-003.jpg	2	p003-u012	img3-m18	12	6	e:1	d:1	e:1 h:1	i:1 d:1	img3-m13	d:1	i:1 d:1	img3-m12	a:1	a:1 b:1	e:1 h:1 c:1 f:1 i:1 d:1
page-003.jpg	2	p003-u013	img3-m12	13	9	a:1	d:1	a:1 b:1	i:1 d:1	img3-m18	d:1	i:1 d:1	img3-m17	e:1	e:1 g:1	a:1 b:1 c:1 a:1 e:1 k:1 f:1 i:1 d:1
page-003.jpg	2	p003-u014	img3-m17	14	13	e:1	d:1	e:1 g:1	i:1 d:1	img3-m12	d:1	i:1 d:1	img3-m14	n:1	n:1 e:1	e:1 g:1 e:1 a:1 m:1 c:1 a:1 e:1 f:1 k:1 f:1 i:1 d:1
page-003.jpg	2	p003-u015	img3-m14	15	9	n:1	d:1	n:1 e:1	i:1 d:1	img3-m17	d:1	i:1 d:1	img3-m16	e:1	e:1 f:1	n:1 e:1 g:1 e:1 e:1 f:1 f:1 i:1 d:1
page-003.jpg	2	p003-u016	img3-m16	16	6	e:1	d:1	e:1 f:1	i:1 d:1	img3-m14	d:1	i:1 d:1	img3-m10	e:1	e:1 a:1	e:1 f:1 l:1 f:1 i:1 d:1
page-003.jpg	2	p003-u017	img3-m10	17	12	e:1	d:1	e:1 a:1	i:1 d:1	img3-m16	d:1	i:1 d:1	img3-m11	e:1	e:1 a:1	e:1 a:1 m:1 c:1 a:1 g:1 e:1 e:1 f:1 f:1 i:1 d:1
page-003.jpg	2	p003-u018	img3-m11	18	21	e:1	d:1	e:1 a:1	i:1 d:1	img3-m10	d:1	i:1 d:1				e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 e:1 f:1 f:1 i:1 d:1 e:1 c:2 h:2 e:1 f:1 f:1 i:1 d:1
page-003.jpg	3	p003-u019	img3-m23	19	5	e:1	h:1	e:1 i:1	e:1 h:1				img3-m28	e:1	e:1 f:1	e:1 i:1 d:1 e:1 h:1
page-003.jpg	3	p003-u020	img3-m28	20	6	e:1	d:1	e:1 f:1	i:1 d:1	img3-m23	h:1	e:1 h:1	img3-m27	n:1	n:1 e:1	e:1 f:1 k:1 f:1 i:1 d:1
page-003.jpg	3	p003-u021	img3-m27	21	11	n:1	h:1	n:1 e:1	e:1 h:1	img3-m28	d:1	i:1 d:1	img3-m25	c:1	c:1 f:1	n:1 e:1 g:1 e:1 e:1 a:1 b:1 c:1 a:1 e:1 h:1
page-003.jpg	3	p003-u022	img3-m25	22	4	c:1	d:1	c:1 f:1	i:1 d:1	img3-m27	h:1	e:1 h:1	img3-m26	e:1	e:1 h:1	c:1 f:1 i:1 d:1
page-003.jpg	3	p003-u023	img3-m26	23	12	e:1	d:1	e:1 h:1	i:1 d:1	img3-m25	d:1	i:1 d:1	img3-m24	n:1	n:1 e:1	e:1 h:1 a:1 b:1 c:1 a:1 e:1 f:1 k:1 f:1 i:1 d:1
page-003.jpg	3	p003-u024	img3-m24	24	8	n:1	h:2	n:1 e:1	c:1 h:2	img3-m26	d:1	i:1 d:1	img3-m19	e:1	e:1 a:1	n:1 e:1 g:1 e:1 c:1 e:1 c:1 h:2
page-003.jpg	3	p003-u025	img3-m19	25	16	e:1	h:1	e:1 a:1	e:1 h:1	img3-m24	h:2	c:1 h:2	img3-m20	e:1	e:1 a:1	e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 c:1 e:1 f:1 f:1 i:1 d:1 e:1 h:1
page-003.jpg	3	p003-u026	img3-m20	26	12	e:1	d:1	e:1 a:1	i:1 d:1	img3-m19	h:1	e:1 h:1	img3-m22	e:1	e:1 c:2	e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 c:1 e:1 i:1 d:1
page-003.jpg	3	p003-u027	img3-m22	27	14	e:1	d:1	e:1 c:2	i:1 d:1	img3-m20	d:1	i:1 d:1	img3-m21	e:1	e:1 i:1	e:1 c:2 h:2 e:1 f:1 f:1 i:1 d:1 e:1 f:1 k:1 f:1 i:1 d:1
page-003.jpg	3	p003-u028	img3-m21	28	5	e:1	h:1	e:1 i:1	e:1 h:1	img3-m22	d:1	i:1 d:1				e:1 i:1 d:1 e:1 h:1
page-003.jpg	4	p003-u029	img3-m33	29	8	e:1	d:1	e:1 c:1	i:1 d:1				img3-m36	c:1	c:1 a:1	e:1 c:1 h:2 c:1 k:1 f:1 i:1 d:1
page-003.jpg	4	p003-u030	img3-m36	30	10	c:1	h:1	c:1 a:1	e:1 h:1	img3-m33	d:1	i:1 d:1	img3-m35	c:1	c:1 a:1	c:1 a:1 e:1 b:1 c:1 a:1 e:1 e:1 e:1 h:1
page-003.jpg	4	p003-u031	img3-m35	31	24	c:1	h:1	c:1 a:1	e:1 h:1	img3-m36	h:1	e:1 h:1	img3-m29	e:1	e:1 a:1	c:1 a:1 e:1 b:1 c:1 a:1 e:1 c:1 f:1 i:1 d:1 e:1 i:1 d:1 c:1 f:1 j:1 c:1 a:1 m:1 c:1 a:1 e:1 h:1
page-003.jpg	4	p003-u032	img3-m29	32	13	e:1	d:1	e:1 a:1	i:1 d:1	img3-m35	h:1	e:1 h:1	img3-m30	e:1	e:1 c:1	e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 f:1 c:1 f:1 i:1 d:1
page-003.jpg	4	p003-u033	img3-m30	33	9	e:1	d:1	e:1 c:1	i:1 d:1	img3-m29	d:1	i:1 d:1	img3-m34	c:1	c:1 a:1	e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1
page-003.jpg	4	p003-u034	img3-m34	34	11	c:1	d:1	c:1 a:1	i:1 d:1	img3-m30	d:1	i:1 d:1	img3-m31	c:1	c:1 f:1	c:1 a:1 b:1 c:1 a:1 e:1 f:1 k:1 f:1 i:1 d:1
page-003.jpg	4	p003-u035	img3-m31	35	4	c:1	d:1	c:1 f:1	i:1 d:1	img3-m34	d:1	i:1 d:1	img3-m32	c:1	c:1 a:1	c:1 f:1 i:1 d:1
page-003.jpg	4	p003-u036	img3-m32	36	10	c:1	d:1	c:1 a:1	i:1 d:1	img3-m31	d:1	i:1 d:1				c:1 a:1 b:1 c:1 a:1 e:1 f:1 f:1 i:1 d:1
page-003.jpg	5	p003-u037	img3-m41	37	11	e:1	h:1	e:1 i:1	e:1 h:1				img3-m42	e:1	e:1 g:1	e:1 i:1 d:1 e:1 f:1 l:1 f:1 i:1 d:1 e:1 h:1
page-003.jpg	5	p003-u038	img3-m42	38	9	e:1	d:1	e:1 g:1	i:1 d:1	img3-m41	h:1	e:1 h:1	img3-m38	e:1	e:1 a:1	e:1 g:1 e:1 e:1 e:1 f:1 f:1 i:1 d:1
page-003.jpg	5	p003-u039	img3-m38	39	13	e:1	d:1	e:1 a:1	i:1 d:1	img3-m42	d:1	i:1 d:1	img3-m39	e:1	e:1 a:1	e:1 a:1 m:1 c:1 a:1 g:1 e:1 e:1 f:1 k:1 f:1 i:1 d:1
page-003.jpg	5	p003-u040	img3-m39	40	14	e:1	d:1	e:1 a:1	i:1 d:1	img3-m38	d:1	i:1 d:1	img3-m37	e:1	e:1 a:1	e:1 a:1 m:1 c:1 a:1 b:1 d:1 g:1 e:1 e:1 f:1 f:1 i:1 d:1
page-003.jpg	5	p003-u041	img3-m37	41	15	e:1	d:1	e:1 a:1	i:1 d:1	img3-m39	d:1	i:1 d:1	img3-m40	e:1	e:1 h:1	e:1 a:1 b:1 c:1 a:1 b:1 d:1 g:1 e:1 e:1 f:1 k:1 f:1 i:1 d:1
page-003.jpg	5	p003-u042	img3-m40	42	19	e:1	h:1	e:1 h:1	e:1 h:1	img3-m37	d:1	i:1 d:1				e:1 h:1 e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1 e:1 f:1 f:1 n:1 e:1 g:1 e:1 e:1 h:1
page-003.jpg	6	p003-u043	img3-m46	43	9	c:1	d:1	c:1 e:1	i:1 d:1				img3-m48	n:1	n:1 c:1	c:1 e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1
page-003.jpg	6	p003-u044	img3-m48	44	12	n:1	j:1	n:1 c:1	f:1 j:1	img3-m46	d:1	i:1 d:1	img3-m44	e:1	e:1 a:1	n:1 c:1 g:1 e:1 h:1 n:1 e:1 g:1 e:1 c:1 f:1 j:1
page-003.jpg	6	p003-u045	img3-m44	45	12	e:1	h:1	e:1 a:1	e:1 h:1	img3-m48	j:1	f:1 j:1	img3-m45	c:1	c:1 e:1	e:1 a:1 m:1 c:1 a:1 b:1 d:1 g:1 e:1 c:1 e:1 h:1
page-003.jpg	6	p003-u046	img3-m45	46	11	c:1	d:1	c:1 e:1	i:1 d:1	img3-m44	h:1	e:1 h:1	img3-m47	e:1	e:1 i:1	c:1 e:1 h:1 e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1
page-003.jpg	6	p003-u047	img3-m47	47	7	e:1	e:1	e:1 i:1	g:1 e:1	img3-m45	d:1	i:1 d:1	img3-m43	e:1	e:1 a:1	e:1 i:1 d:1 n:1 e:1 g:1 e:1
