actual	predicted	count
a:1	a:1	415
a:1	h:1	2
a:1	h:2	2
b:1	b:1	183
b:1	g:1	8
c:1	a:1	1
c:1	c:1	631
c:1	c:2	2
c:1	d:1	4
c:1	e:1	1
c:1	i:1	1
c:1	n:1	2
c:2	a:1	1
c:2	c:1	7
c:2	c:2	26
d:1	a:1	1
d:1	d:1	235
d:1	e:1	2
d:1	g:1	9
d:1	n:1	1
e:1	d:1	4
e:1	e:1	1327
e:1	h:2	1
f:1	e:1	1
f:1	f:1	456
f:1	h:2	2
g:1	b:1	6
g:1	d:1	3
g:1	g:1	289
h:1	h:1	205
h:1	h:2	1
h:1	i:1	3
h:2	a:1	5
h:2	f:1	1
h:2	h:2	154
i:1	b:1	2
i:1	g:1	1
i:1	i:1	219
j:1	h:1	2
j:1	i:1	4
j:1	j:1	108
k:1	k:1	65
l:1	l:1	31
m:1	b:1	3
m:1	d:1	3
m:1	g:1	1
m:1	m:1	44
n:1	c:1	1
n:1	d:1	5
n:1	e:1	2
n:1	f:1	1
n:1	h:1	4
n:1	h:2	1
n:1	i:1	2
n:1	j:1	5
n:1	n:1	61
