token	count	intra_mean	intra_p95	nearest_other	nearest_other_distance	separation_ratio	centroid_accuracy	knn_accuracy
a:1	419	9.7556	12.9702	h:2	12.8780	1.3201	0.9905	0.9905
b:1	191	13.7000	19.7579	g:1	10.2873	0.7509	0.8272	0.9581
c:1	642	17.9164	28.3790	n:1	17.3616	0.9690	0.8832	0.9829
c:2	34	23.0388	40.7629	m:1	34.5543	1.4998	0.7647	0.7647
d:1	248	14.8795	22.2889	g:1	10.3547	0.6959	0.8669	0.9476
e:1	1332	4.7548	22.6474	h:2	15.5169	3.2634	0.9640	0.9962
f:1	459	3.1271	15.9898	h:2	15.3710	4.9154	0.9782	0.9935
g:1	298	9.1152	11.1819	b:1	10.2873	1.1286	1.0000	0.9698
h:1	209	9.8782	18.9730	a:1	14.5993	1.4779	0.9187	0.9809
h:2	160	12.0702	17.0813	i:1	12.3730	1.0251	0.8750	0.9625
i:1	222	16.0576	22.1182	h:2	12.3730	0.7705	0.9775	0.9865
j:1	114	11.0425	27.4915	n:1	20.2398	1.8329	0.8772	0.9474
k:1	65	15.0549	20.3470	b:1	12.3353	0.8194	0.9538	1.0000
l:1	31	17.6733	28.7643	b:1	16.8905	0.9557	1.0000	1.0000
m:1	51	16.9596	21.3339	b:1	13.3280	0.7859	0.9804	0.8627
n:1	82	19.1999	24.0761	d:1	12.3942	0.6455	0.9390	0.7439
