atom_id	image_name	token	predicted_centroid	centroid_correct	predicted_knn	knn_correct	nearest_distance	snapshot_path
980	page-003.jpg	a:1	a:1	yes	a:1	yes	11.4712	atoms\a_1\page-003.jpg\980.svg
1322	page-003.jpg	b:1	b:1	yes	b:1	yes	17.4494	atoms\b_1\page-003.jpg\1322.svg
982	page-003.jpg	c:1	c:1	yes	c:1	yes	23.6383	atoms\c_1\page-003.jpg\982.svg
983	page-003.jpg	a:1	a:1	yes	a:1	yes	9.7146	atoms\a_1\page-003.jpg\983.svg
981	page-003.jpg	b:1	b:1	yes	b:1	yes	10.1815	atoms\b_1\page-003.jpg\981.svg
5493	page-003.jpg	d:1	m:1	no	e:1	no	23.2380	atoms\d_1\page-003.jpg\5493.svg
999	page-003.jpg	f:1	d:1	no	f:1	yes	60.1510	atoms\f_1\page-003.jpg\999.svg
1000	page-003.jpg	i:1	i:1	yes	i:1	yes	14.0152	atoms\i_1\page-003.jpg\1000.svg
1002	page-003.jpg	d:1	d:1	yes	d:1	yes	13.2603	atoms\d_1\page-003.jpg\1002.svg
996	page-003.jpg	e:1	e:1	yes	e:1	yes	1.9159	atoms\e_1\page-003.jpg\996.svg
997	page-003.jpg	h:1	h:1	yes	h:1	yes	9.5020	atoms\h_1\page-003.jpg\997.svg
991	page-003.jpg	e:1	e:1	yes	e:1	yes	18.8364	atoms\e_1\page-003.jpg\991.svg
992	page-003.jpg	f:1	f:1	yes	f:1	yes	14.4765	atoms\f_1\page-003.jpg\992.svg
993	page-003.jpg	e:1	e:1	yes	e:1	yes	1.9159	atoms\e_1\page-003.jpg\993.svg
995	page-003.jpg	g:1	g:1	yes	g:1	yes	8.6359	atoms\g_1\page-003.jpg\995.svg
994	page-003.jpg	e:1	e:1	yes	e:1	yes	20.1354	atoms\e_1\page-003.jpg\994.svg
1216	page-003.jpg	e:1	e:1	yes	e:1	yes	28.8034	atoms\e_1\page-003.jpg\1216.svg
1247	page-003.jpg	a:1	a:1	yes	a:1	yes	8.9201	atoms\a_1\page-003.jpg\1247.svg
3032	page-003.jpg	m:1	m:1	yes	m:1	yes	19.1268	atoms\m_1\page-003.jpg\3032.svg
1249	page-003.jpg	c:1	c:1	yes	c:1	yes	24.1295	atoms\c_1\page-003.jpg\1249.svg
1250	page-003.jpg	a:1	a:1	yes	a:1	yes	12.1741	atoms\a_1\page-003.jpg\1250.svg
1222	page-003.jpg	g:1	g:1	yes	g:1	yes	11.2766	atoms\g_1\page-003.jpg\1222.svg
1217	page-003.jpg	e:1	e:1	yes	e:1	yes	22.8971	atoms\e_1\page-003.jpg\1217.svg
1253	page-003.jpg	e:1	e:1	yes	e:1	yes	23.0667	atoms\e_1\page-003.jpg\1253.svg
1254	page-003.jpg	f:1	f:1	yes	f:1	yes	1.2154	atoms\f_1\page-003.jpg\1254.svg
