token_a	token_b	centroid_distance
b:1	g:1	10.2873
d:1	g:1	10.3547
b:1	k:1	12.3353
h:2	i:1	12.3730
d:1	n:1	12.3942
b:1	d:1	12.5494
a:1	h:2	12.8780
b:1	m:1	13.3280
d:1	i:1	13.8751
b:1	i:1	14.0279
i:1	n:1	14.1884
d:1	m:1	14.2599
a:1	i:1	14.3956
a:1	d:1	14.5935
a:1	h:1	14.5993
g:1	m:1	14.6688
g:1	i:1	14.7432
a:1	b:1	14.9282
d:1	h:2	15.0567
g:1	n:1	15.1692
a:1	g:1	15.1774
a:1	m:1	15.2334
h:2	n:1	15.2576
f:1	h:2	15.3710
h:1	i:1	15.3839
e:1	h:2	15.5169
b:1	n:1	15.5639
a:1	f:1	15.6455
b:1	f:1	15.6585
a:1	n:1	15.6656
f:1	g:1	15.7712
g:1	h:2	15.7999
d:1	f:1	15.8366
b:1	h:2	15.8603
h:2	m:1	15.9075
g:1	k:1	16.0271
d:1	k:1	16.1822
h:1	n:1	16.5238
k:1	m:1	16.7227
f:1	n:1	16.7553
h:1	h:2	16.8113
m:1	n:1	16.8515
b:1	l:1	16.8905
e:1	i:1	16.8943
c:1	n:1	17.3616
c:1	i:1	17.4341
f:1	h:1	17.6053
d:1	h:1	17.6965
a:1	e:1	17.7104
c:1	h:2	17.8757
b:1	h:1	17.9222
i:1	m:1	17.9944
f:1	i:1	17.9996
f:1	m:1	18.0907
k:1	n:1	18.4305
g:1	h:1	18.5061
d:1	e:1	18.6762
e:1	m:1	18.7560
b:1	e:1	18.7860
i:1	k:1	18.8511
c:1	d:1	18.9571
e:1	g:1	19.2167
h:1	m:1	19.2516
h:2	k:1	19.3161
g:1	l:1	19.3765
a:1	k:1	19.4047
a:1	c:1	19.4379
k:1	l:1	19.5062
i:1	l:1	19.5627
d:1	l:1	19.6643
b:1	c:1	19.7989
f:1	k:1	19.8850
c:1	e:1	20.2194
j:1	n:1	20.2398
e:1	n:1	20.3974
c:1	g:1	20.5508
h:1	j:1	20.6348
l:1	m:1	20.7083
c:1	h:1	21.2431
e:1	f:1	21.3219
a:1	j:1	21.3781
a:1	l:1	21.3834
l:1	n:1	21.4935
c:1	f:1	21.6707
e:1	h:1	21.7662
c:1	m:1	21.9143
f:1	l:1	22.1049
i:1	j:1	22.2386
h:1	k:1	22.2965
h:2	l:1	22.4706
h:2	j:1	22.5548
h:1	l:1	22.7750
e:1	k:1	23.2427
c:1	k:1	23.3245
j:1	m:1	23.3522
d:1	j:1	23.4447
e:1	l:1	24.1861
f:1	j:1	24.1890
b:1	j:1	24.2260
g:1	j:1	24.4097
c:1	j:1	24.5576
c:1	l:1	24.6196
e:1	j:1	26.6036
j:1	k:1	27.5997
j:1	l:1	27.7701
c:2	m:1	34.5543
c:2	n:1	35.1190
c:2	k:1	35.2723
c:1	c:2	35.9167
c:2	l:1	36.7787
c:2	i:1	36.8868
c:2	d:1	37.2374
b:1	c:2	37.5772
c:2	h:2	38.0200
c:2	j:1	38.3694
c:2	h:1	38.5441
a:1	c:2	39.0602
c:2	g:1	39.4919
c:2	f:1	40.6075
c:2	e:1	40.7865
