macro_signature	count	share	examples
e:1 MEDIAL_OP e:1 c:1 f:1 j:1	17	0.0459	p003-u091, p003-u105, p003-u106, p003-u110, p003-u150
e:1 c:1 h:2 e:1 f:1 MEDIAL_OP f:1 MEDIAL_OP d:1	10	0.0270	p003-u033, p003-u059, p003-u082, p003-u099, p003-u170
e:1 c:1 h:2 e:1 f:1 l:1 f:1 MEDIAL_OP d:1	8	0.0216	p003-u056, p003-u063, p003-u089, p003-u132, p003-u143
e:1 c:1 h:2 e:1 f:1 f:1 MEDIAL_OP d:1	7	0.0189	p003-u096, p003-u155, p003-u160, p003-u163, p004-u035
e:1 MEDIAL_OP e:1 c:1	6	0.0162	p003-u108, p003-u166, p003-u192, p004-u029, p094-u063
e:1 MEDIAL_OP e:1 c:1 e:1 c:1 h:2 e:1 h:1	6	0.0162	p004-u015, p004-u022, p004-u070, p004-u087, p094-u035
e:1 MEDIAL_OP e:1 e:1 h:1	6	0.0162	p004-u049, p094-u061, p094-u065, p094-u070, p094-u073
n:1 e:1 MEDIAL_OP e:1 c:1 f:1 j:1	6	0.0162	p003-u005, p003-u127, p004-u032, p004-u043, p004-u079
c:1 f:1 MEDIAL_OP d:1	5	0.0135	p003-u022, p003-u035, p003-u064, p004-u010, p004-u074
e:1 a:1 e:1 MEDIAL_OP c:1 a:1 MEDIAL_OP e:1 e:1 h:1	4	0.0108	p003-u097, p003-u124, p004-u050, p094-u027
e:1 c:1 h:2 c:1 f:1 j:1	4	0.0108	p004-u024, p004-u045, p004-u055, p004-u058
e:1 MEDIAL_OP e:1 e:1 f:1 f:1 MEDIAL_OP d:1	4	0.0108	p003-u102, p004-u005, p004-u009, p094-u015
n:1 e:1 MEDIAL_OP e:1 c:1	4	0.0108	p003-u087, p003-u109, p003-u116, p094-u024
n:1 e:1 MEDIAL_OP e:1 c:1 e:1 c:1 h:2 e:1 h:1	4	0.0108	p003-u051, p003-u062, p003-u184, p004-u083
a:1 MEDIAL_OP c:1 a:1 c:1 e:1 c:1 h:2 e:1 h:1	3	0.0081	p004-u013, p004-u030, p004-u037
a:1 MEDIAL_OP c:1 a:1 c:1 f:1 j:1	3	0.0081	p003-u104, p004-u064, p094-u023
c:1 a:1 MEDIAL_OP c:1 a:1 e:1 MEDIAL_OP e:1 e:1 e:1 h:1	3	0.0081	p003-u179, p003-u187, p094-u010
c:1 f:1 j:1	3	0.0081	p004-u003, p004-u052, p004-u063
e:1 a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP e:1 e:1 e:1 h:1	3	0.0081	p003-u084, p003-u144, p004-u056
e:1 a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP e:1 e:1 f:1 f:1 MEDIAL_OP d:1	3	0.0081	p003-u011, p003-u017, p003-u165
e:1 c:1 h:2 e:1 f:1 f:1 j:1	3	0.0081	p003-u190, p004-u023, p004-u086
e:1 c:1 h:2 e:1 MEDIAL_OP e:1 e:1 h:1	3	0.0081	p003-u094, p094-u059, p094-u064
e:1 MEDIAL_OP e:1 c:1 f:1 MEDIAL_OP d:1	3	0.0081	p003-u057, p003-u141, p094-u030
