token	count	intra_mean	intra_p95	nearest_other	nearest_other_distance	separation_ratio	centroid_accuracy	knn_accuracy
a:1	341	9.5792	13.1281	h:2	12.1542	1.2688	0.9824	0.9883
b:1	156	13.2850	19.4067	g:1	9.9492	0.7489	0.8013	0.9551
c:1	524	18.7639	27.2203	n:1	16.2471	0.8659	0.9046	0.9790
c:2	33	22.5662	40.0786	m:1	33.8594	1.5005	0.7576	0.7576
d:1	187	14.2678	21.8160	g:1	10.3030	0.7221	0.8556	0.9465
e:1	1069	5.5192	22.3670	h:2	15.0865	2.7335	0.9626	0.9963
f:1	348	4.0339	16.7904	h:2	14.6405	3.6294	0.9713	0.9914
g:1	245	9.0098	11.2011	b:1	9.9492	1.1043	1.0000	0.9592
h:1	161	10.9653	18.9786	a:1	14.1994	1.2949	0.9627	0.9814
h:2	126	12.5096	16.7379	i:1	12.0427	0.9627	0.8889	0.9444
i:1	165	16.0256	21.3678	h:2	12.0427	0.7515	0.9818	0.9879
j:1	88	10.6224	27.0233	n:1	20.1049	1.8927	0.9091	0.9432
k:1	47	14.5015	21.0918	b:1	12.4848	0.8609	0.9149	0.9787
l:1	24	16.6294	31.9575	b:1	17.4587	1.0499	0.9583	1.0000
m:1	41	16.6942	21.5485	b:1	13.0404	0.7811	0.9512	0.8537
n:1	66	19.0776	23.9264	d:1	12.6007	0.6605	0.9242	0.7121
