atom_id	image_name	token	predicted_centroid	centroid_correct	predicted_knn	knn_correct	nearest_distance	snapshot_path
980	page-003.jpg	a:1	a:1	yes	a:1	yes	11.2247	atoms\a_1\page-003.jpg\980.svg
1322	page-003.jpg	b:1	b:1	yes	b:1	yes	17.1415	atoms\b_1\page-003.jpg\1322.svg
982	page-003.jpg	c:1	c:1	yes	c:1	yes	22.1619	atoms\c_1\page-003.jpg\982.svg
983	page-003.jpg	a:1	a:1	yes	a:1	yes	9.7908	atoms\a_1\page-003.jpg\983.svg
981	page-003.jpg	b:1	b:1	yes	b:1	yes	9.6894	atoms\b_1\page-003.jpg\981.svg
5493	page-003.jpg	d:1	m:1	no	e:1	no	22.5690	atoms\d_1\page-003.jpg\5493.svg
999	page-003.jpg	f:1	d:1	no	f:1	yes	64.2949	atoms\f_1\page-003.jpg\999.svg
1000	page-003.jpg	i:1	i:1	yes	i:1	yes	14.0466	atoms\i_1\page-003.jpg\1000.svg
1002	page-003.jpg	d:1	d:1	yes	d:1	yes	13.2078	atoms\d_1\page-003.jpg\1002.svg
996	page-003.jpg	e:1	e:1	yes	e:1	yes	2.2832	atoms\e_1\page-003.jpg\996.svg
997	page-003.jpg	h:1	h:1	yes	h:1	yes	9.4815	atoms\h_1\page-003.jpg\997.svg
991	page-003.jpg	e:1	e:1	yes	e:1	yes	18.0220	atoms\e_1\page-003.jpg\991.svg
992	page-003.jpg	f:1	f:1	yes	f:1	yes	14.1242	atoms\f_1\page-003.jpg\992.svg
993	page-003.jpg	e:1	e:1	yes	e:1	yes	2.2832	atoms\e_1\page-003.jpg\993.svg
995	page-003.jpg	g:1	g:1	yes	g:1	yes	8.5566	atoms\g_1\page-003.jpg\995.svg
994	page-003.jpg	e:1	e:1	yes	e:1	yes	19.4711	atoms\e_1\page-003.jpg\994.svg
1216	page-003.jpg	e:1	e:1	yes	e:1	yes	26.7575	atoms\e_1\page-003.jpg\1216.svg
1247	page-003.jpg	a:1	a:1	yes	a:1	yes	8.4703	atoms\a_1\page-003.jpg\1247.svg
3032	page-003.jpg	m:1	m:1	yes	m:1	yes	19.3632	atoms\m_1\page-003.jpg\3032.svg
1249	page-003.jpg	c:1	c:1	yes	c:1	yes	23.1983	atoms\c_1\page-003.jpg\1249.svg
1250	page-003.jpg	a:1	a:1	yes	a:1	yes	12.4226	atoms\a_1\page-003.jpg\1250.svg
1222	page-003.jpg	g:1	g:1	yes	g:1	yes	11.2846	atoms\g_1\page-003.jpg\1222.svg
1217	page-003.jpg	e:1	e:1	yes	e:1	yes	21.9466	atoms\e_1\page-003.jpg\1217.svg
1253	page-003.jpg	e:1	e:1	yes	e:1	yes	22.2928	atoms\e_1\page-003.jpg\1253.svg
1254	page-003.jpg	f:1	f:1	yes	f:1	yes	1.5939	atoms\f_1\page-003.jpg\1254.svg
1257	page-003.jpg	f:1	h:2	no	f:1	yes	15.1868	atoms\f_1\page-003.jpg\1257.svg
1258	page-003.jpg	i:1	i:1	yes	i:1	yes	20.7931	atoms\i_1\page-003.jpg\1258.svg
1260	page-003.jpg	d:1	d:1	yes	d:1	yes	13.8367	atoms\d_1\page-003.jpg\1260.svg
3155	page-003.jpg	e:1	e:1	yes	e:1	yes	2.2832	atoms\e_1\page-003.jpg\3155.svg
3220	page-003.jpg	a:1	a:1	yes	a:1	yes	6.5562	atoms\a_1\page-003.jpg\3220.svg
3216	page-003.jpg	b:1	b:1	yes	b:1	yes	10.1944	atoms\b_1\page-003.jpg\3216.svg
3172	page-003.jpg	c:1	c:1	yes	c:1	yes	23.0039	atoms\c_1\page-003.jpg\3172.svg
3221	page-003.jpg	a:1	a:1	yes	a:1	yes	6.9948	atoms\a_1\page-003.jpg\3221.svg
3202	page-003.jpg	g:1	g:1	yes	g:1	yes	10.3860	atoms\g_1\page-003.jpg\3202.svg
3156	page-003.jpg	e:1	e:1	yes	e:1	yes	2.2832	atoms\e_1\page-003.jpg\3156.svg
3173	page-003.jpg	c:1	c:1	yes	c:1	yes	12.6490	atoms\c_1\page-003.jpg\3173.svg
3182	page-003.jpg	f:1	f:1	yes	f:1	yes	1.5939	atoms\f_1\page-003.jpg\3182.svg
3193	page-003.jpg	i:1	i:1	yes	i:1	yes	16.7203	atoms\i_1\page-003.jpg\3193.svg
3197	page-003.jpg	d:1	d:1	yes	d:1	yes	10.7233	atoms\d_1\page-003.jpg\3197.svg
3224	page-003.jpg	a:1	a:1	yes	a:1	yes	8.9271	atoms\a_1\page-003.jpg\3224.svg
3214	page-003.jpg	b:1	b:1	yes	b:1	yes	10.1894	atoms\b_1\page-003.jpg\3214.svg
3178	page-003.jpg	c:1	c:1	yes	c:1	yes	24.2896	atoms\c_1\page-003.jpg\3178.svg
3225	page-003.jpg	a:1	a:1	yes	a:1	yes	6.6800	atoms\a_1\page-003.jpg\3225.svg
3179	page-003.jpg	c:1	c:1	yes	c:1	yes	12.6490	atoms\c_1\page-003.jpg\3179.svg
3188	page-003.jpg	f:1	f:1	yes	f:1	yes	1.5939	atoms\f_1\page-003.jpg\3188.svg
3195	page-003.jpg	i:1	i:1	yes	i:1	yes	22.1431	atoms\i_1\page-003.jpg\3195.svg
3199	page-003.jpg	d:1	d:1	yes	d:1	yes	15.0914	atoms\d_1\page-003.jpg\3199.svg
3147	page-003.jpg	e:1	e:1	yes	e:1	yes	2.2832	atoms\e_1\page-003.jpg\3147.svg
3170	page-003.jpg	c:1	c:1	yes	c:1	yes	22.8022	atoms\c_1\page-003.jpg\3170.svg
3180	page-003.jpg	h:2	h:2	yes	h:2	yes	12.0978	atoms\h_2\page-003.jpg\3180.svg
3148	page-003.jpg	e:1	e:1	yes	e:1	yes	2.2832	atoms\e_1\page-003.jpg\3148.svg
3181	page-003.jpg	f:1	f:1	yes	f:1	yes	1.5939	atoms\f_1\page-003.jpg\3181.svg
3190	page-003.jpg	k:1	k:1	yes	k:1	yes	16.0977	atoms\k_1\page-003.jpg\3190.svg
3191	page-003.jpg	f:1	f:1	yes	f:1	yes	1.5939	atoms\f_1\page-003.jpg\3191.svg
