token_a	token_b	centroid_distance
b:1	g:1	9.9492
d:1	g:1	10.3030
h:2	i:1	12.0427
a:1	h:2	12.1542
b:1	k:1	12.4848
b:1	d:1	12.5159
d:1	n:1	12.6007
b:1	m:1	13.0404
b:1	i:1	13.8485
d:1	i:1	13.8560
i:1	n:1	14.0082
a:1	h:1	14.1994
a:1	i:1	14.2510
d:1	h:2	14.3849
d:1	m:1	14.4192
a:1	d:1	14.4850
g:1	m:1	14.5517
g:1	i:1	14.6084
f:1	h:2	14.6405
h:2	n:1	14.6514
a:1	b:1	14.7827
h:1	i:1	14.9926
g:1	n:1	15.0062
a:1	g:1	15.0215
e:1	h:2	15.0865
g:1	h:2	15.1926
b:1	h:2	15.1989
a:1	m:1	15.2084
h:2	m:1	15.3342
b:1	n:1	15.3777
a:1	n:1	15.4916
b:1	f:1	15.4952
a:1	f:1	15.6232
f:1	g:1	15.6261
h:1	n:1	15.7555
h:1	h:2	15.7612
d:1	f:1	15.7948
g:1	k:1	16.0124
c:1	n:1	16.2471
d:1	k:1	16.2981
f:1	n:1	16.5474
m:1	n:1	16.6904
k:1	m:1	16.6924
e:1	i:1	16.7393
c:1	i:1	16.8994
c:1	h:2	16.9938
f:1	h:1	17.0948
d:1	h:1	17.2014
a:1	e:1	17.3957
b:1	h:1	17.4212
b:1	l:1	17.4587
f:1	m:1	17.8510
f:1	i:1	17.9153
i:1	m:1	17.9257
g:1	h:1	17.9829
d:1	e:1	18.3574
e:1	m:1	18.4785
k:1	n:1	18.5055
c:1	d:1	18.5351
b:1	e:1	18.5420
a:1	c:1	18.6854
h:1	m:1	18.7829
i:1	k:1	18.7925
h:2	k:1	18.7975
e:1	g:1	18.9691
b:1	c:1	19.2472
a:1	k:1	19.3245
c:1	e:1	19.5329
g:1	l:1	19.6921
f:1	k:1	19.7097
i:1	l:1	19.9602
c:1	g:1	19.9732
d:1	l:1	19.9874
e:1	n:1	20.0514
k:1	l:1	20.1003
j:1	n:1	20.1049
c:1	h:1	20.1810
h:1	j:1	20.3550
c:1	f:1	20.9908
l:1	m:1	21.0309
c:1	m:1	21.1049
e:1	f:1	21.1146
e:1	h:1	21.3274
a:1	j:1	21.4507
a:1	l:1	21.6873
l:1	n:1	21.7068
h:1	k:1	21.8807
h:2	j:1	22.1757
i:1	j:1	22.2162
f:1	l:1	22.3761
h:2	l:1	22.4096
h:1	l:1	22.7293
c:1	k:1	22.8408
e:1	k:1	23.0272
j:1	m:1	23.2388
d:1	j:1	23.4598
c:1	j:1	23.9723
f:1	j:1	24.1076
b:1	j:1	24.1324
e:1	l:1	24.3140
g:1	j:1	24.3228
c:1	l:1	24.5586
e:1	j:1	26.4644
j:1	k:1	27.5984
j:1	l:1	27.9243
c:2	m:1	33.8594
c:2	n:1	34.4975
c:2	k:1	34.6887
c:1	c:2	34.7363
c:2	i:1	36.0912
c:2	l:1	36.2123
c:2	d:1	36.5512
b:1	c:2	36.9295
c:2	h:2	37.1381
c:2	h:1	37.5141
c:2	j:1	37.7175
a:1	c:2	38.3090
c:2	g:1	38.7317
c:2	f:1	39.7472
c:2	e:1	39.9203
