unit_id	image_id	image_name	source_molecule_id	row_index	unit_index	atoms	atom_ids	atom_count	bounds_x	bounds_y	bounds_w	bounds_h
p003-u001	3	page-003.jpg	img3-m1	1	1	a:1 b:1 c:1 a:1 b:1 d:1 f:1 i:1 d:1 e:1 h:1 e:1 f:1 e:1 g:1 e:1	980 1322 982 983 981 5493 999 1000 1002 996 997 991 992 993 995 994	16	545	362	244	231
p003-u002	3	page-003.jpg	img3-m9	1	2	e:1 h:1 a:1 b:1 c:1 a:1 e:1 f:1 f:1 j:1	1006 1007 1008 1010 1011 1012 1015 1016 1017 1018	10	853	454	133	143
p003-u003	3	page-003.jpg	img3-m5	1	3	e:1 f:1 f:1 i:1 d:1	1019 1020 1021 1022 1024	5	1035	500	53	54
p003-u004	3	page-003.jpg	img3-m6	1	4	e:1 h:1 a:1 e:1 b:1 c:1 a:1 e:1 f:1 k:1 f:1 i:1 d:1	1048 1050 1051 1052 1053 1058 1059 1060 1061 1062 1063 1064 1065	13	1117	447	197	126
p003-u005	3	page-003.jpg	img3-m4	1	5	c:1 f:1 j:1 n:1 e:1 g:1 e:1	1070 1071 1074 3660 1066 1068 1067	7	1370	497	127	71
p003-u006	3	page-003.jpg	img3-m3	1	6	n:1 e:1 g:1 e:1 f:1 i:1 d:1 c:1 e:1 h:1	3661 1075 1077 1076 1081 1082 1083 1080 1086 1087	10	1549	471	165	104
p003-u007	3	page-003.jpg	img3-m2	1	7	e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 e:1 i:1 d:1 e:1 e:1 i:1 d:1	1089 1097 1098 1099 1100 1103 1096 1090 1107 1108 1109 1092 1091 1110 1111	15	1763	446	205	111
p003-u008	3	page-003.jpg	img3-m7	1	8	e:1 h:1 a:1 b:1 c:1 a:1 c:1 f:1 i:1 d:1	1112 1113 1115 1116 1117 1118 1119 1125 1126 1127	10	1992	430	154	164
p003-u009	3	page-003.jpg	img3-m8	1	9	n:1 e:1 g:1 e:1 c:1 f:1 j:1 e:1 c:2 h:2 e:1 h:1	3663 1128 3065 1152 1133 1134 1140 1150 1136 1137 2458 2459	12	2181	474	216	111
p003-u010	3	page-003.jpg	img3-m15	2	10	e:1 i:1 d:1 c:1 f:1 i:1 d:1 e:1 h:1	1025 1027 1028 1030 1031 1032 1033 1026 1034	9	565	608	156	96
p003-u011	3	page-003.jpg	img3-m13	2	11	e:1 a:1 b:1 c:1 a:1 g:1 e:1 e:1 f:1 f:1 i:1 d:1	1035 1040 1041 1042 1043 1038 1036 1037 1044 1045 1046 1047	12	772	584	164	80
p003-u012	3	page-003.jpg	img3-m18	2	12	e:1 h:1 c:1 f:1 i:1 d:1	1166 1162 1157 1158 1159 1160	6	977	609	107	82
p003-u013	3	page-003.jpg	img3-m12	2	13	a:1 b:1 c:1 a:1 e:1 k:1 f:1 i:1 d:1	1168 1169 1170 1171 1172 1174 1175 1176 1177	9	1129	568	109	77
p003-u014	3	page-003.jpg	img3-m17	2	14	e:1 g:1 e:1 a:1 m:1 c:1 a:1 e:1 f:1 k:1 f:1 i:1 d:1	1184 1182 1179 3041 3031 1189 1190 1332 1191 1193 1194 1195 1196	13	1282	560	241	82
p003-u015	3	page-003.jpg	img3-m14	2	15	n:1 e:1 g:1 e:1 e:1 f:1 f:1 i:1 d:1	3664 1197 1198 1199 1201 1202 1203 1206 1208	9	1563	572	139	56
p003-u016	3	page-003.jpg	img3-m16	2	16	e:1 f:1 l:1 f:1 i:1 d:1	1209 1210 1212 1213 1214 1215	6	1729	579	86	62
p003-u017	3	page-003.jpg	img3-m10	2	17	e:1 a:1 m:1 c:1 a:1 g:1 e:1 e:1 f:1 f:1 i:1 d:1	1216 1247 3032 1249 1250 1222 1217 1253 1254 1257 1258 1260	12	1853	561	193	81
p003-u018	3	page-003.jpg	img3-m11	2	18	e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 e:1 f:1 f:1 i:1 d:1 e:1 c:2 h:2 e:1 f:1 f:1 i:1 d:1	1266 1275 1276 1277 1278 1279 1265 1263 1280 1281 1282 1284 1285 1286 1287 1288 1301 1302 1303 1304 1305	21	2077	565	329	81
p003-u019	3	page-003.jpg	img3-m23	3	19	e:1 i:1 d:1 e:1 h:1	1334 1335 1336 1337 1338	5	513	690	129	73
p003-u020	3	page-003.jpg	img3-m28	3	20	e:1 f:1 k:1 f:1 i:1 d:1	1339 1340 1347 1344 1345 1346	6	664	693	117	60
p003-u021	3	page-003.jpg	img3-m27	3	21	n:1 e:1 g:1 e:1 e:1 a:1 b:1 c:1 a:1 e:1 h:1	3665 1348 1350 1349 1352 1353 1354 1355 1356 1358 1359	11	814	666	171	102
p003-u022	3	page-003.jpg	img3-m25	3	22	c:1 f:1 i:1 d:1	1361 1362 1363 1365	4	1027	698	66	44
p003-u023	3	page-003.jpg	img3-m26	3	23	e:1 h:1 a:1 b:1 c:1 a:1 e:1 f:1 k:1 f:1 i:1 d:1	1366 1368 1369 1371 1372 1373 1374 1375 1376 1377 1378 1379	12	1127	647	194	112
p003-u024	3	page-003.jpg	img3-m24	3	24	n:1 e:1 g:1 e:1 c:1 e:1 c:1 h:2	3709 1380 1382 1381 1384 1387 1388 1390	8	1365	670	141	62
p003-u025	3	page-003.jpg	img3-m19	3	25	e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 c:1 e:1 f:1 f:1 i:1 d:1 e:1 h:1	1391 1395 1401 1397 1399 1402 1394 1393 1403 1404 1405 1406 1407 1408 1409 1410	16	1546	650	262	112
p003-u026	3	page-003.jpg	img3-m20	3	26	e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 c:1 e:1 i:1 d:1	1411 1414 1423 1415 1417 1485 1413 1412 1433 1434 1436 1437	12	1857	650	155	77
p003-u027	3	page-003.jpg	img3-m22	3	27	e:1 c:2 h:2 e:1 f:1 f:1 i:1 d:1 e:1 f:1 k:1 f:1 i:1 d:1	1439 1440 1441 1457 1458 1459 1460 1461 1462 1463 1464 1465 1467 1471	14	2062	677	234	58
p003-u028	3	page-003.jpg	img3-m21	3	28	e:1 i:1 d:1 e:1 h:1	1472 1475 1479 1473 1484	5	2326	684	59	77
p003-u029	3	page-003.jpg	img3-m33	4	29	e:1 c:1 h:2 c:1 k:1 f:1 i:1 d:1	1486 1487 1488 1489 1490 1491 1492 1493	8	577	785	143	52
p003-u030	3	page-003.jpg	img3-m36	4	30	c:1 a:1 e:1 b:1 c:1 a:1 e:1 e:1 e:1 h:1	1494 1496 1499 1500 1501 1502 1505 1504 1506 1509	10	758	746	163	129
p003-u031	3	page-003.jpg	img3-m35	4	31	c:1 a:1 e:1 b:1 c:1 a:1 e:1 c:1 f:1 i:1 d:1 e:1 i:1 d:1 c:1 f:1 j:1 c:1 a:1 m:1 c:1 a:1 e:1 h:1	1512 1514 1515 1516 1517 1518 1519 1520 1521 1522 1524 1526 1527 1528 1529 1530 1531 1532 1533 4648 1535 1537 1538 1539	24	969	739	438	107
p003-u032	3	page-003.jpg	img3-m29	4	32	e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 f:1 c:1 f:1 i:1 d:1	1543 1549 1553 1551 1559 1560 1547 1544 1545 1546 1561 1562 1563	13	1457	730	213	97
p003-u033	3	page-003.jpg	img3-m30	4	33	e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1	1564 1565 1567 1568 1569 1570 1571 1572 1573	9	1701	759	165	65
p003-u034	3	page-003.jpg	img3-m34	4	34	c:1 a:1 b:1 c:1 a:1 e:1 f:1 k:1 f:1 i:1 d:1	1574 1575 1578 1579 1580 1582 1583 1584 1585 1586 1587	11	1904	732	199	83
p003-u035	3	page-003.jpg	img3-m31	4	35	c:1 f:1 i:1 d:1	1588 1590 1591 1594	4	2138	764	68	41
p003-u036	3	page-003.jpg	img3-m32	4	36	c:1 a:1 b:1 c:1 a:1 e:1 f:1 f:1 i:1 d:1	1589 1595 1596 1598 1599 1610 1611 1612 1613 1615	10	2238	743	151	65
p003-u037	3	page-003.jpg	img3-m41	5	37	e:1 i:1 d:1 e:1 f:1 l:1 f:1 i:1 d:1 e:1 h:1	1627 1629 1630 1631 1632 1633 1634 1635 1636 1637 1638	11	584	860	145	103
p003-u038	3	page-003.jpg	img3-m42	5	38	e:1 g:1 e:1 e:1 e:1 f:1 f:1 i:1 d:1	1639 1643 1642 1640 1641 1644 1645 1646 1647	9	782	857	159	65
p003-u039	3	page-003.jpg	img3-m38	5	39	e:1 a:1 m:1 c:1 a:1 g:1 e:1 e:1 f:1 k:1 f:1 i:1 d:1	1648 1668 3033 1670 1671 1664 1649 1650 1651 1653 1654 1655 1658	13	985	826	223	93
p003-u040	3	page-003.jpg	img3-m39	5	40	e:1 a:1 m:1 c:1 a:1 b:1 d:1 g:1 e:1 e:1 f:1 f:1 i:1 d:1	1676 1685 3035 1689 1694 1691 1699 1758 1677 1700 1701 1702 1703 1704	14	1232	827	197	83
p003-u041	3	page-003.jpg	img3-m37	5	41	e:1 a:1 b:1 c:1 a:1 b:1 d:1 g:1 e:1 e:1 f:1 k:1 f:1 i:1 d:1	1679 1707 1712 1709 1710 1708 1713 1705 1706 1718 1717 1719 1720 1721 1722	15	1467	822	226	80
p003-u042	3	page-003.jpg	img3-m40	5	42	e:1 h:1 e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1 e:1 f:1 f:1 n:1 e:1 g:1 e:1 e:1 h:1	1726 1727 1734 1736 1735 1742 1743 1744 1747 1748 1749 1746 1745 3667 1750 1752 1751 1754 1755	19	2015	843	342	99
p003-u043	3	page-003.jpg	img3-m46	6	43	c:1 e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1	1759 1762 1763 1764 1765 1766 1767 1769 1771	9	780	1023	117	75
p003-u044	3	page-003.jpg	img3-m48	6	44	n:1 c:1 g:1 e:1 h:1 n:1 e:1 g:1 e:1 c:1 f:1 j:1	3668 1772 1778 1779 1780 3669 1782 1785 1783 1784 1787 1788	12	947	1037	233	93
p003-u045	3	page-003.jpg	img3-m44	6	45	e:1 a:1 m:1 c:1 a:1 b:1 d:1 g:1 e:1 c:1 e:1 h:1	1813 1819 3039 1821 1828 1826 5494 1818 1814 1816 1833 1832	12	1213	974	192	165
p003-u046	3	page-003.jpg	img3-m45	6	46	c:1 e:1 h:1 e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1	1834 1835 4649 1836 1840 1841 1837 1842 1843 1844 1845	11	1456	1040	157	87
p003-u047	3	page-003.jpg	img3-m47	6	47	e:1 i:1 d:1 n:1 e:1 g:1 e:1	1853 1854 1855 3670 1846 1848 1847	7	1669	1038	139	63
p003-u048	3	page-003.jpg	img3-m43	6	48	e:1 a:1 e:1 b:1 c:1 a:1 b:1 d:1 g:1 e:1 c:1 e:1 f:1 k:1 f:1 i:1 d:1	1870 1861 1856 1868 1864 1866 1863 1869 1860 1857 1871 1858 1872 1873 1874 1875 1876	17	1823	972	254	145
p003-u049	3	page-003.jpg	img3-m49	6	49	n:1 e:1 g:1 e:1 c:1 e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1 e:1 h:1	3671 1877 1879 1878 1881 1883 1882 2096 1884 1886 1887 1888 1889 1885 2002	15	2123	1042	234	85
p003-u050	3	page-003.jpg	img3-m58	7	50	n:1 e:1 g:1 e:1 e:1 e:1 e:1 h:1	3674 1893 1898 1894 1891 1895 1896 1897	8	572	1148	148	82
p003-u051	3	page-003.jpg	img3-m56	7	51	n:1 e:1 g:1 e:1 c:1 e:1 c:1 h:2 e:1 h:1	3675 1900 1902 1901 1905 1923 1906 1945 1925 1946	10	769	1136	158	79
p003-u052	3	page-003.jpg	img3-m55	7	52	c:1 a:1 b:1 c:1 a:1 e:1 g:1 e:1 c:1 e:1 h:1	1907 1955 1954 1908 1956 1926 1968 1927 1909 1928 1947	11	976	1114	177	116
p003-u053	3	page-003.jpg	img3-m53	7	53	c:1 a:1 m:1 c:1 a:1 e:1 g:1 e:1 c:1 f:1 j:1	1910 1959 3040 1912 1958 1929 1963 1930 1911 1965 1966	11	1202	1118	182	92
p003-u054	3	page-003.jpg	img3-m54	7	54	e:1 g:1 e:1 c:1 e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 e:1 h:1	1931 1969 1932 1913 1933 1975 1977 1978 1914 1976 1971 1934 1935 1948	14	1426	1114	218	93
p003-u055	3	page-003.jpg	img3-m52	7	55	c:1 e:1 i:1 d:1 e:1 g:1 e:1 e:1 h:1	1916 1936 1982 1983 1937 1984 1938 1939 1949	9	1691	1138	157	97
p003-u056	3	page-003.jpg	img3-m51	7	56	e:1 c:1 h:2 e:1 f:1 l:1 f:1 i:1 d:1	1940 1917 1950 1941 1985 1986 1987 1989 1990	9	1894	1151	148	49
p003-u057	3	page-003.jpg	img3-m57	7	57	e:1 g:1 e:1 c:1 f:1 i:1 d:1	1943 1992 1993 1918 1994 1995 1996	7	2078	1142	143	61
p003-u058	3	page-003.jpg	img3-m50	7	58	a:1 b:1 c:1 a:1 c:1 e:1 i:1 d:1	1997 1999 1922 1998 1919 1944 2000 2095	8	2262	1118	105	74
p003-u059	3	page-003.jpg	img3-m63	8	59	e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1	2005 2012 2013 2006 2007 2008 2009 2010 2011	9	568	1257	135	43
p003-u060	3	page-003.jpg	img3-m65	8	60	n:1 e:1 g:1 e:1 c:1 e:1 i:1 d:1	3673 2015 2024 2016 2026 2017 2021 2022	8	745	1228	144	62
p003-u061	3	page-003.jpg	img3-m59	8	61	e:1 a:1 b:1 c:1 a:1 b:1 d:1 g:1 e:1 c:1 f:1 j:1	2027 2031 2032 2033 2035 5495 5496 2030 2028 2042 2043 2045	12	935	1191	172	108
p003-u062	3	page-003.jpg	img3-m62	8	62	n:1 e:1 g:1 e:1 c:1 e:1 c:1 h:2 e:1 h:1	3672 2047 2049 2048 2051 2053 2056 2055 2054 2058	10	1146	1219	149	99
p003-u063	3	page-003.jpg	img3-m61	8	63	e:1 c:1 h:2 e:1 f:1 l:1 f:1 i:1 d:1	2076 2087 2089 2077 2078 2079 2080 2082 2083	9	1854	1233	123	47
p003-u064	3	page-003.jpg	img3-m64	8	64	c:1 f:1 i:1 d:1	2075 2066 2067 2068	4	2012	1233	67	50
p003-u065	3	page-003.jpg	img3-m60	8	65	a:1 e:1 b:1 c:1 a:1 e:1 c:1 e:1 c:1 h:2 e:1 h:1	2069 2071 2070 2072 2074 2065 2064 2061 2062 2063 2060 2059	12	2099	1208	189	99
p003-u066	3	page-003.jpg	img3-m72	9	66	e:1 h:1 e:1 c:2 h:2 e:1 f:1 l:1 f:1 i:1 d:1	2097 2098 2099 2100 2101 2115 2116 2117 2121 2122 2124	11	664	1481	162	90
p003-u067	3	page-003.jpg	img3-m66	9	67	e:1 a:1 m:1 c:1 a:1 b:1 d:1 g:1 e:1 e:1 e:1 i:1 d:1 e:1 f:1 k:1 f:1 i:1 d:1	2125 2128 3042 2130 2131 2132 5497 2127 2126 2135 2136 2139 2138 2148 2141 2142 2143 2144 2145	19	862	1401	282	132
p003-u068	3	page-003.jpg	img3-m69	9	68	c:1 f:1 j:1 e:1 i:1 d:1	2149 2150 2151 2152 2153 2154	6	1204	1488	96	54
p003-u069	3	page-003.jpg	img3-m67	9	69	e:1 a:1 e:1 b:1 c:1 a:1 b:1 d:1 g:1 e:1 e:1 e:1 h:1	2155 2158 2159 2166 2164 2165 2160 2167 2157 2156 2171 2172 2173	13	1332	1430	152	132
p003-u070	3	page-003.jpg	img3-m70	9	70	e:1 h:1 a:1 m:1 c:1 a:1 e:1 f:1 l:1 f:1 i:1 d:1	2174 2175 2177 3043 2180 2178 2181 2182 2183 2184 2186 2187	12	1539	1440	192	124
p003-u071	3	page-003.jpg	img3-m71	9	71	n:1 e:1 g:1 e:1 c:1 n:1 e:1 g:1 e:1 e:1 h:1	3676 2188 2191 2189 2190 3677 2193 2196 2194 2195 2199	11	1775	1476	211	104
