unit_id	image_id	image_name	source_molecule_id	row_index	unit_index	atoms	atom_ids	atom_count	bounds_x	bounds_y	bounds_w	bounds_h
p005-u001	5	page-005.jpg	img5-m1	1	1	a:1 b:1 c:1 a:1 e:1 h:1 e:1 c:1 h:2 e:1 f:1 l:1 f:1 i:1 d:1 e:1 h:1	5519 5558 5572 5520 5626 5899 5627 5591 6068 5628 6103 6216 6104 6242 6315 5629 5900	17	446	444	218	141
p005-u002	5	page-005.jpg	img5-m3	1	2	e:1 h:1 a:1 m:1 c:1 a:1 b:1 d:1	5630 5901 5521 6382 5573 5522 5570 6345	8	701	446	87	126
p005-u003	5	page-005.jpg	img5-m7	1	3	e:1 g:1 e:1 c:1 f:1 j:1	5631 6394 5632 5574 6105 6456	6	765	518	106	34
p005-u004	5	page-005.jpg	img5-m5	1	4	e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1	5633 5592 6069 5634 6106 6217 6107 6243 6317	9	898	503	114	42
p005-u005	5	page-005.jpg	img5-m6	1	5	c:1 a:1 e:1 b:1 c:1 a:1 e:1 g:1 e:1 e:1 f:1 f:1 j:1	5575 5523 5650 5559 5576 5524 5635 6395 5636 5637 6108 6109 6457	13	1051	463	175	86
p005-u006	5	page-005.jpg	img5-m4	1	6	a:1 e:1 b:1 c:1 a:1 b:1 d:1 e:1 h:1	5525 5651 6346 5577 5526 5560 6347 5638 6245	9	1379	468	84	112
p005-u007	5	page-005.jpg	img5-m8	1	7	e:1 g:1 e:1 e:1 f:1 k:1 f:1 i:1 d:1	5639 6396 5640 5641 6110 6218 6111 6244 6318	9	1434	528	159	38
p005-u008	5	page-005.jpg	img5-m2	1	8	e:1 a:1 b:1 c:1 a:1 g:1 e:1 c:1 f:1 j:1 e:1 i:1 d:1 e:1 h:1	5642 5527 5561 5578 5528 6399 5643 5579 6112 6458 5644 6246 6319 5645 5902	15	1631	444	183	143
p005-u009	5	page-005.jpg	img5-m12	2	9	e:1 c:1 h:2 c:1 f:1 i:1 d:1 e:1 g:1 e:1 c:1 f:1 i:1 d:1 e:1 h:1	5663 5666 6070 5664 6117 6251 6325 5662 6404 5661 5665 6116 6250 6323 5660 5904	16	437	580	215	75
p005-u010	5	page-005.jpg	img5-m11	2	10	e:1 g:1 e:1 a:1 b:1 c:1 a:1 e:1 f:1 f:1 i:1 d:1 e:1 i:1 d:1	5659 6403 5658 5529 5564 5584 5530 5657 6115 6114 6249 6322 5656 6248 6321	15	1039	563	181	58
p005-u011	5	page-005.jpg	img5-m13	2	11	n:1 e:1 g:1 e:1	6485 5655 6402 5654	4	1372	589	54	48
p005-u012	5	page-005.jpg	img5-m14	2	12	c:1 f:1 i:1 d:1	5582 6113 6247 6320	4	1438	600	47	44
p005-u013	5	page-005.jpg	img5-m10	2	13	e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 e:1 h:1	5649 5531 5653 5563 5583 5532 6401 5648 5647 5903	10	1524	578	114	91
p005-u014	5	page-005.jpg	img5-m9	2	14	e:1 a:1 e:1 b:1 c:1 a:1 g:1 c:1	5646 5533 5652 5562 5581 5534 6400 5580	8	1677	576	77	63
p005-u015	5	page-005.jpg	img5-m19	3	15	a:1 m:1 c:1 a:1 e:1 b:1 c:1 a:1 e:1 f:1 k:1 f:1 i:1 d:1	5535 6383 5586 5536 5668 5565 5585 5537 5667 6118 6219 6119 6266 6326	14	430	651	208	106
p005-u016	5	page-005.jpg	img5-m15	3	16	e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 e:1 e:1 h:1 e:1 h:1	5669 5538 5670 5566 5587 5539 6405 5671 5672 5673 5905 5674 5906	13	1059	640	172	87
p005-u017	5	page-005.jpg	img5-m16	3	17	e:1 g:1 e:1 c:1 f:1 i:1 d:1	5675 6406 5676 5588 6120 6267 6327	7	1362	664	110	39
p005-u018	5	page-005.jpg	img5-m17	3	18	e:1 g:1 e:1 e:1 h:1	5677 6407 5678 5679 5907	5	1502	682	79	50
