page	paragraph	line	locus	marker	source_loci	eva	raw
f2r	1	1	f2r.1,@P0	@P0	f2r.1,@P0	kydainy ypchol daiin otchal ypchaiin ckholsy	<%>kydainy.ypchol.daiin.otchal<->ypchaiin.ckholsy
f2r	1	2	f2r.2,+P0	+P0	f2r.2,+P0	dorchory chkar s shor cthy cth	dorchory<->chkar.s<->shor.cthy.cth
f2r	1	3	f2r.3,+P0	+P0	f2r.3,+P0	qotaiin cthey y chor chy ydy chaiin	qotaiin<->cthey.y<->chor.chy.ydy<->chaiin
f2r	1	4	f2r.4,+P0	+P0	f2r.4,+P0	chaindy chtod dy cphy dals chokaiin d	chaindy<->chtod.dy<->cphy.dals<->chokaiin.d
f2r	1	5	f2r.5,+P0	+P0	f2r.5,+P0	otochor al shodaiin chol dan ytchaiin dan	otochor.al<->shodaiin<->chol.dan<->ytchaiin.dan
f2r	1	6	f2r.6,+P0	+P0	f2r.6,+P0	saiin daind dkol sor ytoldy dchol dchy cthy	saiin.daind<->dkol.sor<->ytoldy<->dchol.dchy.cthy
f2r	1	7	f2r.7,+P0	+P0	f2r.7,+P0	shor ckhy daiiny chol dan	shor.ckhy.daiiny<->chol.dan<$>
f2r	1	8	f2r.8,+P0	+P0	f2r.8,+P0	kydain shaiin qoy s shol fodan yksh olsheey daiildy	<%>kydain.shaiin.qoy.s.shol.fodan<->yksh.olsheey.daiildy
f2r	1	9	f2r.9,+P0	+P0	f2r.9,+P0	dlssho kol sheey qokey ykody so chol yky dain daiirol	dlssho.kol.sheey.qokey.ykody.so<->chol.yky.dain.daiirol
f2r	1	10	f2r.10,+P0	+P0	f2r.10,+P0	qoky cholaiin shol sheky daiin cthey keol saiin saiin	qoky.cholaiin.shol.sheky.daiin<->cthey.keol.saiin.saiin
f2r	1	11	f2r.11,+P0	+P0	f2r.11,+P0	ychain dal chy dalor shan dan olsaiin sheey ckhor	ychain.dal.chy.dalor.shan.dan<->olsaiin.sheey.ckhor
f2r	1	12	f2r.12,+P0	+P0	f2r.12,+P0	okol chy chor cthor yor an chan saiin chety chyky sal	okol.chy.chor.cthor.yor.an.chan<->saiin.chety.chyky.sal
f2r	1	13	f2r.13,+P0	+P0	f2r.13,+P0	sho ykeey chey daiin chcthy	sho.ykeey.chey.daiin.chcthy<$>
