unit_id	page	paragraph	line	token_index	eva
f2r-p1-u001	f2r	1	1	1	kydainy
f2r-p1-u002	f2r	1	1	2	ypchol
f2r-p1-u003	f2r	1	1	3	daiin
f2r-p1-u004	f2r	1	1	4	otchal
f2r-p1-u005	f2r	1	1	5	ypchaiin
f2r-p1-u006	f2r	1	1	6	ckholsy
f2r-p1-u007	f2r	1	2	1	dorchory
f2r-p1-u008	f2r	1	2	2	chkar
f2r-p1-u009	f2r	1	2	3	s
f2r-p1-u010	f2r	1	2	4	shor
f2r-p1-u011	f2r	1	2	5	cthy
f2r-p1-u012	f2r	1	2	6	cth
f2r-p1-u013	f2r	1	3	1	qotaiin
f2r-p1-u014	f2r	1	3	2	cthey
f2r-p1-u015	f2r	1	3	3	y
f2r-p1-u016	f2r	1	3	4	chor
f2r-p1-u017	f2r	1	3	5	chy
f2r-p1-u018	f2r	1	3	6	ydy
f2r-p1-u019	f2r	1	3	7	chaiin
f2r-p1-u020	f2r	1	4	1	chaindy
f2r-p1-u021	f2r	1	4	2	chtod
f2r-p1-u022	f2r	1	4	3	dy
f2r-p1-u023	f2r	1	4	4	cphy
f2r-p1-u024	f2r	1	4	5	dals
f2r-p1-u025	f2r	1	4	6	chokaiin
f2r-p1-u026	f2r	1	4	7	d
f2r-p1-u027	f2r	1	5	1	otochor
f2r-p1-u028	f2r	1	5	2	al
f2r-p1-u029	f2r	1	5	3	shodaiin
f2r-p1-u030	f2r	1	5	4	chol
f2r-p1-u031	f2r	1	5	5	dan
f2r-p1-u032	f2r	1	5	6	ytchaiin
f2r-p1-u033	f2r	1	5	7	dan
f2r-p1-u034	f2r	1	6	1	saiin
f2r-p1-u035	f2r	1	6	2	daind
f2r-p1-u036	f2r	1	6	3	dkol
f2r-p1-u037	f2r	1	6	4	sor
f2r-p1-u038	f2r	1	6	5	ytoldy
f2r-p1-u039	f2r	1	6	6	dchol
f2r-p1-u040	f2r	1	6	7	dchy
f2r-p1-u041	f2r	1	6	8	cthy
f2r-p1-u042	f2r	1	7	1	shor
f2r-p1-u043	f2r	1	7	2	ckhy
f2r-p1-u044	f2r	1	7	3	daiiny
f2r-p1-u045	f2r	1	7	4	chol
f2r-p1-u046	f2r	1	7	5	dan
f2r-p1-u047	f2r	1	8	1	kydain
f2r-p1-u048	f2r	1	8	2	shaiin
f2r-p1-u049	f2r	1	8	3	qoy
f2r-p1-u050	f2r	1	8	4	s
f2r-p1-u051	f2r	1	8	5	shol
f2r-p1-u052	f2r	1	8	6	fodan
f2r-p1-u053	f2r	1	8	7	yksh
f2r-p1-u054	f2r	1	8	8	olsheey
f2r-p1-u055	f2r	1	8	9	daiildy
f2r-p1-u056	f2r	1	9	1	dlssho
f2r-p1-u057	f2r	1	9	2	kol
f2r-p1-u058	f2r	1	9	3	sheey
f2r-p1-u059	f2r	1	9	4	qokey
f2r-p1-u060	f2r	1	9	5	ykody
f2r-p1-u061	f2r	1	9	6	so
f2r-p1-u062	f2r	1	9	7	chol
f2r-p1-u063	f2r	1	9	8	yky
f2r-p1-u064	f2r	1	9	9	dain
f2r-p1-u065	f2r	1	9	10	daiirol
f2r-p1-u066	f2r	1	10	1	qoky
f2r-p1-u067	f2r	1	10	2	cholaiin
f2r-p1-u068	f2r	1	10	3	shol
f2r-p1-u069	f2r	1	10	4	sheky
f2r-p1-u070	f2r	1	10	5	daiin
f2r-p1-u071	f2r	1	10	6	cthey
f2r-p1-u072	f2r	1	10	7	keol
f2r-p1-u073	f2r	1	10	8	saiin
f2r-p1-u074	f2r	1	10	9	saiin
f2r-p1-u075	f2r	1	11	1	ychain
f2r-p1-u076	f2r	1	11	2	dal
f2r-p1-u077	f2r	1	11	3	chy
f2r-p1-u078	f2r	1	11	4	dalor
f2r-p1-u079	f2r	1	11	5	shan
f2r-p1-u080	f2r	1	11	6	dan
f2r-p1-u081	f2r	1	11	7	olsaiin
f2r-p1-u082	f2r	1	11	8	sheey
f2r-p1-u083	f2r	1	11	9	ckhor
f2r-p1-u084	f2r	1	12	1	okol
f2r-p1-u085	f2r	1	12	2	chy
f2r-p1-u086	f2r	1	12	3	chor
f2r-p1-u087	f2r	1	12	4	cthor
f2r-p1-u088	f2r	1	12	5	yor
f2r-p1-u089	f2r	1	12	6	an
f2r-p1-u090	f2r	1	12	7	chan
f2r-p1-u091	f2r	1	12	8	saiin
f2r-p1-u092	f2r	1	12	9	chety
f2r-p1-u093	f2r	1	12	10	chyky
f2r-p1-u094	f2r	1	12	11	sal
f2r-p1-u095	f2r	1	13	1	sho
f2r-p1-u096	f2r	1	13	2	ykeey
f2r-p1-u097	f2r	1	13	3	chey
f2r-p1-u098	f2r	1	13	4	daiin
f2r-p1-u099	f2r	1	13	5	chcthy
