skeleton	slot_index	length	total_count	variant_count	slot_values	folios	example_signatures
e:1 c:1 h:2 e:1 f:1 _ f:1 i:1 d:1	6	9	22	2	k:1:13 l:1:9	f1r,f1v,f2r,f47v	e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1 | e:1 c:1 h:2 e:1 f:1 l:1 f:1 i:1 d:1
e:1 _ h:2 e:1 f:1 k:1 f:1 i:1 d:1	2	9	14	2	c:1:13 c:2:1	f1r,f1v,f2r,f47v	e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1 | e:1 c:2 h:2 e:1 f:1 k:1 f:1 i:1 d:1
e:1 c:1 h:2 e:1 f:1 k:1 f:1 _ d:1	8	9	14	2	i:1:13 j:1:1	f1r,f1v,f2r,f47v	e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1 | e:1 c:1 h:2 e:1 f:1 k:1 f:1 j:1 d:1
e:1 c:1 h:2 e:1 f:1 f:1 _ d:1	7	8	11	2	i:1:10 j:1:1	f1r,f1v,f2r,f47v	e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1 | e:1 c:1 h:2 e:1 f:1 f:1 j:1 d:1
e:1 c:1 h:2 e:1 f:1 l:1 f:1 _ d:1	8	9	10	2	i:1:9 j:1:1	f1r,f1v,f2r,f47v	e:1 c:1 h:2 e:1 f:1 l:1 f:1 i:1 d:1 | e:1 c:1 h:2 e:1 f:1 l:1 f:1 j:1 d:1
e:1 g:1 e:1 e:1 _ f:1 i:1 d:1	5	8	7	2	f:1:5 c:1:2	f1r,f1v,f2r,f47v	e:1 g:1 e:1 e:1 f:1 f:1 i:1 d:1 | e:1 g:1 e:1 e:1 c:1 f:1 i:1 d:1
e:1 g:1 e:1 _	4	4	7	2	c:1:6 e:1:1	f1r,f1v,f47v	e:1 g:1 e:1 c:1 | e:1 g:1 e:1 e:1
n:1 e:1 g:1 e:1 _	5	5	6	2	c:1:5 e:1:1	f1r,f2r,f47v	n:1 e:1 g:1 e:1 c:1 | n:1 e:1 g:1 e:1 e:1
_ e:1 g:1 e:1 e:1 h:1	1	6	5	2	n:1:3 c:1:2	f1r,f1v,f47v	n:1 e:1 g:1 e:1 e:1 h:1 | c:1 e:1 g:1 e:1 e:1 h:1
e:1 c:1 h:2 e:1 g:1 e:1 e:1 _	8	8	5	2	h:1:4 c:1:1	f1r,f2r,f47v	e:1 c:1 h:2 e:1 g:1 e:1 e:1 h:1 | e:1 c:1 h:2 e:1 g:1 e:1 e:1 c:1
n:1 e:1 g:1 e:1 e:1 _	6	6	4	2	h:1:3 c:1:1	f1r,f1v,f47v	n:1 e:1 g:1 e:1 e:1 h:1 | n:1 e:1 g:1 e:1 e:1 c:1
_ a:1 b:1 c:1 a:1 e:1 h:1	1	7	3	2	e:1:2 c:1:1	f1r,f2r,f47v	e:1 a:1 b:1 c:1 a:1 e:1 h:1 | c:1 a:1 b:1 c:1 a:1 e:1 h:1
_ a:1 m:1 c:1 a:1 g:1 e:1 e:1 h:1	1	9	3	2	e:1:2 c:2:1	f1r,f1v,f2r	e:1 a:1 m:1 c:1 a:1 g:1 e:1 e:1 h:1 | c:2 a:1 m:1 c:1 a:1 g:1 e:1 e:1 h:1
e:1 a:1 _ c:1 a:1 g:1 e:1 e:1 h:1	3	9	3	2	m:1:2 b:1:1	f1r,f1v,f2r	e:1 a:1 m:1 c:1 a:1 g:1 e:1 e:1 h:1 | e:1 a:1 b:1 c:1 a:1 g:1 e:1 e:1 h:1
n:1 e:1 g:1 _	4	4	10	2	e:1:9 c:1:1	f1v,f2r	n:1 e:1 g:1 e:1 | n:1 e:1 g:1 c:1
c:1 a:1 _ c:1 a:1 e:1 g:1 e:1 e:1 e:1 h:1	3	11	3	2	b:1:2 m:1:1	f1r,f47v	c:1 a:1 b:1 c:1 a:1 e:1 g:1 e:1 e:1 e:1 h:1 | c:1 a:1 m:1 c:1 a:1 e:1 g:1 e:1 e:1 e:1 h:1
e:1 a:1 _ c:1 a:1 g:1 e:1 e:1 e:1 h:1	3	10	3	2	b:1:2 m:1:1	f1r,f1v	e:1 a:1 b:1 c:1 a:1 g:1 e:1 e:1 e:1 h:1 | e:1 a:1 m:1 c:1 a:1 g:1 e:1 e:1 e:1 h:1
e:1 f:1 _ f:1 i:1 d:1	3	6	3	2	k:1:2 l:1:1	f1r,f2r	e:1 f:1 k:1 f:1 i:1 d:1 | e:1 f:1 l:1 f:1 i:1 d:1
e:1 i:1 _ e:1 h:1	3	5	3	2	d:1:2 c:2:1	f1r,f47v	e:1 i:1 d:1 e:1 h:1 | e:1 i:1 c:2 e:1 h:1
a:1 _ c:1 a:1 c:1 e:1 c:1 h:2 e:1 h:1	2	10	3	2	b:1:2 m:1:1	f1v	a:1 b:1 c:1 a:1 c:1 e:1 c:1 h:2 e:1 h:1 | a:1 m:1 c:1 a:1 c:1 e:1 c:1 h:2 e:1 h:1
c:1 a:1 b:1 c:1 a:1 e:1 f:1 _ f:1 i:1 d:1	8	11	3	2	k:1:2 l:1:1	f1r	c:1 a:1 b:1 c:1 a:1 e:1 f:1 k:1 f:1 i:1 d:1 | c:1 a:1 b:1 c:1 a:1 e:1 f:1 l:1 f:1 i:1 d:1
c:1 a:1 b:1 c:1 a:1 e:1 g:1 e:1 _ e:1 h:1	9	11	3	2	e:1:2 c:1:1	f1r	c:1 a:1 b:1 c:1 a:1 e:1 g:1 e:1 e:1 e:1 h:1 | c:1 a:1 b:1 c:1 a:1 e:1 g:1 e:1 c:1 e:1 h:1
e:1 a:1 _ c:1 a:1 g:1 e:1 e:1 f:1 f:1 i:1 d:1	3	12	3	2	m:1:2 b:1:1	f1r	e:1 a:1 m:1 c:1 a:1 g:1 e:1 e:1 f:1 f:1 i:1 d:1 | e:1 a:1 b:1 c:1 a:1 g:1 e:1 e:1 f:1 f:1 i:1 d:1
n:1 e:1 g:1 e:1 _ e:1 h:1	5	7	3	2	e:1:2 c:1:1	f1r	n:1 e:1 g:1 e:1 e:1 e:1 h:1 | n:1 e:1 g:1 e:1 c:1 e:1 h:1
