molecule_uid	folio	image_name	source_molecule_id	row_index	unit_index	line_position	signature	atom_count	atom_ids	particle_count	particles	particle_ids	eva_line	eva_token_index	eva_token	bounds_x	bounds_y	bounds_w	bounds_h
p006-m001	f2v	page-006.jpg	img6-m1	1	1	1.1	a:1 b:1 c:1 a:1 c:1 c:1 k:1 f:1 i:1 d:1	10	6514 6557 6573 6515 6574 6575 6655 6669 6721 6751	4	a:1 b:1 c:1 a:1 | c:1 | c:1 | k:1 f:1 i:1 d:1	img6-m1-p1 img6-m1-p2 img6-m1-p3 img6-m1-p4	1	1	kooiin	750	596	151	118
p006-m002	f2v	page-006.jpg	img6-m3	1	2	1.2	e:1 g:1 e:1 e:1 c:1 a:1 e:1 b:1 c:1 a:1 b:1 d:1 e:1 g:1 e:1 c:1 f:1 i:1 d:1	19	6798 6960 6799 6800 6576 6516 6801 6558 6577 6517 6559 6752 6802 6961 6803 6578 6670 6722 6753	7	e:1 g:1 e:1 | e:1 | c:1 | a:1 e:1 b:1 c:1 a:1 b:1 d:1 | e:1 g:1 e:1 | c:1 | f:1 i:1 d:1	img6-m3-p1 img6-m3-p2 img6-m3-p3 img6-m3-p4 img6-m3-p5 img6-m3-p6 img6-m3-p7	1	2	cheo	940	604	299	132
p006-m003	f2v	page-006.jpg	img6-m6	1	3	1.3	c:1 a:1 e:1 b:1 c:1 a:1 e:1 f:1 k:1 f:1 i:1 d:1 c:1 e:1 c:1 h:2 e:1 f:1 l:1 f:1 i:1 d:1	22	6579 6518 6804 6560 6580 6519 6805 6671 6656 6672 6723 6754 6581 6806 6582 7012 6807 6673 6657 6674 6724 6755	8	c:1 | a:1 e:1 b:1 c:1 a:1 | e:1 f:1 | k:1 f:1 i:1 d:1 | c:1 | e:1 c:1 h:2 | e:1 f:1 | l:1 f:1 i:1 d:1	img6-m6-p1 img6-m6-p2 img6-m6-p3 img6-m6-p4 img6-m6-p5 img6-m6-p6 img6-m6-p7 img6-m6-p8	1	3	pchor	1297	664	384	88
p006-m004	f2v	page-006.jpg	img6-m7	1	4	1.4	e:1 g:1 e:1 c:1 f:1 i:1 d:1	7	6808 6962 6809 6583 6675 6725 6756	3	e:1 g:1 e:1 | c:1 | f:1 i:1 d:1	img6-m7-p1 img6-m7-p2 img6-m7-p3	1	4	otaiin	1719	705	129	48
p006-m005	f2v	page-006.jpg	img6-m8	1	5	1.5	e:1 c:1 h:2 e:1 f:1 l:1 f:1 i:1 d:1 n:1 e:1 g:1 e:1	13	6810 6584 7013 6811 6676 6658 6677 6726 6757 7027 6812 6963 6813	5	e:1 c:1 h:2 | e:1 f:1 | l:1 f:1 i:1 d:1 | n:1 | e:1 g:1 e:1	img6-m8-p1 img6-m8-p2 img6-m8-p3 img6-m8-p4 img6-m8-p5	1	5	o	2099	720	205	58
p006-m006	f2v	page-006.jpg	img6-m2	1	6	1.6	a:1 m:1 c:1 a:1 e:1 h:1	6	6520 7035 6585 6521 6814 7043	2	a:1 m:1 c:1 a:1 | e:1 h:1	img6-m2-p1 img6-m2-p2	1	6	dain	2310	688	84	109
p006-m007	f2v	page-006.jpg	img6-m4	2	7	2.7	a:1 b:1 c:1 a:1 e:1 g:1 e:1 c:1	8	6532 6564 6598 6533 6837 6969 6836 6596	3	a:1 b:1 c:1 a:1 | e:1 g:1 e:1 | c:1	img6-m4-p1 img6-m4-p2 img6-m4-p3	2	7	qoty	746	717	110	78
p006-m008	f2v	page-006.jpg	img6-m5	2	8	2.8	a:1 b:1 c:1 a:1 e:1 g:1 e:1 e:1 h:1	9	6530 6563 6597 6531 6835 6968 6834 6833 7045	3	a:1 b:1 c:1 a:1 | e:1 g:1 e:1 | e:1 h:1	img6-m5-p1 img6-m5-p2 img6-m5-p3	2	8	chor	882	719	127	108
p006-m009	f2v	page-006.jpg	img6-m9	2	9	2.9	n:1 e:1 g:1 e:1 c:1 n:1 e:1 g:1 e:1	9	7029 6832 6967 6831 6595 7028 6830 6966 6829	5	n:1 | e:1 g:1 e:1 | c:1 | n:1 | e:1 g:1 e:1	img6-m9-p1 img6-m9-p2 img6-m9-p3 img6-m9-p4 img6-m9-p5	2	9	daiin	1052	752	171	63
p006-m010	f2v	page-006.jpg	img6-m12	2	10	2.10	c:1 f:1 j:1	3	6594 6681 7059	2	c:1 | f:1 j:1	img6-m12-p1 img6-m12-p2				1231	795	51	34
