unit_id	image_id	image_name	source_molecule_id	row_index	unit_index	atoms	atom_ids	atom_count	bounds_x	bounds_y	bounds_w	bounds_h
p094-u001	94	page-094.jpg	img94-m1	1	1	e:1 a:1 e:1 b:1 c:1 a:1 b:1 d:1 n:1 e:1 g:1 e:1 e:1 c:1 a:1 m:1 c:1 a:1	2620 2610 2617 2615 2616 2618 2613 2619 3697 2622 2625 2623 2624 2627 2628 3050 2630 2631	18	791	392	272	200
p094-u002	94	page-094.jpg	img94-m6	1	2	e:1 g:1 e:1 e:1 c:1 f:1 i:1 d:1	2632 2636 2633 2634 2635 2637 2638 2639	8	1076	525	148	63
p094-u003	94	page-094.jpg	img94-m7	1	3	e:1 a:1 m:1 c:1 a:1 d:1 g:1 e:1 e:1 h:1	2710 2740 3056 2742 2743 2744 2728 2711 2712 2735	10	1160	591	146	95
p094-u004	94	page-094.jpg	img94-m3	1	4	e:1 g:1 e:1 c:1 f:1 j:1 n:1 e:1 g:1 e:1 c:1	2640 2651 2641 2656 2659 2660 3698 2642 2652 2643 2657	11	1267	519	232	70
p094-u005	94	page-094.jpg	img94-m4	1	5	e:1 g:1 e:1 c:1 e:1 a:1 b:1 c:1 a:1 b:1 d:1 e:1 g:1 e:1 e:1 h:1	2644 2653 2645 2658 2667 2662 2665 2664 2666 2663 2668 2646 2654 2647 2648 2669	16	1555	474	224	135
p094-u006	94	page-094.jpg	img94-m2	1	6	e:1 i:1 d:1 e:1 f:1 f:1 j:1	2649 2673 2674 2650 2672 2671 2670	7	1803	532	107	92
p094-u007	94	page-094.jpg	img94-m5	1	7	e:1 i:1 d:1 e:1 f:1 f:1 i:1 d:1 e:1 h:1	2675 2684 2685 2676 2679 2682 2683 2686 2677 2680	10	2056	562	139	95
p094-u008	94	page-094.jpg	img94-m9	2	8	e:1 c:1 h:2 n:1 e:1 c:1 g:1 e:1 e:1 e:1 h:1	2687 2692 2693 3700 2689 2696 2699 2688 2690 2691 2701	11	841	624	170	91
p094-u009	94	page-094.jpg	img94-m13	2	9	n:1 e:1 g:1 e:1 e:1 h:1	3699 2707 2727 2708 2709 2734	6	1061	629	97	81
p094-u010	94	page-094.jpg	img94-m10	2	10	c:1 a:1 m:1 c:1 a:1 e:1 g:1 e:1 e:1 e:1 h:1	2745 2747 3057 2746 2748 2713 2731 2729 2715 2716 2736	11	1347	592	201	104
p094-u011	94	page-094.jpg	img94-m8	2	11	e:1 c:1 h:2 e:1 f:1 k:1 e:1 c:1 h:2 e:1 h:1	2717 2750 2754 2718 2756 2765 2719 2751 2755 2720 2737	11	1592	619	188	75
p094-u012	94	page-094.jpg	img94-m12	2	12	e:1 g:1 e:1 c:1 f:1 i:1 d:1 e:1 h:1	2721 2732 2722 2752 2757 2762 2763 2723 2738	9	1818	637	171	86
p094-u013	94	page-094.jpg	img94-m11	2	13	e:1 c:2 h:2 e:1 f:1 k:1 e:1 h:1	2760 2753 2761 2725 2758 2759 2726 2739	8	2066	654	158	73
p094-u014	94	page-094.jpg	img94-m18	3	14	n:1 e:1 g:1 e:1 c:1 f:1 j:1	3701 2766 2784 2767 2786 2798 2846	7	841	712	128	66
p094-u015	94	page-094.jpg	img94-m19	3	15	e:1 g:1 e:1 e:1 f:1 f:1 i:1 d:1	2768 2783 2769 2770 2799 2800 2843 2844	8	1005	719	120	46
p094-u016	94	page-094.jpg	img94-m20	3	16	c:1 a:1 m:1 c:2 a:1 e:1 c:1 f:1 j:1	2787 2841 3058 2797 2840 2771 2788 2801 2839	9	1189	692	198	81
p094-u017	94	page-094.jpg	img94-m14	3	17	e:1 c:1 h:2 c:1 f:1 i:1 d:1	2772 2796 5500 2789 2802 2837 2838	7	1431	704	98	53
p094-u018	94	page-094.jpg	img94-m16	3	18	c:1 e:1 a:1 b:1 a:1 c:2 e:1 g:1 e:1 c:1 f:1 j:1	2790 2836 2831 2833 2828 2792 2773 2782 2774 2791 2803 2818	12	1579	680	218	85
p094-u019	94	page-094.jpg	img94-m17	3	19	c:2 g:1 e:1 a:1 b:1 c:1 a:1 e:1 g:1 e:1 e:1 h:1	2793 2781 2775 2815 2816 2794 2814 2776 2780 2777 2778 2779	12	1823	702	193	104
p094-u020	94	page-094.jpg	img94-m15	3	20	e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1	2809 2795 2810 2812 2804 2808 2805 2806 2807	9	2069	726	161	60
p094-u021	94	page-094.jpg	img94-m25	4	21	a:1 m:1 c:1 a:1 e:1 b:1 c:1 a:1 c:1 f:1 j:1	2851 3063 2849 2852 2857 2854 2855 2853 2867 2868 2869	11	834	776	195	94
p094-u022	94	page-094.jpg	img94-m27	4	22	n:1 e:1 g:1 e:1 e:1 e:1 e:1 h:1	3703 2870 2888 2871 2873 2874 2875 2889	8	1070	803	167	64
p094-u023	94	page-094.jpg	img94-m22	4	23	a:1 b:1 c:1 a:1 c:1 f:1 j:1	2894 2896 2897 2895 2901 2899 2900	7	1275	772	108	84
p094-u024	94	page-094.jpg	img94-m26	4	24	n:1 e:1 g:1 e:1 c:1	3702 2876 2890 2877 2903	5	1414	792	88	58
p094-u025	94	page-094.jpg	img94-m21	4	25	a:1 b:1 c:1 a:1 e:1 e:1 e:1 g:1 e:1 e:1 h:1	2905 2904 2907 2906 2878 2908 2880 2891 2881 2882 2909	11	1543	760	207	90
p094-u026	94	page-094.jpg	img94-m24	4	26	a:1 m:1 c:1 a:1 e:1 b:1 c:1 a:1 e:1 h:1	2925 3059 2910 2913 2912 2911 2915 2916 2883 2917	10	1790	773	165	113
p094-u027	94	page-094.jpg	img94-m23	4	27	e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 e:1 h:1	2887 2919 2923 2922 2921 2920 2892 2885 2886 2918	10	2064	793	140	108
p094-u028	94	page-094.jpg	img94-m29	5	28	e:1 c:1 h:2 n:1 e:1 g:1 e:1 c:1 f:1 j:1 e:1 h:1	2927 2947 2966 3704 2928 2952 2929 2948 2961 2965 2930 2967	12	850	869	221	110
p094-u029	94	page-094.jpg	img94-m34	5	29	n:1 e:1 g:1 e:1 e:1 e:1 e:1 i:1 d:1	3705 2931 2954 2932 2933 2934 2935 2974 2975	9	1121	871	146	65
p094-u030	94	page-094.jpg	img94-m33	5	30	e:1 g:1 e:1 c:1 f:1 i:1 d:1	2936 2955 2937 2949 2962 2976 2977	7	1325	876	142	55
p094-u031	94	page-094.jpg	img94-m31	5	31	c:1 e:1 c:1 h:2 e:1 h:1	2950 2970 2951 2968 2938 2969	6	1526	862	108	81
p094-u032	94	page-094.jpg	img94-m30	5	32	n:1 e:1 g:1 e:1 e:1 h:1	3706 2939 2956 2940 2941 2971	6	1690	858	93	82
p094-u033	94	page-094.jpg	img94-m28	5	33	e:1 i:1 c:2 e:1 h:1	2942 2978 2979 2943 2972	5	1849	877	54	77
p094-u034	94	page-094.jpg	img94-m32	5	34	e:1 i:1 d:1 e:1 f:1 f:1 i:1 d:1 e:1 h:1	2944 2980 2982 2945 2964 2963 2981 2984 2946 2973	10	2032	893	142	100
p094-u035	94	page-094.jpg	img94-m39	6	35	e:1 g:1 e:1 c:1 e:1 c:1 h:2 e:1 h:1	2985 2999 2986 3003 2987 3004 3011 2988 3012	9	852	970	161	74
p094-u036	94	page-094.jpg	img94-m38	6	36	e:1 g:1 e:1 e:1 c:1 f:1 i:1 d:1	2989 3000 2990 2991 3005 3014 3023 3026	8	1067	958	181	55
p094-u037	94	page-094.jpg	img94-m36	6	37	e:1 i:1 d:1 e:1 f:1 k:1 f:1 i:1 d:1	2992 3024 3027 2993 3015 3029 3016 3025 3028	9	1321	948	156	58
p094-u038	94	page-094.jpg	img94-m35	6	38	e:1 c:2 h:2 c:1 e:1 g:1 e:1 c:1 e:1 c:1 h:2	2994 3010 3022 3006 2995 3001 2996 3007 3019 3008 3013	11	1723	952	221	47
p094-u039	94	page-094.jpg	img94-m37	6	39	e:1 g:1 e:1 c:1 f:1 j:1	2997 3002 2998 3009 3017 3018	6	2004	987	119	40
p094-u040	94	page-094.jpg	img94-m40	7	40	e:1 a:1 e:1 b:1 c:1 a:1 b:1 d:1 k:1 f:1 i:1 d:1 e:1 c:1 h:2 e:1 f:1 e:1 g:1 e:1 c:1	5487 4223 4224 4239 4237 4238 4236 5488 4254 4251 4255 4256 4227 4243 4247 4228 4250 4225 4241 4226 4242	21	737	2383	295	126
p094-u041	94	page-094.jpg	img94-m42	7	41	e:1 c:1 h:2 e:1 f:1 l:1 f:1 j:1 d:1	4230 4244 4248 4231 4252 4257 4253 4258 4259	9	1085	2428	116	74
p094-u042	94	page-094.jpg	img94-m41	7	42	e:1 a:1 m:1 c:1 a:1 g:1 e:1 e:1 c:1 h:2 e:1 h:1	4233 4263 4264 4246 4262 4261 4234 4232 4245 4249 4235 4260	12	1241	2398	173	115
p094-u043	94	page-094.jpg	img94-m45	8	43	e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1	4289 4303 4308 4290 4312 4320 4313 4322 4325	9	765	2540	151	47
p094-u044	94	page-094.jpg	img94-m46	8	44	e:1 g:1 e:1 e:1	4291 4328 4292 4293	4	964	2560	94	21
p094-u045	94	page-094.jpg	img94-m47	8	45	a:1 e:1 b:1 c:1 a:1 f:1 i:1 d:1 c:1 e:1 g:1 e:1 e:1 f:1 c:1	4330 4332 4333 4305 4331 4315 4323 4326 4306 4296 4329 4297 4295 4314 4304	15	1080	2510	292	70
p094-u046	94	page-094.jpg	img94-m44	8	46	e:1 c:1 h:2 f:1 j:1 e:1 f:1 e:1 h:1	4298 4307 4309 4319 4334 4299 4318 4300 4311	9	1395	2520	125	79
p094-u047	94	page-094.jpg	img94-m43	8	47	e:1 i:1 d:1 e:1 f:1 f:1 j:1	4301 4324 4327 4302 4316 4317 4335	7	1546	2515	120	66
p094-u048	94	page-094.jpg	img94-m53	9	48	a:1 m:1 c:1 a:1 m:1 c:1 a:1 c:2 g:1 e:1 e:1 e:1 e:1 h:1	4338 4339 4337 4341 4340 4343 4342 4344 4345 4285 4286 4287 4288 4346	14	744	2587	282	135
p094-u049	94	page-094.jpg	img94-m51	9	49	e:1 g:1 e:1 e:1 a:1 e:1 b:1 c:1 a:1 e:1 h:1	4347 4349 4348 4350 4353 4355 4356 4357 4354 4351 4352	11	1061	2576	175	103
p094-u050	94	page-094.jpg	img94-m50	9	50	e:1 g:1 e:1 c:1 f:1 j:1	4358 4362 4361 4360 4363 4364	6	1280	2606	123	34
p094-u051	94	page-094.jpg	img94-m49	9	51	e:1 g:1 e:1 c:1 f:1 j:1	4365 4370 4366 4369 4367 4368	6	1455	2606	134	34
p094-u052	94	page-094.jpg	img94-m48	9	52	e:1 c:2 h:2 e:1 k:1 f:1 i:1 d:1	4371 4372 4378 5503 4377 4374 4375 4376	8	1624	2585	126	48
p094-u053	94	page-094.jpg	img94-m56	9	53	e:1 g:1 e:1 c:1 f:1 j:1	4405 4465 4406 4494 4557 4573	6	1933	2675	118	34
p094-u054	94	page-094.jpg	img94-m55	9	54	e:1 g:1 e:1 c:1 e:1 c:1 h:2 e:1 h:1	4411 4466 4412 4495 4414 4496 4604 4415 4586	9	2094	2647	175	73
p094-u055	94	page-094.jpg	img94-m52	9	55	e:1 c:1 h:2 e:1 f:1 f:1 j:1 d:1	4420 4497 4605 4421 4558 4559 4615 4634	8	2317	2616	114	67
p094-u056	94	page-094.jpg	img94-m59	10	56	e:1 g:1 e:1 c:1 a:1 c:2 b:1 c:1 a:1 e:1 g:1 e:1 c:1 f:1 j:1 a:1 m:1 c:1 a:1 c:2 g:1 e:1 e:1 e:1 h:1	4283 4461 4284 4486 4528 4521 4620 4487 4529 4379 4462 4380 4488 4556 4572 4531 4577 4489 4530 4522 4532 4381 4382 4383 4583	25	764	2665	493	120
p094-u057	94	page-094.jpg	img94-m57	10	57	c:1 a:1 m:1 c:1 a:1 c:2 g:1 e:1 c:1 a:1 m:1 c:1 a:1 e:1 g:1 e:1 e:1 h:1	4490 4533 4578 4491 4534 4524 4463 4384 4502 4535 4579 4492 4536 4385 4464 4386 4387 4584	18	1297	2652	377	102
p094-u058	94	page-094.jpg	img94-m54	10	58	e:1 c:1 h:2 e:1 h:1	4388 4493 4603 4389 4585	5	1706	2677	59	70
