image_name	ordinal	status	eva_page	eva_paragraph	eva_line	eva_token_count	physical_row	physical_unit_count	physical_y_min	physical_y_max	physical_first_unit	physical_last_unit	note
page-003.jpg	1	paired-by-ordinal	f1r	1	1	10	1	9	362	597	p003-u001	p003-u009	ordinal pair only; not visual proof of exact alignment
page-003.jpg	2	paired-by-ordinal	f1r	1	2	11	2	10	560	704	p003-u010	p003-u019	ordinal pair only; not visual proof of exact alignment
page-003.jpg	3	paired-by-ordinal	f1r	1	3	9	3	10	647	768	p003-u020	p003-u029	ordinal pair only; not visual proof of exact alignment
page-003.jpg	4	paired-by-ordinal	f1r	1	4	9	4	8	730	875	p003-u030	p003-u037	ordinal pair only; not visual proof of exact alignment
page-003.jpg	5	paired-by-ordinal	f1r	1	5	7	5	6	822	963	p003-u038	p003-u043	ordinal pair only; not visual proof of exact alignment
page-003.jpg	6	paired-by-ordinal	f1r	2	7	10	6	7	972	1139	p003-u044	p003-u050	ordinal pair only; not visual proof of exact alignment
page-003.jpg	7	paired-by-ordinal	f1r	2	8	9	7	9	1114	1235	p003-u051	p003-u059	ordinal pair only; not visual proof of exact alignment
page-003.jpg	8	paired-by-ordinal	f1r	2	9	7	8	7	1191	1318	p003-u060	p003-u066	ordinal pair only; not visual proof of exact alignment
page-003.jpg	9	paired-by-ordinal	f1r	3	11	8	9	7	1401	1580	p003-u067	p003-u073	ordinal pair only; not visual proof of exact alignment
page-003.jpg	10	paired-by-ordinal	f1r	3	12	8	10	10	1539	1759	p003-u074	p003-u083	ordinal pair only; not visual proof of exact alignment
page-003.jpg	11	paired-by-ordinal	f1r	3	13	9	11	6	1638	1748	p003-u084	p003-u089	ordinal pair only; not visual proof of exact alignment
page-003.jpg	12	paired-by-ordinal	f1r	3	14	10	12	10	1721	1839	p003-u090	p003-u099	ordinal pair only; not visual proof of exact alignment
page-003.jpg	13	paired-by-ordinal	f1r	3	15	10	13	10	1804	1905	p003-u100	p003-u109	ordinal pair only; not visual proof of exact alignment
page-003.jpg	14	paired-by-ordinal	f1r	3	16	9	14	9	1887	1986	p003-u110	p003-u118	ordinal pair only; not visual proof of exact alignment
page-003.jpg	15	paired-by-ordinal	f1r	3	17	8	15	8	1953	2075	p003-u119	p003-u126	ordinal pair only; not visual proof of exact alignment
page-003.jpg	16	paired-by-ordinal	f1r	3	18	8	16	8	2033	2167	p003-u127	p003-u134	ordinal pair only; not visual proof of exact alignment
page-003.jpg	17	paired-by-ordinal	f1r	3	19	8	17	6	2117	2243	p003-u135	p003-u140	ordinal pair only; not visual proof of exact alignment
page-003.jpg	18	paired-by-ordinal	f1r	3	20	7	18	7	2208	2337	p003-u141	p003-u147	ordinal pair only; not visual proof of exact alignment
page-003.jpg	19	paired-by-ordinal	f1r	4	22	10	19	9	2350	2618	p003-u148	p003-u156	ordinal pair only; not visual proof of exact alignment
page-003.jpg	20	paired-by-ordinal	f1r	4	23	10	20	10	2568	2700	p003-u157	p003-u166	ordinal pair only; not visual proof of exact alignment
page-003.jpg	21	paired-by-ordinal	f1r	4	24	9	21	9	2649	2785	p003-u167	p003-u175	ordinal pair only; not visual proof of exact alignment
page-003.jpg	22	paired-by-ordinal	f1r	4	25	9	22	8	2730	2867	p003-u176	p003-u183	ordinal pair only; not visual proof of exact alignment
page-003.jpg	23	paired-by-ordinal	f1r	4	26	9	23	9	2822	2971	p003-u184	p003-u192	ordinal pair only; not visual proof of exact alignment
page-003.jpg	24	paired-by-ordinal	f1r	4	27	6	24	6	2913	3048	p003-u193	p003-u198	ordinal pair only; not visual proof of exact alignment
page-004.jpg	1	paired-by-ordinal	f1v	1	1	7	1	7	1808	2071	p004-u001	p004-u007	ordinal pair only; not visual proof of exact alignment
