subset	representation	folio	line	region_id	relation_type	alignment_confidence	sequence_length	predicted_opportunities	corruptions	real_code_length_bits	median_corrupted_code_length_bits	mean_corrupted_code_length_bits	real_minus_median_corrupted_bits	real_minus_mean_corrupted_bits	real_better_than_median	real_better_than_all_corruptions	corrupted_better_count
all	ATOMS	f2r	1	f2r-l1-r001	1:1	low-medium	17	15	100	49.24688780476242	60.65452831292443	60.325858417363044	-11.407640508162004	-11.07897061260062	yes	yes	0
all	ATOMS	f2r	1	f2r-l1-r002	N:M	low	36	34	100	118.15525929475828	136.3914108385962	136.2970485545026	-18.236151543837906	-18.141789259744314	yes	yes	0
all	ATOMS	f2r	1	f2r-l1-r003	N:M	low	33	31	100	109.9285763486064	124.098247528205	123.80702864159112	-14.169671179598595	-13.878452292984718	yes	yes	0
all	ATOMS	f2r	2	f2r-l2-r001	1:1	medium	16	14	100	56	56	56	0	0	no	no	0
all	ATOMS	f2r	2	f2r-l2-r002	N:1	low	15	13	100	44.370438322718044	52.81378119121703	52.470172490070034	-8.443342868498988	-8.09973416735199	yes	yes	0
all	ATOMS	f2r	2	f2r-l2-r003	N:M	low	26	24	100	59.41468523580721	95.15556963121053	94.16465918618289	-35.74088439540331	-34.749973950375676	yes	yes	0
all	ATOMS	f2r	3	f2r-l3-r001	1:1	low-medium	14	12	100	40.24524894733264	48.79032066752329	48.17964095884311	-8.545071720190649	-7.934392011510468	yes	no	1
all	ATOMS	f2r	3	f2r-l3-r002	N:1	low	13	11	100	28.285185451520412	41.43889971411653	41.44508293608153	-13.153714262596118	-13.159897484561121	yes	yes	0
all	ATOMS	f2r	3	f2r-l3-r003	1:N	low	12	10	100	32.174370906473506	39.516273108524494	39.449876411588576	-7.3419022020509885	-7.2755055051150705	yes	yes	0
all	ATOMS	f2r	3	f2r-l3-r004	1:1	low-medium	7	5	100	18.906890595608516	20.32192809488736	19.55688763958321	-1.4150374992788457	-0.6499970439746932	yes	no	30
all	ATOMS	f2r	3	f2r-l3-r005	1:1	low-medium	9	7	100	13.439490543003384	28.169925001442312	27.492388466131764	-14.730434458438928	-14.05289792312838	yes	yes	0
all	ATOMS	f2r	4	f2r-l4-r001	1:N	low	13	11	100	38.295932886354414	43.76596302500677	43.63395764935244	-5.470030138652355	-5.338024762998025	yes	no	2
all	ATOMS	f2r	4	f2r-l4-r002	N:M	low	54	52	100	208	208	208	0	0	no	no	0
all	ATOMS	f2r	5	f2r-l5-r001	N:M	low	17	15	100	53.72067178682556	60.661778097771986	60.16544947528028	-6.941106310946424	-6.444777688454721	yes	no	1
all	ATOMS	f2r	5	f2r-l5-r002	N:M	low	28	26	100	77.18947501009617	103.96484840278781	103.74784897677401	-26.775373392691634	-26.558373966677834	yes	yes	0
all	ATOMS	f2r	5	f2r-l5-r003	N:M	low	24	22	100	83.1350272260738	88.31532208370204	88.0588507614286	-5.18029485762824	-4.923823535354799	yes	no	1
all	ATOMS	f2r	6	f2r-l6-r001	N:M	low	21	19	100	66.67970000576923	76.1980253134601	75.72850948591064	-9.518325307690873	-9.0488094801414	yes	yes	0
all	ATOMS	f2r	6	f2r-l6-r002	N:M	low	17	15	100	54.024348177156696	60.49185309632968	60.067209535327905	-6.467504919172981	-6.0428613581712085	yes	yes	0
all	ATOMS	f2r	6	f2r-l6-r003	N:M	low	40	38	100	102.77511442978977	150.36998017070408	150.8604974851835	-47.594865740914315	-48.08538305539372	yes	yes	0
all	ATOMS	f2r	7	f2r-l7-r001	N:M	low	28	26	100	80.18947501009622	104.12499839990318	103.88568667669082	-23.93552338980696	-23.696211666594607	yes	yes	0
all	ATOMS	f2r	7	f2r-l7-r002	N:1	low	14	12	100	25.259623777671138	48.424801270149445	48.018362329648454	-23.165177492478307	-22.758738551977316	yes	yes	0
all	ATOMS	f2r	8	f2r-l8-r001	1:1	low-medium	15	13	100	43.981873034800394	52.32192809488736	51.993825373622386	-8.340055060086968	-8.011952338821992	yes	yes	0
all	ATOMS	f2r	8	f2r-l8-r002	N:M	low	40	38	100	107.19768013069658	154.18323047158512	153.73225429531516	-46.98555034088854	-46.534574164618576	yes	yes	0
all	ATOMS	f2r	8	f2r-l8-r003	N:M	low	46	44	100	140.1749960689374	175.3105965991457	175.1362342571789	-35.13560053020831	-34.96123818824151	yes	yes	0
all	ATOMS	f2r	9	f2r-l9-r001	1:1	low-medium	13	11	100	42.04439411935846	44.281359713524665	43.83596379074269	-2.2369655941662074	-1.7915696713842308	yes	no	13
all	ATOMS	f2r	9	f2r-l9-r002	N:M	low	45	43	100	172	172	172	0	0	no	no	0
all	ATOMS	f2r	9	f2r-l9-r003	N:M	low	14	12	100	35.9261304828734	48.222041925961335	47.724541330253835	-12.295911443087938	-11.798410847380438	yes	yes	0
all	ATOMS	f2r	9	f2r-l9-r004	N:M	low	30	28	100	92.4934811969863	111.80307030501581	111.70473224776302	-19.309589108029513	-19.211251050776724	yes	yes	0
all	ATOMS	f2r	10	f2r-l10-r001	N:M	low	26	24	100	72.55499838998526	96.53079628484642	96.36218842191266	-23.97579789486116	-23.807190031927405	yes	yes	0
all	ATOMS	f2r	10	f2r-l10-r002	N:M	low	20	18	100	50.48264040810513	72.5896022890452	72.01837056307446	-22.106961880940077	-21.53573015496933	yes	yes	0
all	ATOMS	f2r	10	f2r-l10-r003	N:M	low	23	21	100	62.900042501904906	83.8114716935608	83.60272449985659	-20.9114291916559	-20.702681997951686	yes	yes	0
all	ATOMS	f2r	10	f2r-l10-r004	1:1	low-medium	11	9	100	28.0850361038558	35.93072522130417	35.53520600830835	-7.845689117448373	-7.450169904452551	yes	no	1
