subset	representation	folio	line	region_id	relation_type	alignment_confidence	sequence_length	predicted_opportunities	unseen_context_count	log_loss_bits	normalized_log_loss	top1_correct_count	top1_accuracy	mean_observed_probability	sequence
all	ATOMS	f2r	1	f2r-l1-r001	1:1	low-medium	17	15	6	49.24688780476242	0.8207814634127071	6	0.4	0.1260942760942761	a:1 b:1 c:1 a:1 e:1 h:1 e:1 c:1 h:2 e:1 f:1 l:1 f:1 i:1 d:1 e:1 h:1
all	ATOMS	f2r	1	f2r-l1-r002	N:M	low	36	34	17	118.15525929475828	0.8687886712849874	16	0.47058823529411764	0.10314542483660129	e:1 h:1 a:1 m:1 c:1 a:1 b:1 d:1 e:1 g:1 e:1 c:1 f:1 j:1 e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1 c:1 a:1 e:1 b:1 c:1 a:1 e:1 g:1 e:1 e:1 f:1 f:1 j:1
all	ATOMS	f2r	1	f2r-l1-r003	N:M	low	33	31	19	109.9285763486064	0.8865207770048903	12	0.3870967741935484	0.0975151640474221	e:1 a:1 b:1 c:1 a:1 b:1 d:1 e:1 h:1 e:1 g:1 e:1 e:1 f:1 k:1 f:1 i:1 d:1 e:1 a:1 b:1 c:1 a:1 g:1 e:1 c:1 f:1 j:1 e:1 i:1 d:1 e:1 h:1
all	ATOMS	f2r	2	f2r-l2-r001	1:1	medium	16	14	14	56	1	0	0	0.0625	e:1 c:1 h:2 c:1 f:1 i:1 d:1 e:1 g:1 e:1 c:1 f:1 i:1 d:1 e:1 h:1
all	ATOMS	f2r	2	f2r-l2-r002	N:1	low	15	13	7	44.370438322718044	0.8532776600522701	4	0.3076923076923077	0.11885496981650828	e:1 g:1 e:1 a:1 b:1 c:1 a:1 e:1 f:1 f:1 i:1 d:1 e:1 i:1 d:1
all	ATOMS	f2r	2	f2r-l2-r003	N:M	low	26	24	1	59.41468523580721	0.6189029712063251	18	0.75	0.20850324444074445	n:1 e:1 g:1 e:1 c:1 f:1 i:1 d:1 e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 e:1 h:1 e:1 a:1 e:1 b:1 c:1 a:1 g:1 c:1
all	ATOMS	f2r	3	f2r-l3-r001	1:1	low-medium	14	12	3	40.24524894733264	0.8384426864027633	5	0.4166666666666667	0.1394465488215488	a:1 m:1 c:1 a:1 e:1 b:1 c:1 a:1 e:1 f:1 k:1 f:1 i:1 d:1
all	ATOMS	f2r	3	f2r-l3-r002	N:1	low	13	11	0	28.285185451520412	0.6428451238981912	9	0.8181818181818182	0.17203856749311297	e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 e:1 e:1 h:1 e:1 h:1
all	ATOMS	f2r	3	f2r-l3-r003	1:N	low	12	10	4	32.174370906473506	0.8043592726618376	3	0.3	0.13801282051282052	e:1 g:1 e:1 c:1 f:1 i:1 d:1 e:1 g:1 e:1 e:1 h:1
all	ATOMS	f2r	3	f2r-l3-r004	1:1	low-medium	7	5	3	18.906890595608516	0.9453445297804258	1	0.2	0.08083333333333334	e:1 h:1 e:1 c:1 h:2 e:1 h:1
all	ATOMS	f2r	3	f2r-l3-r005	1:1	low-medium	9	7	0	13.439490543003384	0.4799818051072637	6	0.8571428571428571	0.3085067360277444	e:1 g:1 e:1 e:1 f:1 k:1 f:1 i:1 d:1
all	ATOMS	f2r	4	f2r-l4-r001	1:N	low	13	11	6	38.295932886354414	0.8703621110535095	3	0.2727272727272727	0.12134986225895318	n:1 e:1 g:1 c:1 e:1 f:1 l:1 f:1 e:1 c:1 h:2 e:1 h:1
all	ATOMS	f2r	4	f2r-l4-r002	N:M	low	54	52	52	208	1	6	0.11538461538461539	0.0625	e:1 g:1 e:1 a:1 m:1 c:1 a:1 c:1 e:1 c:1 h:2 e:1 c:1 h:2 e:1 h:1 e:1 a:1 m:1 c:1 a:1 b:1 d:1 g:1 e:1 e:1 h:1 e:1 c:1 h:2 e:1 f:1 f:1 j:1 e:1 i:1 d:1 e:1 g:1 e:1 c:1 a:1 b:1 c:1 a:1 e:1 f:1 k:1 f:1 i:1 d:1 e:1 c:1 h:2
all	ATOMS	f2r	5	f2r-l5-r001	N:M	low	17	15	7	53.72067178682556	0.895344529780426	4	0.26666666666666666	0.10527777777777778	c:1 a:1 m:1 c:1 a:1 c:1 e:1 g:1 e:1 c:1 f:1 i:1 d:1 f:1 j:1 e:1 f:1
all	ATOMS	f2r	5	f2r-l5-r002	N:M	low	28	26	7	77.18947501009617	0.742206490481694	16	0.6153846153846154	0.13894230769230767	n:1 e:1 g:1 e:1 c:1 e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1 e:1 g:1 e:1 c:1 f:1 j:1 e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1
all	ATOMS	f2r	5	f2r-l5-r003	N:M	low	24	22	13	83.1350272260738	0.9447162184781114	3	0.13636363636363635	0.08131798756798758	e:1 h:1 a:1 e:1 b:1 c:1 a:1 e:1 g:1 e:1 e:1 f:1 k:1 f:1 i:1 d:1 e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1
all	ATOMS	f2r	6	f2r-l6-r001	N:M	low	21	19	11	66.67970000576923	0.8773644737601215	6	0.3157894736842105	0.1034356725146199	e:1 i:1 d:1 e:1 f:1 k:1 f:1 i:1 d:1 e:1 c:1 h:2 e:1 f:1 l:1 f:1 i:1 d:1 e:1 c:1 h:2
all	ATOMS	f2r	6	f2r-l6-r002	N:M	low	17	15	9	54.024348177156696	0.9004058029526116	5	0.3333333333333333	0.09731481481481483	e:1 c:1 h:2 a:1 b:1 c:1 a:1 c:1 f:1 j:1 e:1 i:1 d:1 c:1 f:1 i:1 d:1
all	ATOMS	f2r	6	f2r-l6-r003	N:M	low	40	38	11	102.77511442978977	0.6761520686170379	23	0.6052631578947368	0.21880435311162866	e:1 h:1 a:1 m:1 c:1 a:1 c:1 f:1 j:1 e:1 c:1 h:2 e:1 h:1 e:1 c:1 h:2 e:1 g:1 e:1 c:1 f:1 j:1 e:1 c:1 h:2 e:1 g:1 e:1 e:1 h:1 c:2 a:1 m:1 c:1 a:1 g:1 e:1 e:1 h:1
all	ATOMS	f2r	7	f2r-l7-r001	N:M	low	28	26	9	80.18947501009622	0.7710526443278483	17	0.6538461538461539	0.12996794871794867	n:1 e:1 g:1 e:1 c:1 f:1 i:1 d:1 e:1 a:1 b:1 c:1 a:1 g:1 e:1 e:1 h:1 e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1 e:1 h:1
all	ATOMS	f2r	7	f2r-l7-r002	N:1	low	14	12	1	25.259623777671138	0.5262421620348153	9	0.75	0.26552995615495617	e:1 g:1 e:1 c:1 f:1 j:1 e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1
all	ATOMS	f2r	8	f2r-l8-r001	1:1	low-medium	15	13	6	43.981873034800394	0.8458052506692384	4	0.3076923076923077	0.1198508756201064	a:1 b:1 c:1 a:1 e:1 h:1 e:1 c:1 h:2 e:1 f:1 l:1 f:1 i:1 d:1
all	ATOMS	f2r	8	f2r-l8-r002	N:M	low	40	38	13	107.19768013069658	0.705247895596688	22	0.5789473684210527	0.1893953376345017	n:1 e:1 g:1 e:1 e:1 f:1 k:1 f:1 i:1 d:1 a:1 m:1 c:1 e:1 h:1 e:1 i:1 d:1 n:1 e:1 g:1 e:1 c:1 f:1 j:1 a:1 b:1 c:1 a:1 b:1 d:1 c:1 e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1
all	ATOMS	f2r	8	f2r-l8-r003	N:M	low	46	44	16	140.1749960689374	0.7964488413007806	20	0.45454545454545453	0.13589169668715126	e:1 h:1 a:1 b:1 c:1 a:1 n:1 e:1 g:1 e:1 c:1 f:1 j:1 n:1 e:1 g:1 e:1 e:1 e:1 e:1 h:1 e:1 c:1 h:2 e:1 f:1 k:1 f:1 j:1 e:1 c:1 h:2 e:1 h:1 e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1 c:1 f:1 j:1
all	ATOMS	f2r	9	f2r-l9-r001	1:1	low-medium	13	11	8	42.04439411935846	0.9555544118036013	1	0.09090909090909091	0.08872819100091828	e:1 c:1 h:2 f:1 j:1 e:1 i:1 d:1 n:1 e:1 g:1 e:1 c:1
all	ATOMS	f2r	9	f2r-l9-r002	N:M	low	45	43	43	172	1	6	0.13953488372093023	0.0625	a:1 b:1 c:1 a:1 c:1 f:1 j:1 n:1 e:1 g:1 e:1 e:1 e:1 e:1 h:1 n:1 e:1 g:1 e:1 a:1 m:1 c:1 a:1 b:1 c:1 a:1 e:1 e:1 h:1 e:1 h:1 a:1 b:1 c:1 a:1 c:1 e:1 c:1 h:2 e:1 h:1 e:1 i:1 d:1 c:1
all	ATOMS	f2r	9	f2r-l9-r003	N:M	low	14	12	3	35.9261304828734	0.7484610517265291	6	0.5	0.1641163234913235	e:1 g:1 e:1 c:1 f:1 j:1 e:1 h:1 a:1 b:1 c:1 a:1 e:1 h:1
all	ATOMS	f2r	9	f2r-l9-r004	N:M	low	30	28	14	92.4934811969863	0.8258346535445205	12	0.42857142857142855	0.11339285714285711	e:1 c:1 h:2 e:1 f:1 l:1 f:1 i:1 d:1 e:1 i:1 d:1 e:1 f:1 k:1 f:1 i:1 d:1 e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1 l:1 f:1 i:1 d:1
all	ATOMS	f2r	10	f2r-l10-r001	N:M	low	26	24	9	72.55499838998526	0.7557812332290131	13	0.5416666666666666	0.16700411856661856	m:1 a:1 n:1 c:1 i:1 a:1 b:1 c:1 a:1 e:1 h:1 e:1 g:1 e:1 c:1 f:1 j:1 e:1 f:1 k:1 f:1 i:1 d:1 c:1 f:1 j:1
all	ATOMS	f2r	10	f2r-l10-r002	N:M	low	20	18	4	50.48264040810513	0.7011477834459046	11	0.6111111111111112	0.1769387248553915	n:1 e:1 g:1 e:1 e:1 a:1 b:1 c:1 a:1 e:1 h:1 e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1
all	ATOMS	f2r	10	f2r-l10-r003	N:M	low	23	21	4	62.900042501904906	0.7488100297845822	13	0.6190476190476191	0.16297327011612722	e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 e:1 e:1 h:1 a:1 b:1 c:1 a:1 e:1 c:1 f:1 j:1 n:1 e:1 g:1 e:1
all	ATOMS	f2r	10	f2r-l10-r004	1:1	low-medium	11	9	4	28.0850361038558	0.7801398917737722	6	0.6666666666666666	0.14800785634118968	e:1 a:1 b:1 c:1 a:1 g:1 e:1 c:1 f:1 i:1 d:1
all	ATOMS	f2r	11	f2r-l11-r001	N:M	low	18	16	4	44.753457238129045	0.6992727693457663	9	0.5625	0.19511339355089355	e:1 h:1 e:1 g:1 e:1 e:1 f:1 l:1 f:1 i:1 d:1 e:1 c:1 h:2 e:1 f:1 f:1 j:1
all	ATOMS	f2r	11	f2r-l11-r002	N:M	low	25	23	8	71.31712992638454	0.7751861948520059	10	0.43478260869565216	0.14199447895100067	e:1 g:1 e:1 e:1 h:1 e:1 c:1 h:2 e:1 f:1 f:1 j:1 c:1 f:1 i:1 d:1 n:1 e:1 g:1 e:1 e:1 f:1 f:1 i:1 d:1
all	ATOMS	f2r	11	f2r-l11-r003	1:1	medium	8	6	0	14.795859283219775	0.616494136800824	4	0.6666666666666666	0.18611111111111112	e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1
all	ATOMS	f2r	11	f2r-l11-r004	N:1	low	12	10	5	31.906890595608516	0.7976722648902129	5	0.5	0.13374999999999998	c:1 f:1 j:1 e:1 i:1 d:1 e:1 f:1 k:1 f:1 i:1 d:1
all	ATOMS	f2r	11	f2r-l11-r005	1:1	medium	4	2	2	8	1	0	0	0.0625	e:1 e:1 e:1 h:1
all	ATOMS	f2r	12	f2r-l12-r001	1:1	low-medium	8	6	0	10.95623008973908	0.45650958707246164	6	1	0.2840909090909091	c:1 a:1 b:1 c:1 a:1 c:1 f:1 j:1
all	ATOMS	f2r	12	f2r-l12-r002	N:M	low	24	22	9	70.97168387400667	0.8064964076591667	9	0.4090909090909091	0.12638403263403264	e:1 g:1 e:1 e:1 h:1 e:1 g:1 e:1 c:1 f:1 i:1 d:1 e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 c:1 f:1 i:1 d:1
all	ATOMS	f2r	12	f2r-l12-r003	N:M	low	28	26	10	84.20739691809347	0.8096865088278218	14	0.5384615384615384	0.11965811965811961	e:1 h:1 c:1 f:1 i:1 d:1 e:1 f:1 f:1 i:1 d:1 e:1 g:1 e:1 e:1 f:1 f:1 i:1 d:1 e:1 i:1 d:1 e:1 f:1 k:1 f:1 i:1 d:1
all	ATOMS	f2r	12	f2r-l12-r004	N:M	low	29	27	27	108	1	4	0.14814814814814814	0.0625	e:1 g:1 e:1 e:1 a:1 e:1 b:1 c:1 a:1 e:1 h:1 e:1 g:1 e:1 e:1 h:1 a:1 b:1 c:1 a:1 e:1 h:1 d:1 e:1 j:1 e:1 f:1 f:1 j:1
all	ATOMS	f2r	13	f2r-l13-r001	N:M	low	43	41	5	108.12580636390281	0.6593036973408708	27	0.6585365853658537	0.2005152367957246	n:1 e:1 g:1 e:1 c:1 e:1 h:1 e:1 a:1 b:1 c:1 a:1 e:1 e:1 h:1 e:1 g:1 e:1 e:1 e:1 h:1 e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1 e:1 g:1 e:1 e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 e:1 h:1
all	ATOMS	f2v	1	f2v-l1-r001	1:1	low-medium	10	8	3	25.73286119583347	0.8041519123697959	3	0.375	0.15201655982905984	a:1 b:1 c:1 a:1 c:1 c:1 k:1 f:1 i:1 d:1
all	ATOMS	f2v	1	f2v-l1-r002	N:M	low	48	46	46	184	1	4	0.08695652173913043	0.0625	e:1 g:1 e:1 e:1 c:1 a:1 e:1 b:1 c:1 a:1 b:1 d:1 e:1 g:1 e:1 c:1 f:1 i:1 d:1 c:1 a:1 e:1 b:1 c:1 a:1 e:1 f:1 k:1 f:1 i:1 d:1 c:1 e:1 c:1 h:2 e:1 f:1 l:1 f:1 i:1 d:1 e:1 g:1 e:1 c:1 f:1 i:1 d:1
all	ATOMS	f2v	1	f2v-l1-r003	N:M	low	19	17	6	51.270084884090764	0.7539718365307465	8	0.47058823529411764	0.15224301841948898	e:1 c:1 h:2 e:1 f:1 l:1 f:1 i:1 d:1 n:1 e:1 g:1 e:1 a:1 m:1 c:1 a:1 e:1 h:1
all	ATOMS	f2v	2	f2v-l2-r001	N:M	low	29	27	27	108	1	3	0.1111111111111111	0.0625	a:1 b:1 c:1 a:1 e:1 g:1 e:1 c:1 a:1 b:1 c:1 a:1 e:1 g:1 e:1 e:1 h:1 n:1 e:1 g:1 e:1 c:1 n:1 e:1 g:1 e:1 c:1 f:1 j:1
all	ATOMS	f2v	2	f2v-l2-r002	N:M	low	31	29	5	70.32682858531123	0.6062657636664761	18	0.6206896551724138	0.233033703393744	a:1 m:1 c:1 a:1 e:1 b:1 c:1 a:1 e:1 g:1 e:1 c:1 f:1 j:1 c:1 e:1 e:1 e:1 e:1 i:1 d:1 a:1 m:1 c:1 a:1 e:1 b:1 c:1 a:1 e:1 h:1
all	ATOMS	f2v	2	f2v-l2-r003	N:M	low	16	14	14	56	1	0	0	0.0625	e:1 g:1 e:1 c:1 e:1 i:1 d:1 e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1
all	ATOMS	f2v	3	f2v-l3-r001	1:1	medium	10	8	2	21.04295214518455	0.6575922545370172	6	0.75	0.21581439393939392	c:1 a:1 m:1 c:1 a:1 e:1 g:1 e:1 e:1 h:1
all	ATOMS	f2v	3	f2v-l3-r002	N:M	low	43	41	12	119.9274089028851	0.7312646884322263	21	0.5121951219512195	0.17724430041503214	e:1 g:1 e:1 c:1 e:1 i:1 d:1 n:1 f:1 j:1 e:1 g:1 e:1 e:1 h:1 e:1 g:1 e:1 c:1 f:1 j:1 e:1 g:1 e:1 c:1 e:1 c:1 h:2 e:1 h:1 e:1 g:1 e:1 c:1 e:1 c:1 h:2 e:1 f:1 l:1 f:1 i:1 d:1
all	ATOMS	f2v	3	f2v-l3-r003	N:M	low	22	20	1	43.86302791291204	0.5482878489114005	15	0.75	0.261346361971362	e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 e:1 c:1 h:2 e:1 g:1 e:1 e:1 h:1 e:1 f:1 k:1 f:1 i:1 d:1
all	ATOMS	f2v	4	f2v-l4-r001	N:M	low	33	31	12	101.50151653067488	0.8185606171828619	13	0.41935483870967744	0.1222222222222222	n:1 e:1 g:1 e:1 c:1 e:1 g:1 e:1 c:1 f:1 j:1 c:1 e:1 g:1 e:1 e:1 c:1 f:1 i:1 d:1 e:1 g:1 e:1 c:1 e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1
