folio	skeleton	slot_index	length	role	left_neighbor	right_neighbor	test_total	known_values	candidate_total	candidate_values	known_candidate_count	known_candidate_mass	clean_probability
f2r	e:1 c:1 h:2 e:1 f:1 _ f:1 i:1 d:1	6	9	medial	f:1	f:1	4	k:1 l:1	9	k:1:8 l:1:1	9	1	1
f2r	e:1 _ h:2 e:1 f:1 k:1 f:1 i:1 d:1	2	9	medial	e:1	h:2	3	c:1 c:2	5	c:1:5	5	1	1
f2r	e:1 c:1 h:2 e:1 f:1 k:1 f:1 _ d:1	8	9	medial	f:1	d:1	3	i:1 j:1	9	i:1:9	9	1	1
f2r	e:1 c:1 h:2 e:1 f:1 f:1 _ d:1	7	8	medial	f:1	d:1	3	i:1 j:1	4	i:1:4	4	1	1
f2r	e:1 c:1 h:2 e:1 f:1 l:1 f:1 _ d:1	8	9	medial	f:1	d:1	1	i:1 j:1	9	i:1:9	9	1	1
f2r	e:1 g:1 e:1 e:1 _ f:1 i:1 d:1	5	8	medial	e:1	f:1	1	f:1 c:1	4	f:1:4	4	1	1
f2r	n:1 e:1 g:1 e:1 _	5	5	final	e:1		1	c:1 e:1	5	h:1:4 c:1:1	1	0.2	0.2
f2r	e:1 c:1 h:2 e:1 g:1 e:1 e:1 _	8	8	final	e:1		1	h:1 c:1	3	h:1:3	3	1	1
f2v	e:1 c:1 h:2 e:1 f:1 _ f:1 i:1 d:1	6	9	medial	f:1	f:1	4	k:1 l:1	4	k:1:4	4	1	1
f2v	e:1 _ h:2 e:1 f:1 k:1 f:1 i:1 d:1	2	9	medial	e:1	h:2	4	c:1 c:2	4	c:1:4	4	1	1
f2v	e:1 c:1 h:2 e:1 f:1 k:1 f:1 _ d:1	8	9	medial	f:1	d:1	4	i:1 j:1	4	i:1:4	4	1	1
f2v	e:1 g:1 e:1 e:1 _ f:1 i:1 d:1	5	8	medial	e:1	f:1	2	f:1 c:1	2	c:1:1 f:1:1	2	1	1
f2v	n:1 e:1 g:1 e:1 _	5	5	final	e:1		1	c:1 e:1	2	c:1:1 h:1:1	1	0.5	0.5
f2v	_ e:1 g:1 e:1 e:1 h:1	1	6	initial		e:1	1	n:1 c:1	1	n:1:1	1	1	1
f2v	n:1 e:1 g:1 e:1 e:1 _	6	6	final	e:1		1	h:1 c:1	2	h:1:2	2	1	1
