folio	molecule_uid	source_molecule_id	family_id	slot_index	observed_value	local_context	frame_identity	model_a_key_seen	model_b_key_seen	observed_in_train_vocab	model_a_probability	model_b_probability	model_a_log_loss	model_b_log_loss	log_loss_difference	model_a_top1	model_b_top1	model_a_correct	model_b_correct
f2r	p005-m004	img5-m5	substitution-01	6	k:1	length=9|role=medial|left=f:1|right=f:1	slot=6|skeleton=e:1 c:1 h:2 e:1 f:1 _ f:1 i:1 d:1	yes	yes	yes	0.40384615384615385	0.40384615384615385	1.308122295362332	1.308122295362332	0	k:1	k:1	yes	yes
f2r	p005-m068	img5-m60	substitution-01	6	l:1	length=9|role=medial|left=f:1|right=f:1	slot=6|skeleton=e:1 c:1 h:2 e:1 f:1 _ f:1 i:1 d:1	yes	yes	yes	0.3269230769230769	0.3269230769230769	1.6129768768907526	1.6129768768907526	0	k:1	k:1	no	no
f2r	p005-m076	img5-m74	substitution-01	6	k:1	length=9|role=medial|left=f:1|right=f:1	slot=6|skeleton=e:1 c:1 h:2 e:1 f:1 _ f:1 i:1 d:1	yes	yes	yes	0.40384615384615385	0.40384615384615385	1.308122295362332	1.308122295362332	0	k:1	k:1	yes	yes
f2r	p005-m103	img5-m100	substitution-01	6	k:1	length=9|role=medial|left=f:1|right=f:1	slot=6|skeleton=e:1 c:1 h:2 e:1 f:1 _ f:1 i:1 d:1	yes	yes	yes	0.40384615384615385	0.40384615384615385	1.308122295362332	1.308122295362332	0	k:1	k:1	yes	yes
f2v	p006-m014	img6-m13	substitution-01	6	k:1	length=9|role=medial|left=f:1|right=f:1	slot=6|skeleton=e:1 c:1 h:2 e:1 f:1 _ f:1 i:1 d:1	yes	yes	yes	0.40384615384615385	0.40384615384615385	1.308122295362332	1.308122295362332	0	k:1	k:1	yes	yes
f2v	p006-m035	img6-m29	substitution-01	6	k:1	length=9|role=medial|left=f:1|right=f:1	slot=6|skeleton=e:1 c:1 h:2 e:1 f:1 _ f:1 i:1 d:1	yes	yes	yes	0.40384615384615385	0.40384615384615385	1.308122295362332	1.308122295362332	0	k:1	k:1	yes	yes
f2v	p006-m043	img6-m41	substitution-01	6	k:1	length=9|role=medial|left=f:1|right=f:1	slot=6|skeleton=e:1 c:1 h:2 e:1 f:1 _ f:1 i:1 d:1	yes	yes	yes	0.40384615384615385	0.40384615384615385	1.308122295362332	1.308122295362332	0	k:1	k:1	yes	yes
f2v	p006-m046	img6-m46	substitution-01	6	k:1	length=9|role=medial|left=f:1|right=f:1	slot=6|skeleton=e:1 c:1 h:2 e:1 f:1 _ f:1 i:1 d:1	yes	yes	yes	0.40384615384615385	0.40384615384615385	1.308122295362332	1.308122295362332	0	k:1	k:1	yes	yes
f2r	p005-m004	img5-m5	substitution-02	2	c:1	length=9|role=medial|left=e:1|right=h:2	slot=2|skeleton=e:1 _ h:2 e:1 f:1 k:1 f:1 i:1 d:1	yes	yes	yes	0.5526315789473685	0.5526315789473685	0.8556100906648251	0.8556100906648251	0	c:1	c:1	yes	yes
f2r	p005-m076	img5-m74	substitution-02	2	c:1	length=9|role=medial|left=e:1|right=h:2	slot=2|skeleton=e:1 _ h:2 e:1 f:1 k:1 f:1 i:1 d:1	yes	yes	yes	0.5526315789473685	0.5526315789473685	0.8556100906648251	0.8556100906648251	0	c:1	c:1	yes	yes
