unit_id	image_id	image_name	source_molecule_id	row_index	unit_index	atoms	atom_ids	atom_count	bounds_x	bounds_y	bounds_w	bounds_h
p004-u001	4	page-004.jpg	img4-m1	1	1	a:1 b:1 c:1 a:1 e:1 g:1 e:1 e:1 i:1 d:1 e:1 h:1	4654 4727 4762 4655 4914 5138 4915 4916 5195 5234 4918 5259	12	595	1808	138	147
p004-u002	4	page-004.jpg	img4-m2	1	2	e:1 g:1 e:1 c:1 e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1	4919 5139 4920 4763 4921 4764 5297 4922 5330 5410 5331 5196 5235	13	776	1904	244	58
p004-u003	4	page-004.jpg	img4-m3	1	3	c:1 f:1 j:1	5477 5478 5479	3	1045	1932	48	36
p004-u004	4	page-004.jpg	img4-m5	1	4	c:1 f:1 j:1 a:1 e:1 b:1 c:1 a:1 e:1 g:1 e:1 e:1 e:1 h:1	4766 5333 5416 4656 4923 4728 5236 4657 4924 5140 4925 4926 4927 5260	14	1787	1889	227	149
p004-u005	4	page-004.jpg	img4-m10	1	5	e:1 g:1 e:1 e:1 f:1 f:1 i:1 d:1	4928 5141 4929 4930 5334 5335 5197 5237	8	2054	1973	140	56
p004-u006	4	page-004.jpg	img4-m4	1	6	e:1 a:1 b:1 c:1 a:1 b:1 d:1 g:1 e:1 e:1 f:1 f:1 i:1 d:1	4931 4658 4730 4934 4659 4729 5337 5142 4932 5475 5338 5339 5198 5238	14	2202	1940	193	104
p004-u007	4	page-004.jpg	img4-m11	1	7	e:1 f:1 f:1 i:1 c:1 h:1	4935 5340 5341 5212 4767 5261	6	2421	1992	75	79
p004-u008	4	page-004.jpg	img4-m6	2	8	e:1 h:1 a:1 m:1 c:1 a:1 e:1 e:1 c:1	4955 5265 4660 5446 4794 4661 4954 4953 4795	9	571	1935	154	96
p004-u009	4	page-004.jpg	img4-m7	2	9	e:1 g:1 e:1 e:1 f:1 f:1 i:1 d:1	4952 5146 4951 4950 5347 5346 5215 5241	8	767	1969	132	45
p004-u010	4	page-004.jpg	img4-m8	2	10	c:1 f:1 i:1 d:1	4796 5345 5214 5240	4	925	1980	60	40
p004-u011	4	page-004.jpg	img4-m9	2	11	c:1 e:1 g:1 e:1 e:1 h:1	4797 4949 5145 4948 4947 5264	6	1007	1998	124	43
p004-u012	4	page-004.jpg	img4-m14	2	12	e:1 c:1 h:2 e:1 g:1 e:1 c:1 f:1 j:1	4946 4778 5301 4945 5144 4944 4777 5344 5417	9	1723	2030	159	51
p004-u013	4	page-004.jpg	img4-m12	2	13	a:1 b:1 c:1 a:1 c:1 e:1 c:1 h:2 e:1 h:1	4662 4731 4776 4663 4775 4943 4774 5300 4942 5263	10	1905	2020	141	96
p004-u014	4	page-004.jpg	img4-m16	2	14	c:1 a:1 b:1 c:1 a:1 c:1 e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1	4773 4664 4732 4772 4665 4771 4941 4770 5299 4940 5343 5342 5213 5239	14	2079	2035	185	73
p004-u015	4	page-004.jpg	img4-m18	2	15	e:1 g:1 e:1 c:1 e:1 c:1 h:2 e:1 h:1	4939 5143 4938 4769 4937 4768 5298 4936 5262	9	2297	2078	150	56
p004-u016	4	page-004.jpg	img4-m15	3	16	e:1 c:1 h:2 c:1 e:1 a:1 b:1 c:1 a:1 g:1 e:1 e:1 h:1	4956 4804 5302 4802 4957 4666 4737 4803 4667 5147 4958 4959 5266	13	567	2014	179	89
p004-u017	4	page-004.jpg	img4-m13	3	17	a:1 b:1 c:1 a:1 c:2 g:1 e:1 c:1 a:1 b:1 c:1 a:1 c:2 g:1 e:1 e:1 h:1	4668 4736 4800 4669 4801 5148 4960 4799 4670 4735 4798 4671 5149 5150 4961 4962 5267	17	797	2024	241	80
p004-u018	4	page-004.jpg	img4-m17	3	18	n:1 e:1 g:1 e:1 e:1 h:1	5449 4963 5151 4964 4965 5269	6	1083	2046	86	73
p004-u019	4	page-004.jpg	img4-m21	3	19	e:1 c:1 h:2 a:1 b:1 c:1 a:1 n:1 c:2 g:1 e:1 e:1 e:1 e:1 h:1	4967 4780 5307 4672 4734 4779 4673 5448 4781 5152 4968 4969 4970 4971 5270	15	1625	2070	211	103
p004-u020	4	page-004.jpg	img4-m19	3	20	e:1 a:1 m:1 c:1 a:1 g:1 e:1 e:1 h:1	4972 4674 5447 5154 4675 5153 4973 4974 5271	9	1882	2092	126	85
p004-u021	4	page-004.jpg	img4-m20	3	21	a:1 b:1 c:1 a:1 c:1 a:1 m:1 c:1 a:1	4676 4733 5348 4677 4783 4678 5471 4785 4679	9	2048	2103	143	73
p004-u022	4	page-004.jpg	img4-m28	3	22	e:1 g:1 e:1 c:1 e:1 c:1 h:2 e:1 h:1	4975 5155 4976 4786 4977 4787 5349 4978 5272	9	2187	2150	139	58
