unit_id	page	paragraph	line	token_index	eva
f3r-p1-u001	f3r	1	1	1	tsheos
f3r-p1-u002	f3r	1	1	2	qopal
f3r-p1-u003	f3r	1	1	3	chol
f3r-p1-u004	f3r	1	1	4	cthol
f3r-p1-u005	f3r	1	1	5	daimm
f3r-p1-u006	f3r	1	2	1	ycheor
f3r-p1-u007	f3r	1	2	2	chor
f3r-p1-u008	f3r	1	2	3	dam
f3r-p1-u009	f3r	1	2	4	qotcham
f3r-p1-u010	f3r	1	2	5	cham
f3r-p1-u011	f3r	1	3	1	ochor
f3r-p1-u012	f3r	1	3	2	qocheor
f3r-p1-u013	f3r	1	3	3	chol
f3r-p1-u014	f3r	1	3	4	daiin
f3r-p1-u015	f3r	1	3	5	cthy
f3r-p1-u016	f3r	1	4	1	schey
f3r-p1-u017	f3r	1	4	2	chor
f3r-p1-u018	f3r	1	4	3	chal
f3r-p1-u019	f3r	1	4	4	cham
f3r-p1-u020	f3r	1	4	5	cham
f3r-p1-u021	f3r	1	4	6	cho
f3r-p1-u022	f3r	1	5	1	qokol
f3r-p1-u023	f3r	1	5	2	chololy
f3r-p1-u024	f3r	1	5	3	s
f3r-p1-u025	f3r	1	5	4	cham
f3r-p1-u026	f3r	1	5	5	cthol
f3r-p1-u027	f3r	1	6	1	ychtaiin
f3r-p1-u028	f3r	1	6	2	chor
f3r-p1-u029	f3r	1	6	3	cthom
f3r-p1-u030	f3r	1	6	4	otal
f3r-p1-u031	f3r	1	6	5	dam
f3r-p1-u032	f3r	1	7	1	otchol
f3r-p1-u033	f3r	1	7	2	qodaiin
f3r-p1-u034	f3r	1	7	3	chom
f3r-p1-u035	f3r	1	7	4	shom
f3r-p1-u036	f3r	1	7	5	damo
f3r-p1-u037	f3r	1	8	1	ysheor
f3r-p1-u038	f3r	1	8	2	chor
f3r-p1-u039	f3r	1	8	3	chol
f3r-p1-u040	f3r	1	8	4	oky
f3r-p1-u041	f3r	1	8	5	damo
f3r-p1-u042	f3r	1	9	1	sho
f3r-p1-u043	f3r	1	9	2	?or
f3r-p1-u044	f3r	1	9	3	sheoldam
f3r-p1-u045	f3r	1	9	4	otchody
f3r-p1-u046	f3r	1	9	5	ol
f3r-p1-u047	f3r	1	10	1	ydas
f3r-p1-u048	f3r	1	10	2	chol
f3r-p1-u049	f3r	1	10	3	cthom
f3r-p1-u050	f3r	1	11	1	pcheol
f3r-p1-u051	f3r	1	11	2	shol
f3r-p1-u052	f3r	1	11	3	sols
f3r-p1-u053	f3r	1	11	4	sheol
f3r-p1-u054	f3r	1	11	5	shey
f3r-p1-u055	f3r	1	12	1	okadaiin
f3r-p1-u056	f3r	1	12	2	qokchor
f3r-p1-u057	f3r	1	12	3	qoschodam
f3r-p1-u058	f3r	1	12	4	octhy
f3r-p1-u059	f3r	1	13	1	qokeey
f3r-p1-u060	f3r	1	13	2	qot
f3r-p1-u061	f3r	1	13	3	shey
f3r-p1-u062	f3r	1	13	4	qokody
f3r-p1-u063	f3r	1	13	5	qokchey
f3r-p1-u064	f3r	1	13	6	cheody
f3r-p1-u065	f3r	1	14	1	chor
f3r-p1-u066	f3r	1	14	2	qodair
f3r-p1-u067	f3r	1	14	3	okeey
f3r-p1-u068	f3r	1	14	4	qokeey
f3r-p1-u069	f3r	1	15	1	tsheoarom
f3r-p1-u070	f3r	1	15	2	shor
f3r-p1-u071	f3r	1	15	3	or
f3r-p1-u072	f3r	1	15	4	chor
f3r-p1-u073	f3r	1	15	5	olchsy
f3r-p1-u074	f3r	1	15	6	chom
f3r-p1-u075	f3r	1	15	7	otchom
f3r-p1-u076	f3r	1	15	8	oporar
f3r-p1-u077	f3r	1	16	1	oteol
f3r-p1-u078	f3r	1	16	2	chol
f3r-p1-u079	f3r	1	16	3	s
f3r-p1-u080	f3r	1	16	4	cheol
f3r-p1-u081	f3r	1	16	5	ekshy
f3r-p1-u082	f3r	1	16	6	qokeom
f3r-p1-u083	f3r	1	16	7	qokol
f3r-p1-u084	f3r	1	16	8	daiin
f3r-p1-u085	f3r	1	16	9	soleeg
f3r-p1-u086	f3r	1	17	1	soeom
f3r-p1-u087	f3r	1	17	2	okeom
f3r-p1-u088	f3r	1	17	3	yteody
f3r-p1-u089	f3r	1	17	4	qokeeo
f3r-p1-u090	f3r	1	17	5	dal
f3r-p1-u091	f3r	1	17	6	sam
f3r-p1-u092	f3r	1	18	1	pcheoldom
f3r-p1-u093	f3r	1	18	2	shodaiin
f3r-p1-u094	f3r	1	18	3	qopchor
f3r-p1-u095	f3r	1	18	4	qopol
f3r-p1-u096	f3r	1	18	5	opchol
f3r-p1-u097	f3r	1	18	6	qoty
f3r-p1-u098	f3r	1	18	7	otolom
f3r-p1-u099	f3r	1	19	1	otchor
f3r-p1-u100	f3r	1	19	2	ol
f3r-p1-u101	f3r	1	19	3	cheor
f3r-p1-u102	f3r	1	19	4	qoeor
f3r-p1-u103	f3r	1	19	5	dair
f3r-p1-u104	f3r	1	19	6	qoteol
f3r-p1-u105	f3r	1	19	7	qosaiin
f3r-p1-u106	f3r	1	19	8	chor
f3r-p1-u107	f3r	1	19	9	cthy
f3r-p1-u108	f3r	1	20	1	ycheor
f3r-p1-u109	f3r	1	20	2	chol
f3r-p1-u110	f3r	1	20	3	odaiin
f3r-p1-u111	f3r	1	20	4	chol
f3r-p1-u112	f3r	1	20	5	s
f3r-p1-u113	f3r	1	20	6	aiin
f3r-p1-u114	f3r	1	20	7	okolor
f3r-p1-u115	f3r	1	20	8	am
