skeleton	optional_index	train_base_count	train_expanded_count	train_optional_values	test_base_count	test_expanded_known	test_expanded_new	test_optional_values	test_examples
n:1 e:1 g:1 e:1	5	1	5	c:1:4 e:1:1	8	1	0	c:1:1	n:1 e:1 g:1 e:1 c:1 (1)
e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1	6	7	18	k:1:10 l:1:8	3	4	0	k:1:3 l:1:1	e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1 (3) | e:1 c:1 h:2 e:1 f:1 l:1 f:1 i:1 d:1 (1)
e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1	1	10	1	c:1:1	3	1	0	c:1:1	c:1 e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1 (1)
e:1 g:1 e:1 e:1 h:1	3	6	3	e:1:3	3	1	0	e:1:1	e:1 g:1 e:1 e:1 e:1 h:1 (1)
e:1 g:1 e:1 e:1 h:1	4	6	3	e:1:3	3	1	0	e:1:1	e:1 g:1 e:1 e:1 e:1 h:1 (1)
e:1 g:1 e:1 e:1 h:1	5	6	3	e:1:3	3	1	0	e:1:1	e:1 g:1 e:1 e:1 e:1 h:1 (1)
e:1 g:1 e:1 c:1 f:1 j:1	1	17	1	c:1:1	3	0	0		
e:1 g:1 e:1 c:1 f:1 j:1	3	17	1	e:1:1	3	0	0		
e:1 g:1 e:1 c:1 f:1 j:1	4	17	1	e:1:1	3	0	0		
e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1	9	1	10	d:1:10	0	3	0	d:1:3	e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1 (3)
e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1	5	10	1	f:1:1	3	0	0		
e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1	6	10	1	f:1:1	3	0	0		
e:1 g:1 e:1 e:1 h:1	1	6	5	n:1:3 c:1:2	3	0	0		
e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1	1	7	1	c:1:1	3	0	0		
