molecule_uid	folio	image_name	source_molecule_id	row_index	unit_index	line_position	signature	atom_count	atom_ids	particle_count	particles	particle_ids	eva_line	eva_token_index	eva_token	bounds_x	bounds_y	bounds_w	bounds_h
p003-m001	f1r	page-003.jpg	img3-m1	1	1	1.1	a:1 b:1 c:1 a:1 b:1 d:1 f:1 i:1 d:1 e:1 h:1 e:1 f:1 e:1 g:1 e:1	16	980 1322 982 983 981 5493 999 1000 1002 996 997 991 992 993 995 994	5	a:1 b:1 c:1 a:1 b:1 d:1 | f:1 i:1 d:1 | e:1 h:1 | e:1 f:1 | e:1 g:1 e:1	img3-m1-p1 img3-m1-p2 img3-m1-p3 img3-m1-p4 img3-m1-p5	1	1	fachys	545	362	244	231
p003-m002	f1r	page-003.jpg	img3-m9	1	2	1.2	e:1 h:1 a:1 b:1 c:1 a:1 e:1 f:1 f:1 j:1	10	1006 1007 1008 1010 1011 1012 1015 1016 1017 1018	4	e:1 h:1 | a:1 b:1 c:1 a:1 | e:1 f:1 | f:1 j:1	img3-m9-p1 img3-m9-p2 img3-m9-p3 img3-m9-p4	1	2	ykal	853	454	133	143
p003-m003	f1r	page-003.jpg	img3-m5	1	3	1.3	e:1 f:1 f:1 i:1 d:1	5	1019 1020 1021 1022 1024	2	e:1 f:1 | f:1 i:1 d:1	img3-m5-p1 img3-m5-p2	1	3	ar	1035	500	53	54
p003-m004	f1r	page-003.jpg	img3-m6	1	4	1.4	e:1 h:1 a:1 e:1 b:1 c:1 a:1 e:1 f:1 k:1 f:1 i:1 d:1	13	1048 1050 1051 1052 1053 1058 1059 1060 1061 1062 1063 1064 1065	4	e:1 h:1 | a:1 e:1 b:1 c:1 a:1 | e:1 f:1 | k:1 f:1 i:1 d:1	img3-m6-p1 img3-m6-p2 img3-m6-p3 img3-m6-p4	1	4	ataiin	1117	447	197	126
p003-m005	f1r	page-003.jpg	img3-m4	1	5	1.5	c:1 f:1 j:1 n:1 e:1 g:1 e:1	7	1070 1071 1074 3660 1066 1068 1067	4	c:1 | f:1 j:1 | n:1 | e:1 g:1 e:1	img3-m4-p1 img3-m4-p2 img3-m4-p3 img3-m4-p4	1	5	shol	1370	497	127	71
p003-m006	f1r	page-003.jpg	img3-m3	1	6	1.6	n:1 e:1 g:1 e:1 f:1 i:1 d:1 c:1 e:1 h:1	10	3661 1075 1077 1076 1081 1082 1083 1080 1086 1087	5	n:1 | e:1 g:1 e:1 | f:1 i:1 d:1 | c:1 | e:1 h:1	img3-m3-p1 img3-m3-p2 img3-m3-p3 img3-m3-p4 img3-m3-p5	1	6	shory	1549	471	165	104
p003-m007	f1r	page-003.jpg	img3-m2	1	7	1.7	e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 e:1 i:1 d:1 e:1 e:1 i:1 d:1	15	1089 1097 1098 1099 1100 1103 1096 1090 1107 1108 1109 1092 1091 1110 1111	4	e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 | e:1 i:1 d:1 | e:1 | e:1 i:1 d:1	img3-m2-p1 img3-m2-p2 img3-m2-p3 img3-m2-p4	1	7	cthres	1763	446	205	111
p003-m008	f1r	page-003.jpg	img3-m7	1	8	1.8	e:1 h:1 a:1 b:1 c:1 a:1 c:1 f:1 i:1 d:1	10	1112 1113 1115 1116 1117 1118 1119 1125 1126 1127	4	e:1 h:1 | a:1 b:1 c:1 a:1 | c:1 | f:1 i:1 d:1	img3-m7-p1 img3-m7-p2 img3-m7-p3 img3-m7-p4	1	8	y	1992	430	154	164
p003-m009	f1r	page-003.jpg	img3-m8	1	9	1.9	n:1 e:1 g:1 e:1 c:1 f:1 j:1 e:1 c:2 h:2 e:1 h:1	12	3663 1128 3065 1152 1133 1134 1140 1150 1136 1137 2458 2459	6	n:1 | e:1 g:1 e:1 | c:1 | f:1 j:1 | e:1 c:2 h:2 | e:1 h:1	img3-m8-p1 img3-m8-p2 img3-m8-p3 img3-m8-p4 img3-m8-p5 img3-m8-p6	1	9	kor	2181	474	216	111
p003-m010	f1r	page-003.jpg	img3-m15	2	10	2.10	e:1 i:1 d:1 c:1 f:1 i:1 d:1 e:1 h:1	9	1025 1027 1028 1030 1031 1032 1033 1026 1034	4	e:1 i:1 d:1 | c:1 | f:1 i:1 d:1 | e:1 h:1	img3-m15-p1 img3-m15-p2 img3-m15-p3 img3-m15-p4	2	10	cthar	565	608	156	96
p003-m011	f1r	page-003.jpg	img3-m13	2	11	2.11	e:1 a:1 b:1 c:1 a:1 g:1 e:1 e:1 f:1 f:1 i:1 d:1	12	1035 1040 1041 1042 1043 1038 1036 1037 1044 1045 1046 1047	3	e:1 a:1 b:1 c:1 a:1 g:1 e:1 | e:1 f:1 | f:1 i:1 d:1	img3-m13-p1 img3-m13-p2 img3-m13-p3	2	11	dan	772	584	164	80
p003-m012	f1r	page-003.jpg	img3-m18	2	12	2.12	e:1 h:1 c:1 f:1 i:1 d:1	6	1166 1162 1157 1158 1159 1160	3	e:1 h:1 | c:1 | f:1 i:1 d:1	img3-m18-p1 img3-m18-p2 img3-m18-p3				977	609	107	82
p003-m013	f1r	page-003.jpg	img3-m12	2	13	2.13	a:1 b:1 c:1 a:1 e:1 k:1 f:1 i:1 d:1	9	1168 1169 1170 1171 1172 1174 1175 1176 1177	2	a:1 b:1 c:1 a:1 | e:1 k:1 f:1 i:1 d:1	img3-m12-p1 img3-m12-p2				1129	568	109	77
p003-m014	f1r	page-003.jpg	img3-m17	2	14	2.14	e:1 g:1 e:1 a:1 m:1 c:1 a:1 e:1 f:1 k:1 f:1 i:1 d:1	13	1184 1182 1179 3041 3031 1189 1190 1332 1191 1193 1194 1195 1196	4	e:1 g:1 e:1 | a:1 m:1 c:1 a:1 | e:1 f:1 | k:1 f:1 i:1 d:1	img3-m17-p1 img3-m17-p2 img3-m17-p3 img3-m17-p4				1282	560	241	82
p003-m015	f1r	page-003.jpg	img3-m14	2	15	2.15	n:1 e:1 g:1 e:1 e:1 f:1 f:1 i:1 d:1	9	3664 1197 1198 1199 1201 1202 1203 1206 1208	4	n:1 | e:1 g:1 e:1 | e:1 f:1 | f:1 i:1 d:1	img3-m14-p1 img3-m14-p2 img3-m14-p3 img3-m14-p4				1563	572	139	56
p003-m016	f1r	page-003.jpg	img3-m16	2	16	2.16	e:1 f:1 l:1 f:1 i:1 d:1	6	1209 1210 1212 1213 1214 1215	2	e:1 f:1 | l:1 f:1 i:1 d:1	img3-m16-p1 img3-m16-p2				1729	579	86	62
p003-m017	f1r	page-003.jpg	img3-m10	2	17	2.17	e:1 a:1 m:1 c:1 a:1 g:1 e:1 e:1 f:1 f:1 i:1 d:1	12	1216 1247 3032 1249 1250 1222 1217 1253 1254 1257 1258 1260	3	e:1 a:1 m:1 c:1 a:1 g:1 e:1 | e:1 f:1 | f:1 i:1 d:1	img3-m10-p1 img3-m10-p2 img3-m10-p3				1853	561	193	81
p003-m018	f1r	page-003.jpg	img3-m11	2	18	2.18	e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 e:1 f:1 f:1 i:1 d:1 e:1 c:2 h:2 e:1 f:1 f:1 i:1 d:1	21	1266 1275 1276 1277 1278 1279 1265 1263 1280 1281 1282 1284 1285 1286 1287 1288 1301 1302 1303 1304 1305	6	e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 | e:1 f:1 | f:1 i:1 d:1 | e:1 c:2 h:2 | e:1 f:1 | f:1 i:1 d:1	img3-m11-p1 img3-m11-p2 img3-m11-p3 img3-m11-p4 img3-m11-p5 img3-m11-p6				2077	565	329	81
p003-m019	f1r	page-003.jpg	img3-m23	3	19	3.19	e:1 i:1 d:1 e:1 h:1	5	1334 1335 1336 1337 1338	2	e:1 i:1 d:1 | e:1 h:1	img3-m23-p1 img3-m23-p2				513	690	129	73
p003-m020	f1r	page-003.jpg	img3-m28	3	20	3.20	e:1 f:1 k:1 f:1 i:1 d:1	6	1339 1340 1347 1344 1345 1346	2	e:1 f:1 | k:1 f:1 i:1 d:1	img3-m28-p1 img3-m28-p2				664	693	117	60
p003-m021	f1r	page-003.jpg	img3-m27	3	21	3.21	n:1 e:1 g:1 e:1 e:1 a:1 b:1 c:1 a:1 e:1 h:1	11	3665 1348 1350 1349 1352 1353 1354 1355 1356 1358 1359	5	n:1 | e:1 g:1 e:1 | e:1 | a:1 b:1 c:1 a:1 | e:1 h:1	img3-m27-p1 img3-m27-p2 img3-m27-p3 img3-m27-p4 img3-m27-p5				814	666	171	102
p003-m022	f1r	page-003.jpg	img3-m25	3	22	3.22	c:1 f:1 i:1 d:1	4	1361 1362 1363 1365	2	c:1 | f:1 i:1 d:1	img3-m25-p1 img3-m25-p2				1027	698	66	44
p003-m023	f1r	page-003.jpg	img3-m26	3	23	3.23	e:1 h:1 a:1 b:1 c:1 a:1 e:1 f:1 k:1 f:1 i:1 d:1	12	1366 1368 1369 1371 1372 1373 1374 1375 1376 1377 1378 1379	4	e:1 h:1 | a:1 b:1 c:1 a:1 | e:1 f:1 | k:1 f:1 i:1 d:1	img3-m26-p1 img3-m26-p2 img3-m26-p3 img3-m26-p4				1127	647	194	112
p003-m024	f1r	page-003.jpg	img3-m24	3	24	3.24	n:1 e:1 g:1 e:1 c:1 e:1 c:1 h:2	8	3709 1380 1382 1381 1384 1387 1388 1390	4	n:1 | e:1 g:1 e:1 | c:1 | e:1 c:1 h:2	img3-m24-p1 img3-m24-p2 img3-m24-p3 img3-m24-p4				1365	670	141	62
p003-m025	f1r	page-003.jpg	img3-m19	3	25	3.25	e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 c:1 e:1 f:1 f:1 i:1 d:1 e:1 h:1	16	1391 1395 1401 1397 1399 1402 1394 1393 1403 1404 1405 1406 1407 1408 1409 1410	5	e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 | c:1 | e:1 f:1 | f:1 i:1 d:1 | e:1 h:1	img3-m19-p1 img3-m19-p2 img3-m19-p3 img3-m19-p4 img3-m19-p5				1546	650	262	112
p003-m026	f1r	page-003.jpg	img3-m20	3	26	3.26	e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 c:1 e:1 i:1 d:1	12	1411 1414 1423 1415 1417 1485 1413 1412 1433 1434 1436 1437	3	e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 | c:1 | e:1 i:1 d:1	img3-m20-p1 img3-m20-p2 img3-m20-p3				1857	650	155	77
p003-m027	f1r	page-003.jpg	img3-m22	3	27	3.27	e:1 c:2 h:2 e:1 f:1 f:1 i:1 d:1 e:1 f:1 k:1 f:1 i:1 d:1	14	1439 1440 1441 1457 1458 1459 1460 1461 1462 1463 1464 1465 1467 1471	5	e:1 c:2 h:2 | e:1 f:1 | f:1 i:1 d:1 | e:1 f:1 | k:1 f:1 i:1 d:1	img3-m22-p1 img3-m22-p2 img3-m22-p3 img3-m22-p4 img3-m22-p5				2062	677	234	58
p003-m028	f1r	page-003.jpg	img3-m21	3	28	3.28	e:1 i:1 d:1 e:1 h:1	5	1472 1475 1479 1473 1484	2	e:1 i:1 d:1 | e:1 h:1	img3-m21-p1 img3-m21-p2				2326	684	59	77
p003-m029	f1r	page-003.jpg	img3-m33	4	29	4.29	e:1 c:1 h:2 c:1 k:1 f:1 i:1 d:1	8	1486 1487 1488 1489 1490 1491 1492 1493	3	e:1 c:1 h:2 | c:1 | k:1 f:1 i:1 d:1	img3-m33-p1 img3-m33-p2 img3-m33-p3				577	785	143	52
p003-m030	f1r	page-003.jpg	img3-m36	4	30	4.30	c:1 a:1 e:1 b:1 c:1 a:1 e:1 e:1 e:1 h:1	10	1494 1496 1499 1500 1501 1502 1505 1504 1506 1509	5	c:1 | a:1 e:1 b:1 c:1 a:1 | e:1 | e:1 | e:1 h:1	img3-m36-p1 img3-m36-p2 img3-m36-p3 img3-m36-p4 img3-m36-p5				758	746	163	129
p003-m031	f1r	page-003.jpg	img3-m35	4	31	4.31	c:1 a:1 e:1 b:1 c:1 a:1 e:1 c:1 f:1 i:1 d:1 e:1 i:1 d:1 c:1 f:1 j:1 c:1 a:1 m:1 c:1 a:1 e:1 h:1	24	1512 1514 1515 1516 1517 1518 1519 1520 1521 1522 1524 1526 1527 1528 1529 1530 1531 1532 1533 4648 1535 1537 1538 1539	11	c:1 | a:1 e:1 b:1 c:1 a:1 | e:1 | c:1 | f:1 i:1 d:1 | e:1 i:1 d:1 | c:1 | f:1 j:1 | c:1 | a:1 m:1 c:1 a:1 | e:1 h:1	img3-m35-p1 img3-m35-p2 img3-m35-p3 img3-m35-p4 img3-m35-p5 img3-m35-p6 img3-m35-p7 img3-m35-p8 img3-m35-p9 img3-m35-p10 img3-m35-p11				969	739	438	107
p003-m032	f1r	page-003.jpg	img3-m29	4	32	4.32	e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 f:1 c:1 f:1 i:1 d:1	13	1543 1549 1553 1551 1559 1560 1547 1544 1545 1546 1561 1562 1563	3	e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 f:1 | c:1 | f:1 i:1 d:1	img3-m29-p1 img3-m29-p2 img3-m29-p3				1457	730	213	97
p003-m033	f1r	page-003.jpg	img3-m30	4	33	4.33	e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1	9	1564 1565 1567 1568 1569 1570 1571 1572 1573	3	e:1 c:1 h:2 | e:1 f:1 | k:1 f:1 i:1 d:1	img3-m30-p1 img3-m30-p2 img3-m30-p3				1701	759	165	65
p003-m034	f1r	page-003.jpg	img3-m34	4	34	4.34	c:1 a:1 b:1 c:1 a:1 e:1 f:1 k:1 f:1 i:1 d:1	11	1574 1575 1578 1579 1580 1582 1583 1584 1585 1586 1587	4	c:1 | a:1 b:1 c:1 a:1 | e:1 f:1 | k:1 f:1 i:1 d:1	img3-m34-p1 img3-m34-p2 img3-m34-p3 img3-m34-p4				1904	732	199	83
p003-m035	f1r	page-003.jpg	img3-m31	4	35	4.35	c:1 f:1 i:1 d:1	4	1588 1590 1591 1594	2	c:1 | f:1 i:1 d:1	img3-m31-p1 img3-m31-p2				2138	764	68	41
p003-m036	f1r	page-003.jpg	img3-m32	4	36	4.36	c:1 a:1 b:1 c:1 a:1 e:1 f:1 f:1 i:1 d:1	10	1589 1595 1596 1598 1599 1610 1611 1612 1613 1615	4	c:1 | a:1 b:1 c:1 a:1 | e:1 f:1 | f:1 i:1 d:1	img3-m32-p1 img3-m32-p2 img3-m32-p3 img3-m32-p4				2238	743	151	65
p003-m037	f1r	page-003.jpg	img3-m41	5	37	5.37	e:1 i:1 d:1 e:1 f:1 l:1 f:1 i:1 d:1 e:1 h:1	11	1627 1629 1630 1631 1632 1633 1634 1635 1636 1637 1638	4	e:1 i:1 d:1 | e:1 f:1 | l:1 f:1 i:1 d:1 | e:1 h:1	img3-m41-p1 img3-m41-p2 img3-m41-p3 img3-m41-p4				584	860	145	103
p003-m038	f1r	page-003.jpg	img3-m42	5	38	5.38	e:1 g:1 e:1 e:1 e:1 f:1 f:1 i:1 d:1	9	1639 1643 1642 1640 1641 1644 1645 1646 1647	4	e:1 g:1 e:1 | e:1 | e:1 f:1 | f:1 i:1 d:1	img3-m42-p1 img3-m42-p2 img3-m42-p3 img3-m42-p4				782	857	159	65
p003-m039	f1r	page-003.jpg	img3-m38	5	39	5.39	e:1 a:1 m:1 c:1 a:1 g:1 e:1 e:1 f:1 k:1 f:1 i:1 d:1	13	1648 1668 3033 1670 1671 1664 1649 1650 1651 1653 1654 1655 1658	3	e:1 a:1 m:1 c:1 a:1 g:1 e:1 | e:1 f:1 | k:1 f:1 i:1 d:1	img3-m38-p1 img3-m38-p2 img3-m38-p3				985	826	223	93
p003-m040	f1r	page-003.jpg	img3-m39	5	40	5.40	e:1 a:1 m:1 c:1 a:1 b:1 d:1 g:1 e:1 e:1 f:1 f:1 i:1 d:1	14	1676 1685 3035 1689 1694 1691 1699 1758 1677 1700 1701 1702 1703 1704	3	e:1 a:1 m:1 c:1 a:1 b:1 d:1 g:1 e:1 | e:1 f:1 | f:1 i:1 d:1	img3-m39-p1 img3-m39-p2 img3-m39-p3				1232	827	197	83
p003-m041	f1r	page-003.jpg	img3-m37	5	41	5.41	e:1 a:1 b:1 c:1 a:1 b:1 d:1 g:1 e:1 e:1 f:1 k:1 f:1 i:1 d:1	15	1679 1707 1712 1709 1710 1708 1713 1705 1706 1718 1717 1719 1720 1721 1722	3	e:1 a:1 b:1 c:1 a:1 b:1 d:1 g:1 e:1 | e:1 f:1 | k:1 f:1 i:1 d:1	img3-m37-p1 img3-m37-p2 img3-m37-p3				1467	822	226	80
p003-m042	f1r	page-003.jpg	img3-m40	5	42	5.42	e:1 h:1 e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1 e:1 f:1 f:1 n:1 e:1 g:1 e:1 e:1 h:1	19	1726 1727 1734 1736 1735 1742 1743 1744 1747 1748 1749 1746 1745 3667 1750 1752 1751 1754 1755	9	e:1 h:1 | e:1 c:1 h:2 | e:1 f:1 | f:1 i:1 d:1 | e:1 f:1 | f:1 | n:1 | e:1 g:1 e:1 | e:1 h:1	img3-m40-p1 img3-m40-p2 img3-m40-p3 img3-m40-p4 img3-m40-p5 img3-m40-p6 img3-m40-p7 img3-m40-p8 img3-m40-p9				2015	843	342	99
p003-m043	f1r	page-003.jpg	img3-m46	6	43	6.43	c:1 e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1	9	1759 1762 1763 1764 1765 1766 1767 1769 1771	4	c:1 | e:1 c:1 h:2 | e:1 f:1 | f:1 i:1 d:1	img3-m46-p1 img3-m46-p2 img3-m46-p3 img3-m46-p4				780	1023	117	75
p003-m044	f1r	page-003.jpg	img3-m48	6	44	6.44	n:1 c:1 g:1 e:1 h:1 n:1 e:1 g:1 e:1 c:1 f:1 j:1	12	3668 1772 1778 1779 1780 3669 1782 1785 1783 1784 1787 1788	6	n:1 | c:1 g:1 e:1 h:1 | n:1 | e:1 g:1 e:1 | c:1 | f:1 j:1	img3-m48-p1 img3-m48-p2 img3-m48-p3 img3-m48-p4 img3-m48-p5 img3-m48-p6				947	1037	233	93
p003-m045	f1r	page-003.jpg	img3-m44	6	45	6.45	e:1 a:1 m:1 c:1 a:1 b:1 d:1 g:1 e:1 c:1 e:1 h:1	12	1813 1819 3039 1821 1828 1826 5494 1818 1814 1816 1833 1832	3	e:1 a:1 m:1 c:1 a:1 b:1 d:1 g:1 e:1 | c:1 | e:1 h:1	img3-m44-p1 img3-m44-p2 img3-m44-p3				1213	974	192	165
p003-m046	f1r	page-003.jpg	img3-m45	6	46	6.46	c:1 e:1 h:1 e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1	11	1834 1835 4649 1836 1840 1841 1837 1842 1843 1844 1845	5	c:1 | e:1 h:1 | e:1 c:1 h:2 | e:1 f:1 | f:1 i:1 d:1	img3-m45-p1 img3-m45-p2 img3-m45-p3 img3-m45-p4 img3-m45-p5				1456	1040	157	87
p003-m047	f1r	page-003.jpg	img3-m47	6	47	6.47	e:1 i:1 d:1 n:1 e:1 g:1 e:1	7	1853 1854 1855 3670 1846 1848 1847	3	e:1 i:1 d:1 | n:1 | e:1 g:1 e:1	img3-m47-p1 img3-m47-p2 img3-m47-p3				1669	1038	139	63
p003-m048	f1r	page-003.jpg	img3-m43	6	48	6.48	e:1 a:1 e:1 b:1 c:1 a:1 b:1 d:1 g:1 e:1 c:1 e:1 f:1 k:1 f:1 i:1 d:1	17	1870 1861 1856 1868 1864 1866 1863 1869 1860 1857 1871 1858 1872 1873 1874 1875 1876	4	e:1 a:1 e:1 b:1 c:1 a:1 b:1 d:1 g:1 e:1 | c:1 | e:1 f:1 | k:1 f:1 i:1 d:1	img3-m43-p1 img3-m43-p2 img3-m43-p3 img3-m43-p4				1823	972	254	145
p003-m049	f1r	page-003.jpg	img3-m49	6	49	6.49	n:1 e:1 g:1 e:1 c:1 e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1 e:1 h:1	15	3671 1877 1879 1878 1881 1883 1882 2096 1884 1886 1887 1888 1889 1885 2002	7	n:1 | e:1 g:1 e:1 | c:1 | e:1 c:1 h:2 | e:1 f:1 | f:1 i:1 d:1 | e:1 h:1	img3-m49-p1 img3-m49-p2 img3-m49-p3 img3-m49-p4 img3-m49-p5 img3-m49-p6 img3-m49-p7				2123	1042	234	85
p003-m050	f1r	page-003.jpg	img3-m58	7	50	7.50	n:1 e:1 g:1 e:1 e:1 e:1 e:1 h:1	8	3674 1893 1898 1894 1891 1895 1896 1897	5	n:1 | e:1 g:1 e:1 | e:1 | e:1 | e:1 h:1	img3-m58-p1 img3-m58-p2 img3-m58-p3 img3-m58-p4 img3-m58-p5				572	1148	148	82
p003-m051	f1r	page-003.jpg	img3-m56	7	51	7.51	n:1 e:1 g:1 e:1 c:1 e:1 c:1 h:2 e:1 h:1	10	3675 1900 1902 1901 1905 1923 1906 1945 1925 1946	5	n:1 | e:1 g:1 e:1 | c:1 | e:1 c:1 h:2 | e:1 h:1	img3-m56-p1 img3-m56-p2 img3-m56-p3 img3-m56-p4 img3-m56-p5				769	1136	158	79
