skeleton	optional_index	base_count	expanded_count	total_count	optional_values	folios	example_expansions
e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1	6	10	22	32	k:1:13 l:1:9	f1r,f1v,f2r,f47v	e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1 | e:1 c:1 h:2 e:1 f:1 l:1 f:1 i:1 d:1
e:1 g:1 e:1 c:1 f:1 j:1	1	20	1	21	c:1:1	f1r,f1v,f2r,f47v	c:1 e:1 g:1 e:1 c:1 f:1 j:1
e:1 g:1 e:1 c:1 f:1 j:1	3	20	1	21	e:1:1	f1r,f1v,f2r,f47v	e:1 g:1 e:1 e:1 c:1 f:1 j:1
e:1 g:1 e:1 c:1 f:1 j:1	4	20	1	21	e:1:1	f1r,f1v,f2r,f47v	e:1 g:1 e:1 e:1 c:1 f:1 j:1
e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1	1	13	2	15	c:1:2	f1r,f1v,f2r,f47v	c:1 e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1
n:1 e:1 g:1 e:1	5	9	6	15	c:1:5 e:1:1	f1r,f1v,f2r,f47v	n:1 e:1 g:1 e:1 c:1 | n:1 e:1 g:1 e:1 e:1
e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1	9	1	13	14	d:1:13	f1r,f1v,f2r,f47v	e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1
e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1	5	13	1	14	f:1:1	f1r,f1v,f2r,f47v	e:1 c:1 h:2 e:1 f:1 f:1 k:1 f:1 i:1 d:1
e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1	6	13	1	14	f:1:1	f1r,f1v,f2r,f47v	e:1 c:1 h:2 e:1 f:1 f:1 k:1 f:1 i:1 d:1
e:1 g:1 e:1 e:1 h:1	1	9	5	14	n:1:3 c:1:2	f1r,f1v,f2r,f47v	n:1 e:1 g:1 e:1 e:1 h:1 | c:1 e:1 g:1 e:1 e:1 h:1
e:1 g:1 e:1 e:1 h:1	3	9	4	13	e:1:4	f1r,f1v,f2r,f47v	e:1 g:1 e:1 e:1 e:1 h:1
e:1 g:1 e:1 e:1 h:1	4	9	4	13	e:1:4	f1r,f1v,f2r,f47v	e:1 g:1 e:1 e:1 e:1 h:1
e:1 g:1 e:1 e:1 h:1	5	9	4	13	e:1:4	f1r,f1v,f2r,f47v	e:1 g:1 e:1 e:1 e:1 h:1
e:1 g:1 e:1 c:1	1	6	5	11	n:1:5	f1r,f1v,f2r,f47v	n:1 e:1 g:1 e:1 c:1
e:1 g:1 e:1 e:1 f:1 f:1 i:1 d:1	6	5	3	8	k:1:3	f1r,f1v,f2r,f47v	e:1 g:1 e:1 e:1 f:1 k:1 f:1 i:1 d:1
a:1 b:1 c:1 a:1 c:1 f:1 j:1	1	4	3	7	c:1:3	f1r,f1v,f2r,f47v	c:1 a:1 b:1 c:1 a:1 c:1 f:1 j:1
e:1 a:1 b:1 c:1 a:1 g:1 e:1 e:1 h:1	3	1	5	6	e:1:5	f1r,f1v,f2r,f47v	e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 e:1 h:1
e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 e:1 h:1	7	5	1	6	e:1:1	f1r,f1v,f2r,f47v	e:1 a:1 e:1 b:1 c:1 a:1 e:1 g:1 e:1 e:1 h:1
e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 e:1 h:1	8	5	1	6	e:1:1	f1r,f1v,f2r,f47v	e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 e:1 e:1 h:1
e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 e:1 h:1	9	5	1	6	e:1:1	f1r,f1v,f2r,f47v	e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 e:1 e:1 h:1
e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 e:1 h:1	10	5	1	6	e:1:1	f1r,f1v,f2r,f47v	e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 e:1 e:1 h:1
e:1 g:1 e:1 e:1 f:1 f:1 i:1 d:1	3	5	1	6	e:1:1	f1r,f1v,f2r,f47v	e:1 g:1 e:1 e:1 e:1 f:1 f:1 i:1 d:1
e:1 g:1 e:1 e:1 f:1 f:1 i:1 d:1	4	5	1	6	e:1:1	f1r,f1v,f2r,f47v	e:1 g:1 e:1 e:1 e:1 f:1 f:1 i:1 d:1
e:1 g:1 e:1 e:1 f:1 f:1 i:1 d:1	5	5	1	6	e:1:1	f1r,f1v,f2r,f47v	e:1 g:1 e:1 e:1 e:1 f:1 f:1 i:1 d:1
e:1 g:1 e:1 e:1 f:1 f:1 i:1 d:1	1	5	1	6	n:1:1	f1r,f1v,f2r,f47v	n:1 e:1 g:1 e:1 e:1 f:1 f:1 i:1 d:1
a:1 b:1 c:1 a:1 c:1 f:1 j:1	5	4	1	5	e:1:1	f1r,f1v,f2r,f47v	a:1 b:1 c:1 a:1 e:1 c:1 f:1 j:1
