signature	count	atom_count	folios	folio_count	images	example_molecules
e:1 g:1 e:1 c:1 f:1 j:1	20	6	f1r,f1v,f2r,f47v	4	page-003.jpg,page-004.jpg,page-005.jpg,page-094.jpg	p003-m091 p003-m105 p003-m106 p003-m110 p003-m150 p003-m156 p003-m192 p004-m041
e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1	13	9	f1r,f1v,f2r,f47v	4	page-003.jpg,page-004.jpg,page-005.jpg,page-094.jpg	p003-m033 p003-m059 p003-m082 p003-m099 p003-m169 p003-m177 p004-m072 p005-m004
e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1	10	8	f1r,f1v,f2r	3	page-003.jpg,page-004.jpg,page-005.jpg	p003-m096 p003-m154 p003-m159 p003-m162 p004-m035 p004-m078 p004-m082 p005-m032
e:1 c:1 h:2 e:1 f:1 l:1 f:1 i:1 d:1	9	9	f1r,f1v,f2r	3	page-003.jpg,page-004.jpg,page-005.jpg	p003-m056 p003-m063 p003-m089 p003-m132 p003-m143 p003-m157 p004-m026 p004-m033
e:1 g:1 e:1 e:1 h:1	9	5	f1v,f2r,f47v	3	page-004.jpg,page-005.jpg,page-094.jpg	p004-m049 p005-m018 p005-m083 p005-m091 p094-m061 p094-m065 p094-m070 p094-m073
n:1 e:1 g:1 e:1	9	4	f1v,f2r	2	page-004.jpg,page-005.jpg	p004-m073 p005-m011 p005-m029 p005-m043 p005-m049 p005-m062 p005-m074 p005-m079
c:1 f:1 j:1 n:1 e:1 g:1 e:1	7	7	f1r,f1v,f2r,f47v	4	page-003.jpg,page-004.jpg,page-005.jpg,page-094.jpg	p003-m005 p003-m127 p004-m032 p004-m043 p004-m079 p005-m055 p094-m014
c:1 f:1 i:1 d:1	7	4	f1r,f1v,f2r	3	page-003.jpg,page-004.jpg,page-005.jpg	p003-m022 p003-m035 p003-m064 p004-m010 p004-m074 p005-m012 p005-m044
e:1 g:1 e:1 c:1	6	4	f1r,f1v,f47v	3	page-003.jpg,page-004.jpg,page-094.jpg	p003-m108 p003-m165 p003-m191 p004-m029 p094-m063 p094-m071
e:1 g:1 e:1 c:1 e:1 c:1 h:2 e:1 h:1	6	9	f1v,f47v	2	page-004.jpg,page-094.jpg	p004-m015 p004-m022 p004-m070 p004-m087 p094-m035 p094-m054
