folio	line	region_id	side	item_sequence	item_count	reason	note
f1r	9	f1r-l9-eva-4	EVA	shody	1	no-overlapping-atoms-span	EVA token has no overlap with any ATOMS visual span under ordinal/uniform estimate.
f1r	9	f1r-l9-eva-5	EVA	dain	1	no-overlapping-atoms-span	EVA token has no overlap with any ATOMS visual span under ordinal/uniform estimate.
f1r	20	f1r-l20-eva-5	EVA	ckhey	1	no-overlapping-atoms-span	EVA token has no overlap with any ATOMS visual span under ordinal/uniform estimate.
f1r	27	f1r-l27-eva-5	EVA	chotey	1	no-overlapping-atoms-span	EVA token has no overlap with any ATOMS visual span under ordinal/uniform estimate.
f1v	1	f1v-l1-eva-3	EVA	ol	1	no-overlapping-atoms-span	EVA token has no overlap with any ATOMS visual span under ordinal/uniform estimate.
f1v	1	f1v-l1-eva-4	EVA	oltchey	1	no-overlapping-atoms-span	EVA token has no overlap with any ATOMS visual span under ordinal/uniform estimate.
f1v	2	f1v-l2-eva-4	EVA	ochy	1	no-overlapping-atoms-span	EVA token has no overlap with any ATOMS visual span under ordinal/uniform estimate.
f1v	3	f1v-l3-eva-4	EVA	ckhy	1	no-overlapping-atoms-span	EVA token has no overlap with any ATOMS visual span under ordinal/uniform estimate.
f1v	3	f1v-l3-eva-5	EVA	shy	1	no-overlapping-atoms-span	EVA token has no overlap with any ATOMS visual span under ordinal/uniform estimate.
f1v	4	f1v-l4-eva-4	EVA	dam	1	no-overlapping-atoms-span	EVA token has no overlap with any ATOMS visual span under ordinal/uniform estimate.
f2r	2	f2r-l2-eva-2	EVA	chkar	1	no-overlapping-atoms-span	EVA token has no overlap with any ATOMS visual span under ordinal/uniform estimate.
f2r	3	f2r-l3-eva-2	EVA	cthey	1	no-overlapping-atoms-span	EVA token has no overlap with any ATOMS visual span under ordinal/uniform estimate.
f2r	4	f2r-l4-eva-2	EVA	chtod	1	no-overlapping-atoms-span	EVA token has no overlap with any ATOMS visual span under ordinal/uniform estimate.
f2v	5	f2v-l5-eva-5	EVA	s	1	no-overlapping-atoms-span	EVA token has no overlap with any ATOMS visual span under ordinal/uniform estimate.
f47v	12	f47v-l12-eva-6	EVA	cheky	1	no-overlapping-atoms-span	EVA token has no overlap with any ATOMS visual span under ordinal/uniform estimate.
