severity	score	reason	image_name	molecule_id	row_hint	particle_count	inversion_count	accepted_n_over_ege_pairs	max_backtrack_px	left_x	row_y	current_particle_order	geometry_particle_order	current_signature	geometry_signature	particle_ids	atom_ids	particle_boxes	anomaly_status	anomaly_note
alta	147.5	particle_order backtracks against left-to-right geometry in 2 comparable pair(s)	page-005.jpg	img5-m79	y=2630	3	2	0	61.0	1200.0	2630.0	img5-m79-p1 img5-m79-p2 img5-m79-p3	img5-m79-p3 img5-m79-p1 img5-m79-p2	[a:1 b:1 c:1 a:1] [e:1 h:1] [e:1]	[e:1] [a:1 b:1 c:1 a:1] [e:1 h:1]	img5-m79-p1 img5-m79-p2 img5-m79-p3	5967 5997 6042 5968 | 5799 5932 | 5798	img5-m79-p1@1222,2630 35x53 | img5-m79-p2@1261,2659 21x51 | img5-m79-p3@1200,2661 15x20	valid	Same inspected layout as former img5-m78 after the page-005 cut restoration shifted molecule IDs; current particle order is valid despite geometry-order inversion.
alta	132	particle_order backtracks against left-to-right geometry in 2 comparable pair(s)	page-003.jpg	img3-m37	y=746	5	2	0	44.0	758.0	746.0	img3-m37-p1 img3-m37-p2 img3-m37-p3 img3-m37-p4 img3-m37-p5	img3-m37-p1 img3-m37-p2 img3-m37-p5 img3-m37-p3 img3-m37-p4	[c:1] [a:1 e:1 b:1 c:1 a:1] [e:1] [e:1] [e:1 h:1]	[c:1] [a:1 e:1 b:1 c:1 a:1] [e:1 h:1] [e:1] [e:1]	img3-m37-p1 img3-m37-p2 img3-m37-p3 img3-m37-p4 img3-m37-p5	1494 | 1496 1499 1500 1501 1502 | 1504 | 1505 | 1506 1509	img3-m37-p1@758,815 23x20 | img3-m37-p2@780,746 78x79 | img3-m37-p3@841,812 20x17 | img3-m37-p4@871,811 16x17 | img3-m37-p5@827,807 94x68	valid	Inspected manually; current particle order is correct despite left-to-right geometry inversion among low/overlapping e particles.
media	106.5	particle_order backtracks against left-to-right geometry in 2 comparable pair(s)	page-007.jpg	img7-m2	y=547	6	2	0	14.0	385.0	547.0	img7-m2-p1 img7-m2-p2 img7-m2-p3 img7-m2-p4 img7-m2-p5 img7-m2-p6	img7-m2-p1 img7-m2-p3 img7-m2-p2 img7-m2-p4 img7-m2-p6 img7-m2-p5	[a:1 m:1 c:1 a:1] [n:1] [c:2 g:1 e:1] [e:1] [c:1] [e:1 i:1 d:1]	[a:1 m:1 c:1 a:1] [c:2 g:1 e:1] [n:1] [e:1] [e:1 i:1 d:1] [c:1]	img7-m2-p1 img7-m2-p2 img7-m2-p3 img7-m2-p4 img7-m2-p5 img7-m2-p6	7070 7128 7134 7071 | 7373 | 7136 7225 7257 | 7258 | 7137 | 7259 7378 7408	img7-m2-p1@385,547 67x93 | img7-m2-p2@461,582 22x26 | img7-m2-p3@447,610 62x26 | img7-m2-p4@516,608 15x20 | img7-m2-p5@540,605 20x20 | img7-m2-p6@529,553 63x70	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
media	102	particle_order backtracks against left-to-right geometry in 1 comparable pair(s)	page-006.jpg	img6-m53	y=2431	8	1	0	28.0	631.0	2431.0	img6-m53-p1 img6-m53-p2 img6-m53-p3 img6-m53-p4 img6-m53-p5 img6-m53-p6 img6-m53-p7 img6-m53-p8	img6-m53-p1 img6-m53-p2 img6-m53-p3 img6-m53-p4 img6-m53-p5 img6-m53-p7 img6-m53-p6 img6-m53-p8	[e:1 g:1 e:1] [c:1] [a:1 b:1 c:1 a:1] [c:1] [f:1] [n:1] [c:2 g:1 e:1] [e:1]	[e:1 g:1 e:1] [c:1] [a:1 b:1 c:1 a:1] [c:1] [f:1] [c:2 g:1 e:1] [n:1] [e:1]	img6-m53-p1 img6-m53-p2 img6-m53-p3 img6-m53-p4 img6-m53-p5 img6-m53-p6 img6-m53-p7 img6-m53-p8	6959 7011 6958 | 6654 | 6555 6572 6652 6556 | 6653 | 6711 | 7034 | 6651 7010 6957 | 6956	img6-m53-p1@631,2473 59x21 | img6-m53-p2@698,2474 20x20 | img6-m53-p3@738,2431 38x64 | img6-m53-p4@764,2474 20x20 | img6-m53-p5@799,2473 13x21 | img6-m53-p6@855,2445 15x24 | img6-m53-p7@827,2476 56x20 | img6-m53-p8@892,2476 15x20	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
media	95.5	particle_order backtracks against left-to-right geometry in 1 comparable pair(s)	page-007.jpg	img7-m57	y=1798	6	1	0	28.0	1102.0	1798.0	img7-m57-p1 img7-m57-p2 img7-m57-p3 img7-m57-p4 img7-m57-p5 img7-m57-p6	img7-m57-p1 img7-m57-p2 img7-m57-p4 img7-m57-p3 img7-m57-p5 img7-m57-p6	[a:1 m:1 c:1] [a:1 b:1 c:1 a:1] [n:1] [c:2 g:1 e:1] [e:1] [e:1 h:1]	[a:1 m:1 c:1] [a:1 b:1 c:1 a:1] [c:2 g:1 e:1] [n:1] [e:1] [e:1 h:1]	img7-m57-p1 img7-m57-p2 img7-m57-p3 img7-m57-p4 img7-m57-p5 img7-m57-p6	7584 7585 7615 | 7560 7635 7616 7561 | 7723 | 7617 7701 7675 | 7676 | 7677 7750	img7-m57-p1@1102,1823 81x67 | img7-m57-p2@1204,1798 42x59 | img7-m57-p3@1277,1811 16x15 | img7-m57-p4@1249,1838 50x21 | img7-m57-p5@1307,1838 15x20 | img7-m57-p6@1330,1835 21x48	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
media	94	particle_order backtracks against left-to-right geometry in 1 comparable pair(s)	page-094.jpg	img94-m9	y=624	6	1	0	27.0	841.0	624.0	img94-m9-p1 img94-m9-p2 img94-m9-p3 img94-m9-p4 img94-m9-p5 img94-m9-p6	img94-m9-p1 img94-m9-p3 img94-m9-p2 img94-m9-p4 img94-m9-p5 img94-m9-p6	[e:1 c:1 h:2] [n:1] [c:2 g:1 e:1] [e:1] [e:1] [e:1 h:1]	[e:1 c:1 h:2] [c:2 g:1 e:1] [n:1] [e:1] [e:1] [e:1 h:1]	img94-m9-p1 img94-m9-p2 img94-m9-p3 img94-m9-p4 img94-m9-p5 img94-m9-p6	2687 2692 2693 | 3700 | 8268 2699 2688 | 2689 | 2690 | 2691 2701	img94-m9-p1@841,630 22x49 | img94-m9-p2@900,624 16x26 | img94-m9-p3@873,658 59x21 | img94-m9-p4@940,658 15x20 | img94-m9-p5@962,657 15x20 | img94-m9-p6@989,658 22x57	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
media	93.5	particle_order backtracks against left-to-right geometry in 1 comparable pair(s)	page-004.jpg	img4-m21	y=2070	7	1	0	25.0	1625.0	2070.0	img4-m21-p1 img4-m21-p2 img4-m21-p3 img4-m21-p4 img4-m21-p5 img4-m21-p6 img4-m21-p7	img4-m21-p1 img4-m21-p2 img4-m21-p4 img4-m21-p3 img4-m21-p5 img4-m21-p6 img4-m21-p7	[e:1 c:1 h:2] [a:1 b:1 c:1 a:1] [n:1] [c:2 g:1 e:1] [e:1] [e:1] [e:1 h:1]	[e:1 c:1 h:2] [a:1 b:1 c:1 a:1] [c:2 g:1 e:1] [n:1] [e:1] [e:1] [e:1 h:1]	img4-m21-p1 img4-m21-p2 img4-m21-p3 img4-m21-p4 img4-m21-p5 img4-m21-p6 img4-m21-p7	4967 4780 5307 | 4672 4734 4779 4673 | 5448 | 4781 5152 4968 | 4969 | 4970 | 4971 5270	img4-m21-p1@1625,2106 26x39 | img4-m21-p2@1666,2070 47x76 | img4-m21-p3@1730,2098 17x26 | img4-m21-p4@1705,2134 57x21 | img4-m21-p5@1769,2136 15x20 | img4-m21-p6@1795,2136 15x20 | img4-m21-p7@1816,2136 20x37	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
media	93	particle_order backtracks against left-to-right geometry in 1 comparable pair(s)	page-003.jpg	img3-m152	y=2455	8	1	0	22.0	900.0	2455.0	img3-m152-p1 img3-m152-p2 img3-m152-p3 img3-m152-p4 img3-m152-p5 img3-m152-p6 img3-m152-p7 img3-m152-p8	img3-m152-p2 img3-m152-p1 img3-m152-p3 img3-m152-p4 img3-m152-p5 img3-m152-p6 img3-m152-p7 img3-m152-p8	[n:1] [c:2 g:1 e:1] [c:1] [a:1 b:1 c:1 a:1] [e:1 g:1 e:1] [e:1] [e:1] [e:1 h:1]	[c:2 g:1 e:1] [n:1] [c:1] [a:1 b:1 c:1 a:1] [e:1 g:1 e:1] [e:1] [e:1] [e:1 h:1]	img3-m152-p1 img3-m152-p2 img3-m152-p3 img3-m152-p4 img3-m152-p5 img3-m152-p6 img3-m152-p7 img3-m152-p8	3781 | 3787 3751 3718 | 3767 | 3759 3788 3768 3760 | 3719 3752 3720 | 3721 | 3722 | 3746 8275	img3-m152-p1@922,2493 18x28 | img3-m152-p2@900,2532 59x20 | img3-m152-p3@963,2530 20x20 | img3-m152-p4@1002,2455 40x88 | img3-m152-p5@1030,2524 42x20 | img3-m152-p6@1075,2522 15x20 | img3-m152-p7@1094,2522 15x20 | img3-m152-p8@1115,2523 19x40	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
media	90	particle_order backtracks against left-to-right geometry in 1 comparable pair(s)	page-003.jpg	img3-m49	y=1037	6	1	0	24.0	947.0	1037.0	img3-m49-p1 img3-m49-p2 img3-m49-p3 img3-m49-p4 img3-m49-p5 img3-m49-p6	img3-m49-p2 img3-m49-p1 img3-m49-p3 img3-m49-p4 img3-m49-p6 img3-m49-p5	[n:1] [c:1 g:1 e:1 h:1] [n:1] [e:1 g:1 e:1] [c:1] [f:1 j:1]	[c:1 g:1 e:1 h:1] [n:1] [n:1] [e:1 g:1 e:1] [f:1 j:1] [c:1]	img3-m49-p1 img3-m49-p2 img3-m49-p3 img3-m49-p4 img3-m49-p5 img3-m49-p6	3668 | 1772 1778 1779 1780 | 3669 | 1782 1785 1783 | 1784 | 1787 1788	img3-m49-p1@971,1045 21x27 | img3-m49-p2@947,1081 76x40 | img3-m49-p3@1035,1037 58x32 | img3-m49-p4@1059,1081 55x20 | img3-m49-p5@1124,1080 19x21 | img3-m49-p6@1121,1074 59x56	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
media	86.5	particle_order backtracks against left-to-right geometry in 1 comparable pair(s)	page-005.jpg	img5-m25	y=741	2	1	0	26.0	436.0	741.0	img5-m25-p1 img5-m25-p2	img5-m25-p2 img5-m25-p1	[n:1] [e:1 g:1 c:1]	[e:1 g:1 c:1] [n:1]	img5-m25-p1 img5-m25-p2	6486 | 5705 6412 5599	img5-m25-p1@462,741 11x21 | img5-m25-p2@436,774 49x20	valid	Inspected manually; current particle order is valid despite geometry-order inversion.
