unit_id	image_name	source_molecule_id	row_index	unit_index	atoms	atom_count	bounds_x	bounds_y	bounds_w	bounds_h
p003-u001	page-003.jpg	img3-m1	1	1	a:1 b:1 c:1 a:1 b:1 d:1 e:1 f:1 e:1 g:1 e:1 e:1 h:1 f:1 i:1 d:1	16	545	362	244	231
p003-u002	page-003.jpg	img3-m9	1	2	e:1 h:1 a:1 b:1 c:1 a:1 e:1 f:1 f:1 j:1	10	853	454	133	143
p003-u003	page-003.jpg	img3-m5	1	3	e:1 f:1 f:1 i:1 d:1	5	1035	500	53	54
p003-u004	page-003.jpg	img3-m6	1	4	e:1 h:1 a:1 e:1 b:1 c:1 a:1 e:1 f:1 k:1 f:1 i:1 d:1	13	1117	447	197	126
p003-u005	page-003.jpg	img3-m4	1	5	n:1 e:1 g:1 e:1 c:1 f:1 j:1	7	1370	497	127	71
p003-u006	page-003.jpg	img3-m3	1	6	n:1 e:1 g:1 e:1 c:1 f:1 i:1 d:1 e:1 h:1	10	1549	471	165	104
p003-u007	page-003.jpg	img3-m2	1	7	e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 e:1 i:1 d:1 e:1 e:1 i:1 d:1	15	1763	446	205	111
p003-u008	page-003.jpg	img3-m7	1	8	e:1 h:1 a:1 b:1 c:1 a:1 c:1 f:1 i:1 d:1	10	1992	430	154	164
p003-u009	page-003.jpg	img3-m8	1	9	n:1 e:1 g:1 e:1 c:1 f:1 j:1 e:1 c:1 h:2 e:1 h:1	12	2181	474	216	111
p003-u010	page-003.jpg	img3-m16	2	10	e:1 i:1 d:1 c:1 f:1 i:1 d:1 e:1 h:1	9	565	608	156	96
p003-u011	page-003.jpg	img3-m13	2	11	e:1 a:1 b:1 c:1 a:1 g:1 e:1 e:1 f:1 f:1 i:1 d:1	12	772	584	164	80
p003-u012	page-003.jpg	img3-m19	2	12	c:1 f:1 i:1 d:1 e:1 h:1	6	977	609	107	82
p003-u013	page-003.jpg	img3-m12	2	13	a:1 b:1 c:1 a:1 e:1 k:1 f:1 i:1 d:1	9	1129	568	109	77
p003-u014	page-003.jpg	img3-m18	2	14	e:1 g:1 e:1 a:1 m:1 c:1 a:1 e:1 f:1 k:1 f:1 i:1 d:1	13	1282	560	241	82
p003-u015	page-003.jpg	img3-m15	2	15	n:1 e:1 g:1 e:1 e:1 f:1 f:1 i:1 d:1	9	1563	572	139	56
p003-u016	page-003.jpg	img3-m17	2	16	e:1 f:1 l:1 f:1 i:1 d:1	6	1729	579	86	62
p003-u017	page-003.jpg	img3-m10	2	17	e:1 a:1 m:1 c:1 a:1 g:1 e:1 e:1 f:1 f:1 i:1 d:1	12	1853	561	193	81
p003-u018	page-003.jpg	img3-m11	2	18	e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 e:1 f:1 f:1 i:1 d:1	13	2077	565	197	81
p003-u019	page-003.jpg	img3-m14	2	19	e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1	8	2293	602	113	42
p003-u020	page-003.jpg	img3-m24	3	20	e:1 i:1 d:1 e:1 h:1	5	513	690	129	73
p003-u021	page-003.jpg	img3-m29	3	21	e:1 f:1 k:1 f:1 i:1 d:1	6	664	693	117	60
p003-u022	page-003.jpg	img3-m28	3	22	n:1 e:1 g:1 e:1 e:1 a:1 b:1 c:1 a:1 e:1 h:1	11	814	666	171	102
p003-u023	page-003.jpg	img3-m26	3	23	c:1 f:1 i:1 d:1	4	1027	698	66	44
p003-u024	page-003.jpg	img3-m27	3	24	e:1 h:1 a:1 b:1 c:1 a:1 e:1 f:1 k:1 f:1 i:1 d:1	12	1127	647	194	112
p003-u025	page-003.jpg	img3-m25	3	25	n:1 e:1 g:1 e:1 c:1 e:1 c:1 h:2	8	1365	670	141	62
p003-u026	page-003.jpg	img3-m20	3	26	e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 c:1 e:1 f:1 f:1 i:1 d:1 e:1 h:1	16	1546	650	262	112
p003-u027	page-003.jpg	img3-m21	3	27	e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 c:1 e:1 i:1 d:1	12	1857	650	155	77
p003-u028	page-003.jpg	img3-m22	3	28	e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1 e:1 f:1 k:1 f:1 i:1 d:1	14	2062	677	234	58
