macro_signature	count	share	examples
e:1 MEDIAL_OP e:1 c:1 f:1 j:1	28	0.0438	p003-u092, p003-u106, p003-u107, p003-u111, p003-u151
e:1 c:1 h:2 e:1 f:1 MEDIAL_OP f:1 MEDIAL_OP d:1	19	0.0297	p003-u034, p003-u060, p003-u083, p003-u100, p003-u171
e:1 MEDIAL_OP e:1 c:1 f:1 MEDIAL_OP d:1	14	0.0219	p003-u058, p003-u142, p005-u017, p005-u092, p006-u004
e:1 c:1 h:2 e:1 f:1 f:1 MEDIAL_OP d:1	11	0.0172	p003-u019, p003-u097, p003-u156, p003-u161, p003-u164
e:1 c:1 h:2 e:1 f:1 l:1 f:1 MEDIAL_OP d:1	10	0.0156	p003-u057, p003-u064, p003-u090, p003-u133, p003-u144
e:1 MEDIAL_OP e:1 e:1 h:1	10	0.0156	p004-u049, p005-u018, p005-u083, p005-u091, p006-u041
n:1 e:1 MEDIAL_OP e:1	9	0.0141	p004-u073, p005-u011, p005-u029, p005-u043, p005-u049
c:1 f:1 MEDIAL_OP d:1	8	0.0125	p003-u023, p003-u036, p003-u065, p004-u010, p004-u074
c:1 f:1 j:1	7	0.0110	p004-u003, p004-u052, p004-u063, p005-u055, p005-u073
e:1 a:1 e:1 MEDIAL_OP c:1 a:1 MEDIAL_OP e:1 e:1 h:1	7	0.0110	p003-u098, p003-u125, p004-u050, p005-u013, p007-u015
e:1 MEDIAL_OP e:1 c:1	7	0.0110	p003-u109, p003-u167, p003-u193, p004-u029, p007-u021
e:1 MEDIAL_OP e:1 c:1 e:1 c:1 h:2 e:1 h:1	7	0.0110	p004-u015, p004-u022, p004-u070, p004-u087, p006-u019
n:1 e:1 MEDIAL_OP e:1 c:1	7	0.0110	p003-u088, p003-u110, p003-u117, p005-u100, p006-u023
n:1 e:1 MEDIAL_OP e:1 c:1 f:1 j:1	7	0.0110	p003-u005, p003-u128, p004-u032, p004-u043, p004-u079
e:1 MEDIAL_OP e:1 e:1 f:1 f:1 MEDIAL_OP d:1	6	0.0094	p003-u103, p004-u005, p004-u009, p005-u096, p006-u045
a:1 MEDIAL_OP c:1 a:1 c:1 f:1 j:1	4	0.0063	p003-u105, p004-u064, p005-u060, p094-u023
e:1 c:1 h:2 c:1 f:1 j:1	4	0.0063	p004-u024, p004-u045, p004-u055, p004-u058
e:1 c:1 h:2 c:1 f:1 MEDIAL_OP d:1	4	0.0063	p003-u115, p006-u033, p006-u036, p094-u017
e:1 c:1 h:2 e:1 f:1 f:1 j:1	4	0.0063	p003-u191, p004-u023, p004-u086, p005-u082
e:1 MEDIAL_OP d:1 e:1 f:1 MEDIAL_OP f:1 MEDIAL_OP d:1	4	0.0063	p005-u035, p005-u069, p005-u097, p094-u037
e:1 MEDIAL_OP e:1 e:1 e:1 h:1	4	0.0063	p003-u143, p004-u036, p004-u046, p005-u102
n:1 e:1 MEDIAL_OP e:1 c:1 e:1 c:1 h:2 e:1 h:1	4	0.0063	p003-u052, p003-u063, p003-u185, p004-u083
n:1 e:1 MEDIAL_OP e:1 e:1 e:1 h:1	4	0.0063	p003-u104, p003-u153, p003-u165, p007-u052
n:1 e:1 MEDIAL_OP e:1 e:1 h:1	4	0.0063	p004-u018, p006-u028, p094-u009, p094-u032
a:1 MEDIAL_OP c:1 a:1 c:1 e:1 c:1 h:2 e:1 h:1	3	0.0047	p004-u013, p004-u030, p004-u037
c:1 a:1 MEDIAL_OP c:1 a:1 c:1 f:1 j:1	3	0.0047	p003-u170, p004-u075, p005-u090
c:1 a:1 MEDIAL_OP c:1 a:1 e:1 MEDIAL_OP e:1 e:1 e:1 h:1	3	0.0047	p003-u180, p003-u188, p094-u010
c:1 e:1 c:1 h:2 e:1 f:1 MEDIAL_OP f:1 MEDIAL_OP d:1	3	0.0047	p003-u093, p005-u030, p007-u104
