actual	predicted	count
a:1	a:1	565
a:1	h:1	3
a:1	h:2	2
b:1	b:1	234
b:1	g:1	10
b:1	i:1	2
c:1	a:1	1
c:1	b:1	1
c:1	c:1	914
c:1	d:1	3
c:1	e:1	2
c:1	i:1	1
c:1	n:1	2
c:2	c:2	57
d:1	a:1	1
d:1	d:1	316
d:1	e:1	3
d:1	f:1	1
d:1	g:1	13
d:1	n:1	1
e:1	d:1	2
e:1	e:1	1760
e:1	h:2	1
f:1	d:1	2
f:1	f:1	632
f:1	h:2	2
g:1	b:1	5
g:1	d:1	4
g:1	g:1	399
h:1	a:1	2
h:1	f:1	3
h:1	h:1	258
h:1	h:2	9
h:1	i:1	5
h:2	a:1	5
h:2	f:1	1
h:2	h:1	6
h:2	h:2	185
i:1	b:1	4
i:1	i:1	326
j:1	h:1	1
j:1	i:1	4
j:1	j:1	155
k:1	k:1	84
l:1	b:1	1
l:1	l:1	38
m:1	a:1	1
m:1	b:1	4
m:1	d:1	1
m:1	g:1	3
m:1	h:1	1
m:1	m:1	82
n:1	c:1	1
n:1	d:1	4
n:1	e:1	2
n:1	f:1	1
n:1	h:1	5
n:1	h:2	1
n:1	i:1	2
n:1	j:1	5
n:1	n:1	83
