token	count	intra_mean	intra_p95	nearest_other	nearest_other_distance	separation_ratio	centroid_accuracy	knn_accuracy
a:1	570	9.7232	13.4457	h:2	13.1590	1.3534	0.9912	0.9912
b:1	246	13.4337	19.3875	g:1	9.9183	0.7383	0.8089	0.9512
c:1	924	14.5467	29.7326	i:1	17.9618	1.2348	0.8333	0.9892
c:2	57	7.8642	26.6751	m:1	44.3302	5.6370	1.0000	1.0000
d:1	335	15.8144	23.8877	g:1	10.5297	0.6658	0.8776	0.9433
e:1	1763	4.0926	22.9885	h:2	15.7020	3.8367	0.9592	0.9983
f:1	636	2.3121	15.2597	b:1	15.5338	6.7185	0.9827	0.9937
g:1	408	9.0471	11.0770	b:1	9.9183	1.0963	1.0000	0.9779
h:1	277	11.2774	18.8614	a:1	13.6672	1.2119	0.8845	0.9314
h:2	197	11.6520	16.9193	i:1	12.7043	1.0903	0.8782	0.9391
i:1	330	16.7141	21.7182	h:2	12.7043	0.7601	0.9333	0.9879
j:1	160	9.0683	26.5912	h:1	20.5467	2.2658	0.8812	0.9688
k:1	84	15.0372	19.7227	b:1	12.3109	0.8187	0.9643	1.0000
l:1	39	18.6795	24.6505	b:1	16.1321	0.8636	0.9744	0.9744
m:1	92	17.0061	21.2691	b:1	13.0971	0.7701	0.9891	0.8913
n:1	104	19.1079	23.2917	d:1	11.8986	0.6227	0.9519	0.7981
